Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",60.00,60.23,55.02,57.47,57.47,"24,517,300"
"Apr 06, 2020",52.53,61.86,52.23,60.33,60.33,"26,048,800"
"Mar 30, 2020",56.72,58.37,49.26,50.27,50.27,"35,610,200"
"Mar 23, 2020",45.68,58.26,41.96,56.01,56.01,"45,319,800"
"Mar 16, 2020",48.92,56.58,46.15,46.36,46.36,"47,585,500"
"Mar 09, 2020",62.86,65.11,50.03,53.97,53.97,"47,216,000"
"Mar 02, 2020",60.66,68.56,60.27,66.87,66.87,"41,576,100"
"Feb 24, 2020",68.74,69.47,59.07,60.36,60.36,"40,021,800"
"Feb 17, 2020",69.17,70.37,67.53,68.99,68.99,"20,494,400"
"Feb 10, 2020",68.54,69.67,68.09,69.02,68.40,"20,092,200"
"Feb 03, 2020",70.67,70.78,68.31,68.38,67.77,"24,448,700"
"Jan 27, 2020",69.41,71.10,69.34,70.40,69.77,"21,603,400"
"Jan 20, 2020",67.34,69.52,67.26,69.44,68.82,"16,446,500"
"Jan 13, 2020",63.75,67.33,63.71,67.26,66.66,"23,406,300"
"Jan 06, 2020",62.56,63.81,62.24,63.66,63.09,"17,655,400"
"Dec 30, 2019",63.24,63.72,62.42,62.56,62.00,"14,747,900"
"Dec 23, 2019",63.76,63.95,62.90,63.46,62.89,"10,433,500"
"Dec 16, 2019",60.99,64.26,60.98,63.86,63.29,"44,141,100"
"Dec 09, 2019",62.14,62.27,60.09,60.76,60.22,"29,629,600"
"Dec 02, 2019",61.84,62.95,61.35,62.14,61.59,"21,154,100"
"Nov 25, 2019",62.89,63.29,61.90,61.99,61.44,"19,980,500"
"Nov 18, 2019",62.26,63.08,61.78,62.89,62.33,"18,071,200"
"Nov 11, 2019",61.27,62.70,60.42,62.20,61.03,"22,537,700"
"Nov 04, 2019",62.33,62.37,60.38,61.26,60.11,"20,722,500"
"Oct 28, 2019",61.09,63.09,60.69,62.26,61.09,"23,993,600"
"Oct 21, 2019",60.98,62.07,60.96,61.35,60.20,"13,928,200"
"Oct 14, 2019",61.63,61.74,60.45,61.14,59.99,"18,557,500"
"Oct 07, 2019",62.00,62.11,61.28,61.52,60.37,"16,823,100"
"Sep 30, 2019",61.83,62.18,60.87,62.05,60.89,"18,426,100"
"Sep 23, 2019",61.06,62.36,60.88,61.77,60.61,"19,069,300"
"Sep 16, 2019",60.20,61.25,59.72,61.11,59.96,"23,495,000"
"Sep 09, 2019",59.46,60.38,58.57,60.13,59.00,"23,360,400"
"Sep 02, 2019",58.28,60.65,58.24,59.68,58.56,"25,583,400"
"Aug 26, 2019",57.71,58.68,57.59,58.26,57.17,"27,498,100"
"Aug 19, 2019",57.40,58.84,57.23,57.68,56.60,"22,352,100"
"Aug 12, 2019",58.43,58.78,56.89,57.48,55.79,"38,100,100"
"Aug 05, 2019",57.51,58.56,55.38,58.33,56.62,"22,863,200"
"Jul 29, 2019",55.95,57.75,55.02,57.36,55.68,"27,970,800"
"Jul 22, 2019",55.40,55.83,54.87,55.74,54.11,"16,830,100"
"Jul 15, 2019",55.54,56.24,55.25,55.27,53.65,"19,254,200"
"Jul 08, 2019",56.47,57.08,55.57,55.67,54.04,"17,710,900"
"Jul 01, 2019",55.10,56.54,54.44,56.36,54.71,"13,045,400"
"Jun 24, 2019",56.33,56.54,54.66,55.28,53.66,"20,174,700"
"Jun 17, 2019",55.63,56.32,54.79,56.27,54.62,"25,630,600"
"Jun 10, 2019",54.71,55.80,54.12,55.65,54.02,"18,257,300"
"Jun 03, 2019",53.50,55.95,53.15,54.71,53.11,"22,527,300"
"May 27, 2019",54.40,54.47,52.78,53.50,51.93,"15,181,900"
"May 20, 2019",53.99,54.77,53.80,54.35,52.76,"18,270,100"
"May 13, 2019",53.30,54.28,53.01,53.82,51.64,"24,919,700"
"May 06, 2019",53.16,53.42,52.16,53.37,51.21,"19,803,000"
"Apr 29, 2019",52.44,53.37,52.04,53.24,51.09,"24,923,800"
"Apr 22, 2019",51.96,53.00,51.45,52.54,50.41,"16,178,800"
"Apr 15, 2019",52.50,52.98,51.90,51.96,49.86,"17,821,900"
"Apr 08, 2019",51.62,52.51,51.28,52.50,50.38,"20,413,400"
"Apr 01, 2019",51.68,51.71,50.89,51.65,49.56,"21,628,100"
"Mar 25, 2019",52.00,52.65,51.21,51.68,49.59,"20,343,200"
"Mar 18, 2019",51.88,52.31,50.77,51.88,49.78,"24,094,700"
"Mar 11, 2019",50.91,51.95,50.85,51.86,49.76,"28,296,600"
"Mar 04, 2019",50.10,50.91,49.62,50.90,48.84,"20,775,600"
"Feb 25, 2019",50.25,50.29,49.01,49.98,47.96,"25,496,300"
"Feb 18, 2019",48.54,50.54,48.42,50.37,48.33,"31,546,000"
"Feb 11, 2019",49.05,49.62,48.45,48.56,46.03,"21,555,500"
"Feb 04, 2019",48.10,49.18,47.81,49.12,46.56,"20,858,600"
"Jan 28, 2019",47.51,48.68,47.11,48.49,45.96,"24,053,300"
"Jan 21, 2019",46.96,48.17,46.49,47.50,45.02,"19,721,800"
