Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",165.88,169.37,157.31,162.70,162.70,"8,530,000"
"Apr 06, 2020",138.05,167.75,137.01,166.24,166.24,"10,673,200"
"Mar 30, 2020",144.20,149.48,117.72,132.17,132.17,"14,347,000"
"Mar 23, 2020",117.25,148.80,104.28,144.88,144.88,"18,847,400"
"Mar 16, 2020",118.23,129.98,107.00,119.70,119.70,"16,022,200"
"Mar 09, 2020",168.00,172.09,122.37,132.98,132.98,"12,755,200"
"Mar 02, 2020",173.25,186.80,169.27,179.07,179.07,"8,681,500"
"Feb 24, 2020",202.40,204.35,163.53,172.38,172.38,"9,294,300"
"Feb 17, 2020",203.14,208.55,200.72,207.40,207.40,"3,330,000"
"Feb 10, 2020",199.43,206.44,197.87,203.83,203.07,"4,819,500"
"Feb 03, 2020",188.96,200.81,188.00,200.34,199.59,"5,766,000"
"Jan 27, 2020",190.00,194.97,187.71,188.30,187.60,"4,364,700"
"Jan 20, 2020",187.45,194.68,187.20,191.56,190.84,"5,676,500"
"Jan 13, 2020",188.11,193.38,187.45,189.95,189.24,"6,180,100"
"Jan 06, 2020",188.98,195.96,182.17,188.38,187.67,"12,851,200"
"Dec 30, 2019",189.15,190.00,186.28,189.53,188.82,"4,169,900"
"Dec 23, 2019",189.03,190.57,186.42,189.23,188.52,"2,580,900"
"Dec 16, 2019",181.79,189.07,180.12,188.90,188.19,"6,481,000"
"Dec 09, 2019",182.86,183.50,179.01,182.06,181.38,"4,878,900"
"Dec 02, 2019",185.98,186.30,180.95,183.65,182.96,"4,847,900"
"Nov 25, 2019",182.34,186.47,181.50,186.06,185.36,"3,060,500"
"Nov 18, 2019",179.86,187.43,174.13,181.22,180.54,"9,454,300"
"Nov 11, 2019",187.00,187.17,179.45,179.65,178.98,"6,907,000"
"Nov 04, 2019",191.56,195.50,186.50,187.56,186.13,"4,514,100"
"Oct 28, 2019",195.41,196.46,189.00,191.00,189.55,"4,676,200"
"Oct 21, 2019",196.76,198.00,193.86,195.84,194.35,"3,418,400"
"Oct 14, 2019",192.43,199.30,191.04,197.02,195.52,"4,538,300"
"Oct 07, 2019",193.39,198.50,186.41,193.08,191.61,"6,067,800"
"Sep 30, 2019",206.74,210.65,190.89,193.74,192.27,"10,385,800"
"Sep 23, 2019",205.10,207.98,203.65,206.00,204.43,"4,990,700"
"Sep 16, 2019",203.67,209.29,202.28,205.10,203.54,"5,357,700"
"Sep 09, 2019",204.98,208.88,202.34,204.07,202.52,"4,632,100"
"Sep 02, 2019",203.36,212.00,202.25,204.75,203.19,"3,764,700"
"Aug 26, 2019",200.00,205.30,196.63,204.35,202.79,"4,724,600"
"Aug 19, 2019",200.00,205.29,197.66,198.51,197.00,"4,795,500"
"Aug 12, 2019",192.82,199.89,189.51,198.79,196.51,"4,957,100"
"Aug 05, 2019",190.51,196.55,184.30,194.15,191.93,"5,564,200"
"Jul 29, 2019",204.13,204.22,191.65,192.74,190.53,"5,091,200"
"Jul 22, 2019",202.17,205.59,198.89,203.92,201.59,"3,802,700"
"Jul 15, 2019",199.71,204.00,197.09,201.57,199.26,"4,561,100"
"Jul 08, 2019",197.04,201.93,194.56,199.60,197.32,"6,705,800"
"Jul 01, 2019",199.00,200.23,193.13,197.49,195.23,"5,268,200"
"Jun 24, 2019",184.00,200.59,181.06,196.94,194.69,"14,570,700"
"Jun 17, 2019",187.29,188.57,181.29,183.73,181.63,"7,180,900"
"Jun 10, 2019",194.01,195.36,186.75,187.63,185.48,"6,225,700"
"Jun 03, 2019",177.28,190.02,176.56,188.40,186.24,"12,611,100"
"May 27, 2019",198.35,198.60,171.27,176.45,174.43,"12,090,800"
"May 20, 2019",204.59,206.78,196.27,198.68,196.41,"7,097,400"
"May 13, 2019",200.08,207.79,199.02,204.79,202.45,"5,657,300"
"May 06, 2019",208.28,211.30,199.27,203.23,200.18,"6,685,500"
"Apr 29, 2019",212.36,213.70,207.66,211.40,208.22,"6,170,800"
"Apr 22, 2019",198.53,214.48,198.26,212.16,208.97,"9,350,600"
"Apr 15, 2019",190.69,199.88,189.32,198.80,195.81,"7,445,300"
"Apr 08, 2019",192.50,192.66,188.63,190.53,187.67,"8,979,000"
"Apr 01, 2019",176.91,193.71,174.52,193.30,190.40,"20,149,600"
"Mar 25, 2019",168.64,176.46,166.75,175.33,172.70,"8,043,300"
"Mar 18, 2019",171.08,171.38,163.52,169.53,166.98,"9,035,100"
"Mar 11, 2019",167.06,172.81,166.45,170.45,167.89,"7,343,100"
"Mar 04, 2019",172.57,172.79,165.32,166.19,163.69,"8,464,700"
"Feb 25, 2019",170.30,171.95,166.85,171.94,169.36,"7,352,400"
"Feb 18, 2019",174.98,176.78,163.99,169.06,166.52,"16,814,200"
"Feb 11, 2019",174.58,176.19,170.87,174.91,171.55,"13,187,700"
"Feb 04, 2019",174.25,176.46,171.31,175.22,171.86,"8,980,100"
"Jan 28, 2019",166.56,174.58,165.70,173.75,170.42,"13,178,800"
"Jan 21, 2019",165.98,167.92,163.47,166.80,163.60,"9,766,200"
"Jan 14, 2019",158.22,166.10,157.14,164.15,161.00,"11,293,700"
"Jan 07, 2019",169.45,173.40,150.37,159.21,156.16,"35,623,300"
"Dec 31, 2018",163.50,166.72,159.30,166.62,163.42,"9,461,600"
"Dec 24, 2018",160.82,165.63,156.25,162.86,159.74,"7,147,200"
"Dec 17, 2018",180.39,181.60,161.99,162.18,159.07,"15,449,900"
"Dec 10, 2018",189.24,191.40,180.17,181.27,177.79,"9,865,300"
"Dec 03, 2018",196.45,198.35,187.34,188.61,184.99,"7,648,100"
"Nov 26, 2018",194.93,201.80,193.07,195.76,192.00,"10,184,200"
"Nov 19, 2018",196.02,196.19,187.87,192.84,189.14,"8,364,800"
"Nov 12, 2018",203.06,204.72,195.01,196.53,192.76,"9,632,000"
"Nov 05, 2018",200.99,208.24,197.23,203.13,198.50,"9,065,200"
"Oct 29, 2018",211.02,212.91,196.26,201.32,196.73,"12,686,400"
"Oct 22, 2018",223.33,227.35,205.89,209.96,205.18,"12,422,500"
"Oct 15, 2018",224.31,228.49,222.27,222.93,217.85,"8,259,500"
"Oct 08, 2018",223.64,228.91,217.50,225.69,220.55,"13,000,900"
"Oct 01, 2018",216.31,225.76,210.52,223.18,218.09,"16,922,200"
"Sep 24, 2018",216.39,219.08,212.92,215.62,210.71,"7,384,800"
"Sep 17, 2018",213.20,219.60,210.22,216.94,212.00,"9,167,000"
"Sep 10, 2018",209.11,219.13,208.50,212.05,207.22,"10,592,700"
"Sep 03, 2018",207.96,211.73,206.35,211.72,206.90,"7,493,300"
"Aug 27, 2018",210.00,211.38,206.27,208.20,203.46,"10,446,800"
"Aug 20, 2018",199.20,208.71,199.09,207.60,202.87,"12,059,200"
"Aug 13, 2018",213.00,222.22,198.85,203.93,199.28,"24,591,400"
"Aug 06, 2018",213.48,217.48,211.65,213.30,207.72,"7,506,800"
"Jul 30, 2018",212.24,214.50,205.35,214.01,208.41,"11,254,100"
"Jul 23, 2018",216.00,216.88,212.94,213.95,208.35,"7,304,400"
"Jul 16, 2018",215.35,217.34,211.35,215.96,210.31,"8,814,100"
"Jul 09, 2018",215.43,219.70,215.04,215.50,209.86,"6,771,700"
