Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",36.06,36.14,29.24,33.40,33.40,"36,573,400"
"Apr 06, 2020",29.15,36.12,28.46,36.11,36.11,"41,487,600"
"Mar 30, 2020",33.16,33.53,26.41,27.21,27.21,"43,151,200"
"Mar 23, 2020",28.00,34.76,25.51,33.27,33.27,"55,505,800"
"Mar 16, 2020",28.47,32.00,24.01,30.04,30.04,"63,809,800"
"Mar 09, 2020",36.46,37.95,28.94,33.83,33.83,"66,157,600"
"Mar 02, 2020",48.10,49.40,39.55,40.67,40.67,"54,107,800"
"Feb 24, 2020",53.65,54.34,44.92,46.14,46.14,"39,659,500"
"Feb 17, 2020",54.63,55.44,53.54,54.85,54.85,"18,506,300"
"Feb 10, 2020",53.84,55.47,53.79,54.94,54.49,"19,155,700"
"Feb 03, 2020",51.98,54.88,51.97,54.27,53.82,"23,361,600"
"Jan 27, 2020",54.52,55.39,49.37,51.57,51.14,"36,806,600"
"Jan 20, 2020",56.05,56.53,55.02,55.48,55.02,"20,428,000"
"Jan 13, 2020",55.80,56.49,54.90,56.29,55.82,"27,518,900"
"Jan 06, 2020",55.49,56.50,55.09,55.96,55.50,"31,908,000"
"Dec 30, 2019",56.70,56.84,55.66,56.20,55.74,"17,679,600"
"Dec 23, 2019",56.56,56.81,56.04,56.48,56.01,"12,694,200"
"Dec 16, 2019",56.53,56.92,54.29,56.30,55.83,"43,498,900"
"Dec 09, 2019",54.96,56.66,53.67,56.02,55.56,"38,895,100"
"Dec 02, 2019",54.99,55.06,52.77,54.24,53.79,"45,291,200"
"Nov 25, 2019",54.83,55.26,54.16,54.72,54.27,"11,579,700"
"Nov 18, 2019",54.46,55.20,53.92,54.67,54.22,"20,129,800"
"Nov 11, 2019",54.44,54.95,53.58,54.61,54.16,"22,959,500"
"Nov 04, 2019",54.44,55.66,54.32,54.94,54.04,"25,720,600"
"Oct 28, 2019",53.88,54.41,52.48,54.10,53.22,"21,383,700"
"Oct 21, 2019",53.16,53.97,52.79,53.58,52.70,"15,869,400"
"Oct 14, 2019",51.73,53.29,51.40,52.67,51.81,"27,491,700"
"Oct 07, 2019",51.50,52.55,50.76,52.00,51.15,"25,742,900"
"Sep 30, 2019",53.77,53.90,50.02,51.66,50.82,"30,045,900"
"Sep 23, 2019",52.00,53.85,51.61,53.46,52.59,"20,205,100"
"Sep 16, 2019",52.52,53.48,52.18,52.42,51.56,"21,173,000"
"Sep 09, 2019",49.16,53.69,48.99,53.06,52.19,"27,374,200"
"Sep 02, 2019",47.20,48.96,46.33,48.72,47.92,"16,751,100"
"Aug 26, 2019",45.67,48.15,45.27,47.65,46.87,"19,647,100"
"Aug 19, 2019",47.23,47.35,45.00,45.25,44.51,"17,301,300"
"Aug 12, 2019",46.85,47.40,44.98,46.55,45.35,"29,814,100"
"Aug 05, 2019",48.58,48.58,45.96,47.35,46.13,"21,336,600"
"Jul 29, 2019",51.59,52.03,48.59,49.35,48.08,"24,355,500"
"Jul 22, 2019",50.50,51.77,50.25,51.65,50.32,"21,124,400"
"Jul 15, 2019",50.49,51.29,49.30,50.65,49.34,"25,539,300"
"Jul 08, 2019",49.51,50.56,49.04,50.45,49.15,"19,700,400"
"Jul 01, 2019",49.53,49.96,48.67,49.94,48.65,"12,646,300"
"Jun 24, 2019",48.57,49.29,47.75,49.13,47.86,"24,522,000"
"Jun 17, 2019",50.08,50.34,47.98,48.63,47.37,"21,926,700"
"Jun 10, 2019",49.28,50.50,49.03,50.06,48.77,"16,268,300"
"Jun 03, 2019",46.67,49.38,46.55,48.83,47.57,"22,527,400"
"May 27, 2019",49.45,49.45,46.53,46.75,45.54,"17,219,400"
"May 20, 2019",47.89,49.20,47.83,48.33,47.08,"20,729,200"
"May 13, 2019",48.94,49.17,46.86,47.88,46.25,"24,271,500"
"May 06, 2019",50.29,51.04,48.66,49.86,48.16,"18,847,500"
"Apr 29, 2019",50.77,51.76,50.27,50.97,49.24,"24,444,100"
"Apr 22, 2019",49.17,50.79,48.77,50.73,49.00,"28,167,200"
"Apr 15, 2019",49.26,50.08,45.30,45.30,43.76,"18,802,500"
"Apr 08, 2019",48.16,49.68,47.50,49.26,47.58,"22,203,700"
"Apr 01, 2019",46.88,49.37,46.85,48.37,46.72,"28,308,700"
"Mar 25, 2019",45.20,46.89,44.51,46.53,44.95,"42,730,900"
"Mar 18, 2019",50.00,50.82,45.02,45.09,43.56,"34,580,200"
"Mar 11, 2019",49.72,50.40,49.32,49.98,48.28,"25,319,100"
"Mar 04, 2019",51.97,52.45,48.98,49.60,47.91,"27,629,000"
"Feb 25, 2019",51.77,51.94,50.58,51.80,50.04,"28,609,500"
"Feb 18, 2019",49.15,52.08,49.15,51.49,49.74,"26,332,500"
"Feb 11, 2019",50.45,51.14,49.33,50.70,48.58,"34,844,000"
"Feb 04, 2019",48.90,51.50,48.43,50.24,48.14,"46,948,100"
"Jan 28, 2019",49.02,49.54,47.88,48.87,46.83,"19,095,400"
"Jan 21, 2019",43.90,49.68,43.90,49.37,47.31,"20,683,300"
"Jan 14, 2019",45.20,49.41,45.20,49.29,47.23,"33,594,000"
"Jan 07, 2019",45.13,46.29,44.78,45.61,43.71,"30,864,600"
"Dec 31, 2018",43.01,45.42,40.00,45.25,43.36,"15,323,800"
"Dec 24, 2018",42.07,43.49,40.00,42.95,41.16,"19,845,400"
"Dec 17, 2018",45.43,45.96,42.26,42.38,40.61,"33,696,800"
"Dec 10, 2018",47.60,47.69,45.59,45.66,43.75,"25,171,000"
"Dec 03, 2018",51.62,51.77,29.20,47.66,45.67,"22,679,600"
"Nov 26, 2018",50.98,51.58,50.20,51.10,48.97,"19,414,000"
"Nov 19, 2018",51.38,52.11,29.20,50.37,48.27,"14,643,600"
"Nov 12, 2018",50.78,51.77,49.68,51.41,49.26,"29,829,000"
