Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",88.16,93.99,86.43,92.72,92.72,"6,786,300"
"Apr 06, 2020",82.59,92.29,82.04,88.23,88.23,"9,869,500"
"Mar 30, 2020",84.09,87.25,79.22,79.50,79.50,"7,660,100"
"Mar 23, 2020",76.37,85.73,74.81,83.10,83.10,"8,826,300"
"Mar 16, 2020",70.68,80.28,63.89,75.91,75.91,"12,711,400"
"Mar 09, 2020",86.51,87.15,71.09,76.21,76.21,"14,376,300"
"Mar 02, 2020",88.50,96.38,87.68,91.48,91.48,"8,536,000"
"Feb 24, 2020",97.83,98.98,86.62,88.51,88.51,"9,543,800"
"Feb 17, 2020",98.55,100.16,96.88,99.78,99.43,"3,979,300"
"Feb 10, 2020",96.17,99.13,96.16,98.17,97.82,"5,871,900"
"Feb 03, 2020",93.98,96.78,90.96,96.55,96.21,"9,658,100"
"Jan 27, 2020",92.30,96.32,88.02,92.95,92.62,"13,651,400"
"Jan 20, 2020",93.56,94.99,91.46,93.57,93.24,"6,192,600"
"Jan 13, 2020",91.11,92.91,89.85,92.79,92.46,"6,154,900"
"Jan 06, 2020",91.13,92.19,88.28,91.27,90.95,"8,026,200"
"Dec 30, 2019",92.32,94.09,91.76,91.96,91.63,"4,704,800"
"Dec 23, 2019",92.36,94.06,91.85,92.30,91.97,"3,534,200"
"Dec 16, 2019",95.25,95.61,91.64,92.17,91.84,"8,578,400"
"Dec 09, 2019",97.07,99.37,94.92,94.93,94.59,"4,858,300"
"Dec 02, 2019",94.90,98.56,93.56,97.50,97.16,"5,373,100"
"Nov 25, 2019",97.90,98.21,94.21,94.44,94.11,"5,052,200"
"Nov 18, 2019",98.31,98.98,95.40,97.21,96.52,"5,355,300"
"Nov 11, 2019",94.72,98.72,94.30,98.49,97.79,"4,975,400"
"Nov 04, 2019",96.21,98.20,94.03,94.82,94.14,"4,994,300"
"Oct 28, 2019",96.96,97.65,93.93,95.78,95.10,"5,535,500"
"Oct 21, 2019",93.99,98.85,91.99,96.46,95.77,"11,168,400"
"Oct 14, 2019",94.06,94.74,92.09,93.32,92.65,"6,771,500"
"Oct 07, 2019",93.07,95.32,90.65,94.31,93.64,"8,055,500"
"Sep 30, 2019",89.33,94.34,89.07,93.11,92.45,"10,085,800"
"Sep 23, 2019",90.10,93.46,88.41,89.01,88.37,"6,725,100"
"Sep 16, 2019",96.83,97.91,90.25,90.39,89.74,"9,016,300"
"Sep 09, 2019",103.82,106.41,96.92,97.10,96.41,"8,362,600"
"Sep 02, 2019",100.70,104.99,99.17,103.54,102.80,"5,914,800"
"Aug 26, 2019",97.60,105.50,97.03,101.88,101.15,"5,752,300"
"Aug 19, 2019",101.75,102.72,95.93,96.86,95.84,"6,025,700"
"Aug 12, 2019",106.86,106.86,98.60,100.55,99.49,"6,427,000"
"Aug 05, 2019",105.59,110.42,101.95,107.58,106.44,"5,612,300"
"Jul 29, 2019",109.88,110.95,106.57,107.06,105.93,"5,621,200"
"Jul 22, 2019",112.65,114.19,105.00,109.95,108.79,"8,280,800"
"Jul 15, 2019",112.92,114.25,110.00,112.47,111.28,"5,338,400"
"Jul 08, 2019",110.03,113.54,108.28,112.97,111.78,"4,304,300"
"Jul 01, 2019",109.93,112.38,108.41,110.47,109.30,"3,813,000"
"Jun 24, 2019",107.68,109.16,105.97,108.80,107.65,"4,818,500"
"Jun 17, 2019",105.72,107.29,103.00,106.76,105.63,"5,534,500"
"Jun 10, 2019",109.52,109.67,105.98,106.14,105.02,"5,261,200"
"Jun 03, 2019",100.71,109.67,100.10,108.57,107.42,"5,674,800"
"May 27, 2019",101.34,102.85,98.21,100.78,99.72,"4,501,900"
"May 20, 2019",99.95,104.14,99.56,101.14,99.73,"5,994,200"
"May 13, 2019",100.96,101.80,98.10,100.68,99.27,"6,249,400"
"May 06, 2019",102.19,103.47,99.52,102.72,101.29,"5,998,000"
"Apr 29, 2019",105.26,105.85,100.61,103.87,102.42,"6,530,000"
"Apr 22, 2019",103.04,107.98,101.28,105.13,103.66,"9,289,400"
"Apr 15, 2019",103.97,106.08,102.43,103.09,101.65,"5,821,000"
"Apr 08, 2019",100.70,104.74,100.03,104.25,102.79,"5,600,200"
"Apr 01, 2019",98.16,101.47,96.61,101.13,99.72,"7,305,900"
"Mar 25, 2019",92.41,98.58,92.41,97.76,96.40,"6,325,600"
"Mar 18, 2019",89.43,94.55,89.02,92.68,91.39,"6,178,100"
"Mar 11, 2019",90.89,91.89,88.70,89.46,88.21,"6,734,400"
"Mar 04, 2019",95.25,95.89,89.86,90.39,89.13,"5,293,300"
"Feb 25, 2019",96.53,96.72,93.51,94.96,93.63,"5,806,600"
"Feb 18, 2019",96.60,98.03,95.35,96.04,94.40,"4,638,300"
"Feb 11, 2019",93.00,97.64,92.70,97.58,95.91,"8,046,600"
"Feb 04, 2019",86.92,92.65,86.00,92.32,90.74,"7,671,000"
"Jan 28, 2019",88.92,90.66,82.62,86.97,85.48,"13,243,800"
"Jan 21, 2019",89.11,90.50,86.20,89.60,88.07,"5,009,400"
"Jan 14, 2019",84.69,90.14,84.53,89.48,87.95,"7,832,000"
"Jan 07, 2019",82.24,86.31,82.03,85.31,83.85,"8,322,600"
"Dec 31, 2018",83.58,84.01,80.31,82.34,80.93,"6,766,600"
"Dec 24, 2018",79.95,84.88,78.67,83.21,81.79,"3,967,500"
"Dec 17, 2018",88.89,89.60,80.26,80.33,78.96,"8,484,500"
"Dec 10, 2018",89.71,93.63,87.70,89.19,87.66,"6,322,300"
"Dec 03, 2018",95.83,96.74,88.54,88.79,87.27,"6,085,400"
"Nov 26, 2018",89.73,95.64,88.48,95.13,93.50,"7,775,500"
"Nov 19, 2018",92.48,94.18,87.27,89.30,87.47,"4,516,700"
"Nov 12, 2018",97.04,97.65,91.70,92.66,90.76,"8,105,600"
"Nov 05, 2018",93.74,97.65,92.27,97.13,95.14,"6,605,100"
"Oct 29, 2018",91.86,95.17,90.90,93.81,91.88,"8,067,300"
"Oct 22, 2018",87.16,91.78,83.71,90.84,88.97,"12,076,700"
