Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",61.67,63.48,58.79,62.34,62.34,"15,450,800"
"Apr 06, 2020",56.25,61.64,54.96,60.94,60.94,"11,887,300"
"Mar 30, 2020",58.94,59.53,52.33,53.82,53.82,"16,416,200"
"Mar 23, 2020",53.34,65.83,53.00,58.59,58.59,"25,862,000"
"Mar 16, 2020",46.57,61.00,42.57,53.62,53.62,"33,343,200"
"Mar 09, 2020",60.00,63.66,49.23,52.51,52.51,"20,469,400"
"Mar 02, 2020",68.32,71.52,63.33,64.65,64.65,"19,826,300"
"Feb 24, 2020",76.30,77.03,65.72,67.83,67.43,"19,180,100"
"Feb 17, 2020",80.19,80.51,77.28,77.83,77.37,"11,278,800"
"Feb 10, 2020",80.60,83.49,79.71,80.51,80.03,"14,620,600"
"Feb 03, 2020",83.05,84.85,78.48,80.35,79.88,"17,891,600"
"Jan 27, 2020",84.70,85.55,82.32,82.63,82.14,"12,399,300"
"Jan 20, 2020",89.64,90.25,84.91,85.93,85.42,"13,106,400"
"Jan 13, 2020",92.46,94.24,88.41,89.86,89.33,"15,064,100"
"Jan 06, 2020",90.22,92.39,88.68,91.92,91.38,"13,406,800"
"Dec 30, 2019",91.25,91.61,89.79,90.58,90.04,"7,396,300"
"Dec 23, 2019",90.82,92.08,89.82,91.42,90.88,"5,492,500"
"Dec 16, 2019",88.69,91.42,88.62,90.86,90.32,"18,002,300"
"Dec 09, 2019",89.35,90.22,86.66,87.97,87.45,"10,824,900"
"Dec 02, 2019",89.88,91.38,87.72,89.45,88.92,"9,670,600"
"Nov 25, 2019",86.57,90.51,85.78,89.89,88.56,"7,707,000"
"Nov 18, 2019",90.00,91.15,86.28,86.41,85.14,"12,214,500"
"Nov 11, 2019",82.32,94.11,81.78,90.33,89.00,"20,618,900"
"Nov 04, 2019",83.67,84.84,81.59,82.63,81.41,"10,243,000"
"Oct 28, 2019",81.41,84.17,80.42,83.70,82.47,"11,755,700"
"Oct 21, 2019",81.66,82.05,77.03,78.48,77.32,"11,877,300"
"Oct 14, 2019",83.76,85.04,79.36,82.42,81.20,"11,180,800"
"Oct 07, 2019",82.16,84.25,79.39,83.60,82.37,"10,952,100"
"Sep 30, 2019",85.37,86.38,80.85,82.25,81.04,"12,523,400"
"Sep 23, 2019",87.11,87.57,84.96,85.20,83.94,"7,647,500"
"Sep 16, 2019",84.64,89.46,84.39,87.39,86.10,"11,584,000"
"Sep 09, 2019",86.41,86.69,80.00,85.17,83.91,"15,733,500"
"Sep 02, 2019",92.60,93.45,84.71,86.04,84.77,"17,788,800"
"Aug 26, 2019",90.58,94.07,88.94,93.04,91.29,"10,196,300"
"Aug 19, 2019",88.36,91.73,86.72,89.93,88.24,"13,457,200"
"Aug 12, 2019",87.09,89.88,85.53,87.70,86.05,"12,018,400"
"Aug 05, 2019",83.14,89.34,82.00,88.37,86.71,"21,781,200"
"Jul 29, 2019",81.00,82.33,78.66,79.76,78.26,"12,134,300"
"Jul 22, 2019",80.83,82.79,80.54,80.98,79.46,"8,788,000"
"Jul 15, 2019",81.51,81.92,78.58,80.80,79.28,"12,072,900"
"Jul 08, 2019",82.52,82.81,80.55,81.38,79.85,"9,807,600"
"Jul 01, 2019",81.50,82.91,80.34,82.63,81.07,"9,661,800"
"Jun 24, 2019",79.40,83.15,77.38,80.74,79.22,"17,136,200"
"Jun 17, 2019",82.01,82.20,75.69,79.29,77.80,"18,713,600"
"Jun 10, 2019",82.51,84.30,81.13,81.91,80.37,"13,372,100"
"Jun 03, 2019",76.12,82.91,76.05,82.45,80.90,"16,086,000"
"May 27, 2019",81.80,82.44,74.83,75.89,74.10,"15,039,900"
"May 20, 2019",82.32,82.90,79.84,81.46,79.53,"12,661,000"
"May 13, 2019",79.00,83.36,78.60,82.49,80.54,"15,248,500"
"May 06, 2019",74.79,79.90,74.55,79.81,77.92,"16,908,300"
"Apr 29, 2019",74.02,75.70,73.68,75.09,73.31,"11,716,100"
"Apr 22, 2019",73.49,74.88,72.50,74.16,72.41,"13,207,100"
"Apr 15, 2019",70.80,74.03,70.60,73.49,71.75,"8,396,900"
"Apr 08, 2019",69.84,71.33,69.39,70.84,69.16,"9,875,000"
"Apr 01, 2019",69.50,70.39,68.63,69.80,68.15,"12,441,600"
"Mar 25, 2019",66.54,69.54,66.08,69.43,67.79,"11,230,300"
"Mar 18, 2019",65.22,66.99,64.47,66.61,65.03,"13,678,600"
"Mar 11, 2019",62.78,65.99,62.60,65.22,63.68,"13,950,100"
"Mar 04, 2019",62.42,64.38,61.54,62.78,61.30,"16,998,300"
"Feb 25, 2019",63.66,63.70,60.99,62.19,60.35,"15,062,400"
"Feb 18, 2019",62.46,63.93,62.10,63.32,61.45,"12,295,100"
"Feb 11, 2019",59.21,62.96,58.89,62.61,60.76,"14,626,500"
"Feb 04, 2019",62.06,62.23,58.20,59.29,57.54,"19,097,100"
"Jan 28, 2019",60.64,62.56,60.47,61.92,60.09,"12,961,000"
"Jan 21, 2019",60.90,60.99,59.68,60.72,58.92,"10,297,600"
"Jan 14, 2019",57.75,61.47,57.09,60.96,59.16,"11,656,700"
"Jan 07, 2019",54.90,58.33,54.67,57.83,56.12,"13,987,400"
"Dec 31, 2018",52.56,56.04,52.43,55.16,53.53,"13,183,300"
