Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,13.830000,14.980000,13.780000,14.760000,14.760000,11790300
2012-01-08,14.790000,15.070000,14.110000,14.500000,14.500000,9903500
2012-01-15,14.510000,15.660000,14.500000,15.080000,15.080000,10516800
2012-01-22,15.150000,15.690000,14.890000,15.630000,15.630000,6942700
2012-01-29,15.410000,16.990000,15.310000,16.200001,16.200001,12619300
2012-02-05,16.190001,16.370001,15.690000,15.800000,15.800000,10317700
2012-02-12,15.970000,16.110001,15.300000,15.340000,15.340000,8525100
2012-02-19,15.310000,15.760000,15.050000,15.570000,15.570000,3979400
2012-02-26,15.400000,15.770000,15.240000,15.580000,15.580000,6757700
2012-03-04,15.510000,15.900000,15.250000,15.830000,15.830000,5678600
2012-03-11,15.770000,16.129999,15.350000,16.030001,16.030001,6513400
2012-03-18,15.940000,16.230000,15.530000,15.810000,15.810000,5707900
2012-03-25,15.870000,16.150000,15.270000,15.390000,15.390000,4664900
2012-04-01,15.340000,15.670000,15.100000,15.270000,15.270000,4006300
2012-04-08,15.060000,15.460000,14.490000,14.660000,14.660000,7769000
2012-04-15,14.660000,14.760000,14.030000,14.040000,14.040000,9889800
2012-04-22,13.920000,14.340000,13.690000,14.300000,14.300000,5224900
2012-04-29,14.300000,14.380000,13.400000,13.410000,13.410000,6476400
2012-05-06,13.310000,13.570000,12.510000,12.610000,12.610000,9393800
2012-05-13,12.550000,12.900000,11.150000,11.190000,11.190000,9540500
2012-05-20,11.250000,12.270000,11.000000,11.560000,11.560000,19012500
2012-05-27,11.660000,11.910000,10.900000,11.060000,11.060000,9862900
2012-06-03,11.060000,11.810000,10.630000,10.870000,10.870000,11891300
2012-06-10,10.990000,10.990000,9.610000,10.000000,10.000000,11533000
2012-06-17,9.920000,10.350000,9.760000,9.870000,9.870000,8849800
2012-06-24,9.730000,9.820000,9.130000,9.460000,9.460000,9182100
2012-07-01,9.480000,9.930000,9.130000,9.420000,9.420000,6090800
2012-07-08,9.400000,9.430000,8.830000,8.890000,8.890000,16174200
2012-07-15,8.930000,9.840000,8.880000,9.420000,9.420000,8315200
2012-07-22,9.220000,9.300000,8.690000,9.100000,9.100000,6345300
2012-07-29,9.080000,9.250000,7.370000,8.080000,8.080000,19983800
2012-08-05,8.080000,9.570000,8.050000,9.380000,9.380000,14502400
2012-08-12,9.390000,10.120000,8.740000,10.070000,10.070000,11936800
2012-08-19,10.070000,10.360000,9.890000,10.140000,10.140000,9435900
2012-08-26,10.220000,10.480000,9.950000,10.250000,10.250000,7768300
2012-09-02,10.220000,10.580000,9.860000,10.540000,10.540000,8070900
2012-09-09,10.520000,11.080000,10.350000,10.930000,10.930000,10610100
2012-09-16,10.970000,11.360000,10.690000,10.730000,10.730000,9128500
2012-09-23,10.700000,11.140000,10.120000,10.440000,10.440000,8632700
2012-09-30,10.430000,11.260000,10.010000,11.210000,11.210000,9548800
2012-10-07,11.130000,11.370000,10.290000,11.180000,11.180000,8490400
2012-10-14,11.300000,11.790000,10.900000,10.980000,10.980000,8638100
2012-10-21,10.850000,11.380000,10.490000,10.710000,10.710000,7329100
2012-10-28,11.380000,11.550000,10.770000,11.040000,11.040000,8234600
2012-11-04,11.010000,11.490000,10.800000,11.030000,11.030000,12174900
2012-11-11,11.190000,11.980000,11.190000,11.850000,11.850000,12879100
2012-11-18,11.980000,12.640000,11.930000,12.420000,12.420000,7758100
2012-11-25,12.390000,12.760000,12.180000,12.370000,12.370000,7183500
2012-12-02,12.480000,12.540000,12.040000,12.330000,12.330000,5067200
2012-12-09,12.320000,13.380000,12.300000,13.100000,13.100000,9970900
2012-12-16,13.160000,13.160000,11.120000,11.350000,11.350000,19162800
2012-12-23,11.400000,11.530000,10.840000,11.020000,11.020000,4801400
2012-12-30,10.850000,12.260000,10.610000,12.200000,12.200000,9710000
2013-01-06,12.110000,12.390000,11.530000,12.310000,12.310000,6479800
2013-01-13,12.250000,12.710000,12.060000,12.520000,12.520000,4786700
2013-01-20,12.490000,12.920000,12.350000,12.820000,12.820000,3675100
2013-01-27,13.010000,13.300000,11.550000,12.780000,12.780000,11819000
2013-02-03,12.770000,15.180000,12.260000,15.040000,15.040000,18844800
2013-02-10,14.990000,15.290000,14.560000,15.080000,15.080000,12384800
