Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",32.63,32.70,27.59,29.08,29.08,"183,544,700"
"Apr 06, 2020",23.90,34.04,21.80,31.50,31.50,"162,972,200"
"Mar 30, 2020",30.69,33.60,21.56,22.89,22.89,"116,059,900"
"Mar 23, 2020",25.97,39.78,23.37,32.84,32.84,"138,020,300"
"Mar 16, 2020",34.34,39.37,17.80,24.50,24.50,"153,730,300"
"Mar 09, 2020",49.59,54.33,34.00,41.64,41.64,"82,408,800"
"Mar 02, 2020",61.13,63.53,48.26,52.10,52.10,"63,362,100"
"Feb 24, 2020",75.08,76.18,60.83,61.59,61.59,"43,988,100"
"Feb 17, 2020",79.00,81.67,77.32,78.01,78.01,"14,969,000"
"Feb 10, 2020",78.95,82.60,77.78,79.55,79.55,"15,281,900"
"Feb 03, 2020",75.49,82.72,74.88,79.48,79.48,"25,717,500"
"Jan 27, 2020",78.00,78.47,74.44,74.80,74.80,"32,852,100"
"Jan 20, 2020",87.88,88.00,80.28,81.90,81.90,"31,064,000"
"Jan 13, 2020",87.31,90.10,86.70,89.70,89.70,"14,478,600"
"Jan 06, 2020",86.72,88.72,86.30,87.31,87.31,"13,674,400"
"Dec 30, 2019",88.51,90.57,86.26,87.90,87.90,"10,206,300"
"Dec 23, 2019",89.72,90.10,88.01,88.37,88.37,"5,118,800"
"Dec 16, 2019",87.95,89.99,87.95,89.28,89.28,"11,383,900"
"Dec 09, 2019",88.49,89.90,86.08,87.58,87.58,"11,450,300"
"Dec 02, 2019",93.00,93.62,87.60,88.58,88.58,"10,811,800"
"Nov 25, 2019",92.11,93.67,91.55,92.80,92.80,"6,492,100"
"Nov 18, 2019",92.45,93.72,90.77,91.78,91.78,"9,620,300"
"Nov 11, 2019",92.85,93.88,91.90,92.51,92.51,"7,096,200"
"Nov 04, 2019",92.31,95.16,92.03,93.44,93.44,"9,638,200"
"Oct 28, 2019",91.83,92.80,90.41,91.65,91.65,"9,333,900"
"Oct 21, 2019",90.49,91.84,88.95,91.64,91.64,"10,184,300"
"Oct 14, 2019",87.11,90.84,86.24,90.09,90.09,"19,755,500"
"Oct 07, 2019",83.61,89.13,83.61,87.15,87.15,"12,912,900"
"Sep 30, 2019",88.40,90.19,80.87,84.29,84.29,"13,234,400"
"Sep 23, 2019",88.62,90.30,87.42,88.14,88.14,"9,293,900"
"Sep 16, 2019",88.30,91.26,88.17,89.09,89.09,"14,148,400"
"Sep 09, 2019",86.49,91.84,85.91,91.35,91.35,"11,991,700"
"Sep 02, 2019",83.64,87.44,82.25,86.30,86.30,"10,401,900"
"Aug 26, 2019",83.42,85.68,81.17,84.31,84.31,"12,378,700"
"Aug 19, 2019",84.02,85.87,82.22,82.53,82.53,"10,421,100"
"Aug 12, 2019",86.24,86.28,80.78,82.94,82.94,"13,584,600"
"Aug 05, 2019",88.88,88.88,84.03,86.98,86.98,"11,970,400"
"Jul 29, 2019",93.44,94.05,88.83,89.43,89.43,"10,600,100"
"Jul 22, 2019",94.07,95.46,92.96,93.36,93.36,"11,635,500"
"Jul 15, 2019",91.60,96.03,91.15,93.83,93.83,"19,775,100"
"Jul 08, 2019",90.16,91.52,88.92,91.23,91.23,"13,979,800"
"Jul 01, 2019",88.84,91.08,87.77,90.59,90.59,"11,128,100"
"Jun 24, 2019",86.78,87.74,84.75,87.55,87.55,"10,443,600"
"Jun 17, 2019",87.27,89.41,85.89,86.72,86.72,"11,330,100"
"Jun 10, 2019",83.62,87.91,82.07,87.12,87.12,"11,109,400"
"Jun 03, 2019",77.38,84.85,77.35,83.27,83.27,"10,960,100"
"May 27, 2019",80.50,80.79,77.40,77.65,77.65,"10,457,900"
"May 20, 2019",81.39,83.37,79.77,80.79,80.79,"10,521,400"
"May 13, 2019",83.03,83.77,81.23,81.50,81.50,"12,868,800"
"May 06, 2019",87.14,88.03,80.99,84.79,84.79,"11,091,800"
"Apr 29, 2019",88.02,90.16,87.78,88.50,88.50,"10,523,300"
"Apr 22, 2019",87.77,89.15,86.49,87.94,87.94,"10,029,000"
"Apr 15, 2019",85.31,89.81,84.08,88.28,88.28,"16,544,000"
"Apr 08, 2019",84.60,86.50,83.46,85.49,85.49,"14,494,700"
"Apr 01, 2019",80.21,85.75,79.56,84.91,84.91,"15,332,600"
"Mar 25, 2019",79.68,80.05,77.02,79.78,79.78,"14,177,300"
"Mar 18, 2019",81.39,81.86,78.75,79.63,79.63,"15,321,800"
"Mar 11, 2019",81.94,82.91,79.59,81.69,81.69,"21,322,600"
"Mar 04, 2019",87.10,87.24,81.62,82.40,82.40,"16,369,300"
"Feb 25, 2019",90.05,90.93,85.37,86.92,86.92,"14,950,500"
"Feb 18, 2019",87.87,89.82,87.29,89.43,89.43,"9,415,300"
"Feb 11, 2019",88.86,90.27,87.50,88.31,88.31,"12,540,400"
"Feb 04, 2019",87.47,89.88,86.66,88.17,88.17,"13,029,300"
"Jan 28, 2019",83.17,88.57,83.10,87.49,87.49,"13,164,500"
"Jan 21, 2019",85.37,85.69,82.63,84.14,84.14,"17,178,200"
"Jan 14, 2019",79.28,87.75,78.68,85.59,85.59,"28,132,600"
"Jan 07, 2019",82.57,84.62,77.39,80.07,80.07,"23,597,100"
"Dec 31, 2018",83.74,84.61,78.38,82.68,82.68,"15,871,600"
"Dec 24, 2018",80.91,84.74,79.05,83.17,83.17,"14,977,900"
"Dec 17, 2018",87.88,88.88,81.25,81.47,81.47,"24,697,600"
"Dec 10, 2018",88.05,90.30,86.23,87.74,87.74,"17,060,200"
"Dec 03, 2018",97.67,97.85,87.61,88.23,88.23,"17,196,500"
"Nov 26, 2018",95.56,96.80,91.73,96.70,96.70,"19,371,000"
"Nov 19, 2018",92.32,95.08,90.45,94.84,94.84,"12,377,400"
"Nov 12, 2018",92.36,93.47,89.02,92.26,92.26,"15,516,200"
"Nov 05, 2018",88.98,93.60,88.28,92.35,92.35,"15,429,500"
"Oct 29, 2018",85.98,90.28,83.92,88.68,88.68,"18,796,500"
"Oct 22, 2018",87.84,89.23,81.92,84.63,84.63,"22,542,800"
"Oct 15, 2018",80.40,89.61,80.10,87.43,87.43,"28,370,400"
"Oct 08, 2018",84.00,84.49,78.87,80.18,80.18,"21,196,700"
"Oct 01, 2018",89.29,89.58,84.02,84.14,84.14,"14,610,300"
"Sep 24, 2018",89.83,89.99,86.82,89.06,89.06,"11,875,900"
"Sep 17, 2018",90.50,91.39,87.11,89.94,89.94,"13,225,700"
"Sep 10, 2018",87.68,90.48,87.15,90.33,90.33,"15,206,400"
"Sep 03, 2018",87.84,89.48,86.26,87.68,87.68,"15,246,500"
"Aug 27, 2018",85.70,87.67,85.57,87.42,87.42,"11,521,900"
"Aug 20, 2018",82.41,86.60,82.13,85.14,85.14,"13,834,000"
"Aug 13, 2018",81.81,82.74,80.35,82.01,82.01,"9,883,900"
"Aug 06, 2018",81.27,83.66,80.65,81.72,81.72,"9,308,200"
"Jul 30, 2018",79.62,81.64,78.70,81.34,81.34,"15,093,900"
"Jul 23, 2018",80.77,82.04,79.55,80.01,80.01,"18,673,700"
"Jul 16, 2018",72.33,81.55,71.52,80.91,80.91,"39,933,600"
"Jul 09, 2018",71.23,72.24,67.94,72.10,72.10,"18,836,500"
"Jul 02, 2018",69.40,71.37,69.21,70.96,70.96,"9,715,500"
"Jun 25, 2018",72.80,72.80,68.49,69.73,69.73,"12,712,600"
"Jun 18, 2018",73.34,75.53,72.38,72.94,72.94,"15,727,900"
"Jun 11, 2018",70.83,74.04,70.56,73.89,73.89,"16,982,000"
"Jun 04, 2018",69.36,70.53,67.93,69.99,69.99,"13,138,600"
"May 28, 2018",70.99,71.52,68.99,69.25,69.25,"10,088,600"
"May 21, 2018",69.01,72.74,68.87,71.68,71.68,"14,796,100"
