Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",15.50,16.86,14.30,15.51,15.21,"14,584,400"
"Apr 06, 2020",14.80,16.93,13.86,15.58,15.28,"16,613,900"
"Mar 30, 2020",16.01,16.19,12.60,13.46,13.20,"13,933,700"
"Mar 23, 2020",10.62,17.06,9.58,15.97,15.66,"21,548,400"
"Mar 16, 2020",13.10,13.50,10.34,10.56,10.36,"22,227,200"
"Mar 09, 2020",18.51,19.24,13.56,15.51,15.21,"23,449,300"
"Mar 02, 2020",23.51,25.60,20.20,20.65,20.25,"16,708,700"
"Feb 24, 2020",28.97,28.99,22.61,23.31,22.86,"15,811,900"
"Feb 17, 2020",29.83,30.39,29.36,29.97,29.39,"6,106,200"
"Feb 10, 2020",29.33,30.42,29.00,30.01,29.43,"9,098,200"
"Feb 03, 2020",26.84,30.57,26.78,29.46,28.89,"12,231,000"
"Jan 27, 2020",27.38,27.95,26.42,26.69,25.91,"10,959,300"
"Jan 20, 2020",29.16,29.16,27.76,28.10,27.27,"7,527,400"
"Jan 13, 2020",28.81,29.63,28.40,29.37,28.51,"7,062,600"
"Jan 06, 2020",28.75,29.21,28.38,28.72,27.88,"8,722,000"
"Dec 30, 2019",28.96,29.67,28.70,29.06,28.21,"6,409,400"
"Dec 23, 2019",29.43,29.60,28.80,28.84,27.99,"4,075,100"
"Dec 16, 2019",30.70,30.90,29.12,29.41,28.55,"16,276,000"
"Dec 09, 2019",29.28,31.32,29.08,30.34,29.45,"12,190,500"
"Dec 02, 2019",30.87,31.23,28.77,29.27,28.41,"12,145,700"
"Nov 25, 2019",30.16,31.11,29.84,30.74,29.84,"5,920,800"
"Nov 18, 2019",29.51,30.50,28.79,30.21,29.32,"10,120,100"
"Nov 11, 2019",29.58,30.25,29.41,29.70,28.83,"7,014,500"
"Nov 04, 2019",28.98,30.38,28.84,30.00,29.12,"7,638,800"
"Oct 28, 2019",28.63,29.00,27.00,28.64,27.80,"8,738,500"
"Oct 21, 2019",28.66,29.46,28.34,28.49,27.38,"5,742,200"
"Oct 14, 2019",27.96,28.93,27.81,28.27,27.17,"6,168,400"
"Oct 07, 2019",27.14,28.76,26.42,28.29,27.19,"9,404,700"
"Sep 30, 2019",29.73,30.03,26.13,27.25,26.19,"8,581,000"
"Sep 23, 2019",29.13,29.94,28.94,29.60,28.45,"7,833,700"
"Sep 16, 2019",29.42,30.18,29.14,29.45,28.30,"9,001,800"
"Sep 09, 2019",26.75,30.21,26.68,29.77,28.61,"13,925,400"
"Sep 02, 2019",25.12,26.82,24.71,26.48,25.45,"10,943,000"
"Aug 26, 2019",26.48,26.57,24.89,25.41,24.42,"14,007,600"
"Aug 19, 2019",27.20,27.30,25.98,26.11,25.09,"9,064,200"
"Aug 12, 2019",27.89,28.39,25.69,26.69,25.65,"9,242,400"
"Aug 05, 2019",28.94,29.20,27.42,28.32,27.22,"10,723,700"
"Jul 29, 2019",32.83,33.20,29.49,29.69,28.53,"10,023,100"
"Jul 22, 2019",32.96,33.32,32.31,32.98,31.42,"9,450,800"
"Jul 15, 2019",33.25,33.35,32.36,32.95,31.39,"12,925,600"
"Jul 08, 2019",34.35,34.74,32.34,33.08,31.51,"9,894,800"
"Jul 01, 2019",34.04,35.09,33.77,34.60,32.96,"5,850,000"
"Jun 24, 2019",32.39,33.65,32.11,33.55,31.96,"9,872,200"
"Jun 17, 2019",33.01,33.61,31.85,32.40,30.87,"10,747,100"
"Jun 10, 2019",33.65,34.07,32.58,33.05,31.49,"7,495,000"
"Jun 03, 2019",31.46,33.89,31.43,33.51,31.92,"9,600,800"
"May 27, 2019",33.80,33.90,31.38,31.49,30.00,"6,781,700"
"May 20, 2019",34.67,35.48,32.97,33.99,32.38,"8,576,900"
"May 13, 2019",35.42,35.62,34.43,34.79,33.14,"8,324,600"
"May 06, 2019",36.39,36.84,35.12,36.22,34.51,"10,030,400"
"Apr 29, 2019",36.70,37.81,36.05,36.81,35.07,"12,242,000"
