Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",16.75,16.86,14.39,15.80,15.80,"58,432,200"
"Apr 06, 2020",13.12,17.14,12.94,16.56,16.56,"70,053,100"
"Mar 30, 2020",12.97,14.89,11.92,12.43,12.43,"71,357,300"
"Mar 23, 2020",11.90,16.19,10.81,12.79,12.79,"104,534,300"
"Mar 16, 2020",15.50,15.73,10.10,11.97,11.97,"93,064,100"
"Mar 09, 2020",20.00,20.57,15.59,16.40,16.16,"83,883,500"
"Mar 02, 2020",24.75,24.80,20.62,21.57,21.25,"91,400,100"
"Feb 24, 2020",27.50,27.51,23.07,24.61,24.24,"105,597,300"
"Feb 17, 2020",35.02,35.97,28.17,28.26,27.84,"78,651,800"
"Feb 10, 2020",34.50,35.58,33.96,34.98,34.46,"26,907,000"
"Feb 03, 2020",33.73,35.26,32.60,34.71,34.19,"40,537,500"
"Jan 27, 2020",35.37,35.76,33.49,34.13,33.62,"42,536,900"
"Jan 20, 2020",39.50,39.62,35.40,35.79,35.26,"34,548,500"
"Jan 13, 2020",40.40,41.05,39.32,39.49,38.90,"31,013,400"
"Jan 06, 2020",41.49,42.37,40.13,40.31,39.71,"31,380,600"
"Dec 30, 2019",41.78,42.35,41.07,41.45,40.83,"18,833,200"
"Dec 23, 2019",42.74,42.96,41.62,41.76,41.14,"17,645,100"
"Dec 16, 2019",39.07,43.04,38.84,42.39,41.76,"46,067,300"
"Dec 09, 2019",40.24,40.31,36.91,38.64,38.07,"38,221,100"
"Dec 02, 2019",40.50,41.78,38.87,39.72,39.13,"55,901,700"
"Nov 25, 2019",39.57,40.75,39.09,40.38,39.78,"22,114,600"
"Nov 18, 2019",38.40,39.68,37.88,39.52,38.93,"28,355,800"
"Nov 11, 2019",38.21,39.22,36.67,38.57,38.00,"37,509,400"
"Nov 04, 2019",36.95,38.30,36.74,38.11,37.54,"20,079,500"
"Oct 28, 2019",36.27,36.88,35.02,36.74,36.19,"24,096,500"
"Oct 21, 2019",36.91,37.09,35.08,36.04,35.50,"29,538,300"
"Oct 14, 2019",38.31,38.61,36.25,36.75,36.20,"27,526,400"
"Oct 07, 2019",38.91,39.23,37.10,38.43,37.86,"20,116,600"
"Sep 30, 2019",40.45,41.08,37.88,39.04,38.46,"19,622,500"
"Sep 23, 2019",41.81,42.27,40.08,40.32,39.72,"23,893,300"
"Sep 16, 2019",43.51,44.08,41.83,41.88,41.26,"28,394,700"
"Sep 09, 2019",43.51,44.94,42.95,43.82,42.99,"29,017,700"
"Sep 02, 2019",41.37,43.71,40.65,43.63,42.80,"21,560,700"
"Aug 26, 2019",42.11,42.81,40.78,42.06,41.26,"21,725,500"
"Aug 19, 2019",44.35,44.86,41.22,41.41,40.63,"22,033,700"
"Aug 12, 2019",50.00,50.11,42.96,43.80,42.97,"29,362,500"
"Aug 05, 2019",49.49,51.06,48.05,48.91,47.98,"24,573,200"
"Jul 29, 2019",51.90,52.62,49.59,50.40,49.45,"9,230,600"
"Jul 22, 2019",50.55,51.96,49.36,51.85,50.87,"9,702,500"
"Jul 15, 2019",53.14,53.71,50.67,50.70,49.74,"11,274,500"
"Jul 08, 2019",51.80,53.47,51.75,53.18,52.17,"10,763,300"
"Jul 01, 2019",50.32,52.32,49.95,52.01,51.03,"8,033,600"
"Jun 24, 2019",49.49,49.90,48.29,49.90,48.96,"7,821,900"
