Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,40.279999,40.480000,38.150002,38.330002,26.126469,92502200
2012-01-08,38.450001,39.020000,38.139999,38.919998,26.873678,59020600
2012-01-15,39.200001,39.439999,38.700001,38.970001,26.908203,47983300
2012-01-22,38.900002,39.000000,37.209999,37.209999,25.692951,101417700
2012-01-29,37.110001,38.270000,37.070000,37.840000,26.127953,67336800
2012-02-05,37.820000,38.299999,37.520000,37.689999,26.024380,58140000
2012-02-12,37.779999,38.549999,37.669998,38.459999,26.556061,55158400
2012-02-19,38.610001,38.770000,37.880001,38.139999,26.335098,45554800
2012-02-26,38.070000,38.810001,37.889999,38.669998,26.701059,65820300
2012-03-04,38.650002,39.450001,38.619999,39.099998,26.997967,59631000
2012-03-11,39.110001,39.840000,39.020000,39.570000,27.322498,63948200
2012-03-18,39.459999,39.900002,39.299999,39.419998,27.218924,110777100
2012-03-25,39.500000,39.540001,37.560001,38.230000,26.397243,118588800
2012-04-01,38.290001,38.610001,37.520000,37.660000,26.003670,51405800
2012-04-08,37.360001,37.610001,36.799999,37.259998,26.066982,63804900
2012-04-15,37.330002,38.910000,37.209999,38.730000,27.095377,64263300
2012-04-22,38.450001,40.439999,38.410000,40.230000,28.144779,78620200
2012-04-29,40.090000,40.840000,40.080002,40.259998,28.165770,63180000
2012-05-06,40.060001,41.430000,39.849998,41.160000,28.795412,60599200
2012-05-13,40.919998,41.959999,40.480000,41.529999,29.054260,72797800
2012-05-20,41.689999,41.770000,40.880001,41.450001,28.998291,56176300
2012-05-27,41.650002,41.910000,40.950001,41.029999,28.704454,45021800
2012-06-03,41.000000,42.439999,40.919998,42.439999,29.690884,61607500
2012-06-10,42.610001,44.139999,42.349998,43.549999,30.467432,73388600
2012-06-17,43.520000,44.130001,43.040001,43.950001,30.747282,139793000
2012-06-24,43.610001,44.770000,43.389999,44.439999,31.090078,107412400
2012-07-01,44.290001,45.070000,44.000000,44.419998,31.076084,42793300
2012-07-08,44.450001,45.290001,44.259998,45.209999,31.985031,55922200
2012-07-15,45.119999,46.410000,43.849998,44.490002,31.475658,83577000
2012-07-22,44.209999,45.060001,43.360001,44.900002,31.765717,73811000
2012-07-29,44.709999,46.410000,44.150002,44.459999,31.454430,68537400
2012-08-05,44.650002,44.880001,43.939999,44.599998,31.553473,46657100
2012-08-12,44.439999,44.500000,43.779999,44.060001,31.171427,40414200
2012-08-19,43.930000,44.060001,42.180000,43.169998,30.541779,71778100
2012-08-26,43.099998,43.340000,42.500000,42.939999,30.379061,44991400
2012-09-02,42.910000,44.330002,42.770000,43.720001,30.930897,61700300
2012-09-09,43.790001,45.639999,43.740002,44.529999,31.503948,76666500
2012-09-16,44.439999,45.919998,44.270000,45.639999,32.289253,72198500
2012-09-23,45.799999,46.060001,45.259998,45.570000,32.239723,70152700
2012-09-30,45.639999,48.770000,45.400002,47.049999,33.286789,84129500
2012-10-07,47.009998,47.070000,44.590000,44.619999,31.915403,52557300
2012-10-14,44.480000,46.419998,43.750000,45.160000,32.301655,82999100
2012-10-21,45.020000,45.099998,43.790001,44.730000,31.994083,53411800
2012-10-28,44.970001,45.450001,44.400002,44.520000,31.843872,39780900
2012-11-04,44.450001,44.630001,42.009998,42.639999,30.499165,67789200
2012-11-11,42.650002,43.240002,40.509998,41.400002,29.612240,72443400
2012-11-18,41.830002,43.770000,41.669998,43.759998,31.300276,41168000
2012-11-25,43.430000,44.310001,42.599998,44.119999,31.557781,72002200
2012-12-02,44.470001,44.500000,43.630001,44.410000,31.765200,66384500
2012-12-09,44.439999,44.939999,43.930000,44.209999,31.622143,49521500
2012-12-16,44.250000,44.299999,43.250000,43.570000,31.164375,80967200
2012-12-23,43.259998,43.790001,42.840000,42.900002,30.685148,28166400
2012-12-30,42.529999,44.509998,42.490002,44.299999,31.686523,57292300
2013-01-06,44.250000,44.869999,42.759998,43.299999,30.971251,78471200
2013-01-13,42.919998,43.090000,41.500000,42.540001,30.782373,75985600
2013-01-20,43.000000,43.419998,42.340000,42.669998,30.876448,71935100
2013-01-27,42.770000,44.840000,42.459999,44.560001,32.244076,76627200
2013-02-03,44.250000,44.880001,44.020000,44.349998,32.092110,55597600
2013-02-10,44.299999,44.779999,44.110001,44.400002,32.128284,46463800
2013-02-17,44.259998,45.439999,44.259998,45.400002,32.851902,66860900
2013-02-24,45.500000,46.930000,45.430000,46.720001,33.807072,83295500
2013-03-03,46.700001,47.980000,46.590000,47.959999,34.704334,59107200
2013-03-10,47.860001,48.660000,47.549999,48.020000,34.747768,62640300
2013-03-17,47.959999,49.169998,47.959999,49.020000,35.471371,65600200
