Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",43.79,46.45,42.39,44.50,44.50,"29,363,800"
"Apr 06, 2020",41.90,44.42,41.19,43.98,43.98,"30,870,200"
"Mar 30, 2020",44.59,47.47,39.41,40.72,40.72,"48,598,000"
"Mar 23, 2020",46.56,47.71,41.00,44.00,44.00,"46,649,700"
"Mar 16, 2020",41.84,54.23,41.50,46.42,46.42,"57,695,800"
"Mar 09, 2020",48.03,50.78,40.52,46.19,46.19,"54,552,200"
"Mar 02, 2020",45.92,50.84,45.47,50.51,50.51,"47,888,200"
"Feb 24, 2020",50.78,51.33,44.61,45.76,45.76,"43,577,500"
"Feb 17, 2020",52.41,52.70,51.27,51.45,51.00,"15,625,300"
"Feb 10, 2020",53.29,54.53,52.74,52.85,52.39,"22,566,500"
"Feb 03, 2020",51.04,54.25,50.92,53.24,52.78,"23,228,600"
"Jan 27, 2020",51.55,52.99,50.66,50.85,50.41,"23,712,500"
"Jan 20, 2020",54.39,54.39,51.89,52.04,51.59,"21,053,800"
"Jan 13, 2020",54.20,54.79,53.82,54.41,53.94,"23,503,200"
"Jan 06, 2020",59.04,59.78,54.06,54.22,53.75,"42,958,400"
"Dec 30, 2019",59.09,59.60,58.18,59.08,58.57,"17,162,400"
"Dec 23, 2019",58.71,59.03,58.28,59.02,58.51,"12,672,300"
"Dec 16, 2019",58.18,58.98,56.76,58.39,57.88,"29,417,100"
"Dec 09, 2019",58.53,59.28,57.69,57.88,57.38,"17,801,500"
"Dec 02, 2019",59.30,59.92,57.73,58.63,58.12,"21,569,300"
"Nov 25, 2019",60.69,61.05,58.94,59.60,59.08,"18,525,000"
"Nov 18, 2019",62.07,62.38,60.41,60.60,60.07,"22,177,900"
"Nov 11, 2019",62.64,63.24,61.21,62.14,61.15,"45,738,200"
"Nov 04, 2019",57.90,64.50,57.88,59.24,58.29,"68,403,300"
"Oct 28, 2019",56.04,57.71,54.00,57.38,56.46,"32,929,000"
"Oct 21, 2019",55.15,55.57,53.55,55.42,54.53,"21,845,700"
"Oct 14, 2019",53.74,56.17,53.17,55.30,54.42,"18,358,300"
"Oct 07, 2019",52.83,54.60,51.86,53.99,53.13,"21,431,500"
"Sep 30, 2019",54.61,55.87,51.57,52.97,52.12,"20,579,500"
"Sep 23, 2019",54.94,55.09,53.23,54.41,53.54,"19,811,700"
"Sep 16, 2019",55.35,55.94,53.92,55.00,54.12,"27,595,300"
"Sep 09, 2019",52.65,58.10,52.65,55.99,55.09,"33,983,500"
"Sep 02, 2019",51.25,52.80,50.04,52.56,51.72,"15,027,800"
"Aug 26, 2019",49.98,51.19,49.03,51.19,50.37,"19,771,100"
"Aug 19, 2019",50.63,51.67,49.14,49.32,48.09,"21,119,800"
"Aug 12, 2019",52.78,53.90,49.12,50.48,49.22,"25,799,300"
"Aug 05, 2019",53.47,53.59,50.09,52.79,51.47,"26,068,600"
"Jul 29, 2019",55.09,55.77,53.07,53.68,52.34,"22,654,200"
"Jul 22, 2019",54.66,55.25,53.66,55.05,53.68,"18,609,500"
"Jul 15, 2019",55.96,56.16,53.82,54.44,53.08,"20,316,600"
"Jul 08, 2019",55.17,56.95,54.89,55.74,54.35,"23,541,900"
"Jul 01, 2019",55.36,55.68,54.19,55.19,53.81,"18,940,700"
"Jun 24, 2019",52.35,55.19,51.46,54.67,53.31,"43,751,600"
"Jun 17, 2019",52.57,53.93,52.13,52.45,51.14,"35,176,100"
"Jun 10, 2019",52.10,53.26,51.65,52.57,51.26,"18,965,100"
"Jun 03, 2019",49.52,52.10,49.52,51.97,50.67,"24,145,600"
"May 27, 2019",51.84,52.28,49.31,49.34,48.11,"21,079,200"
"May 20, 2019",52.03,53.01,51.16,51.77,50.48,"21,619,000"
"May 13, 2019",52.94,53.44,51.79,52.27,50.54,"25,233,500"
"May 06, 2019",53.72,54.10,52.39,53.42,51.65,"27,014,800"
"Apr 29, 2019",52.92,54.33,52.78,54.08,52.29,"30,043,600"
"Apr 22, 2019",54.59,54.92,52.25,52.85,51.10,"33,664,900"
"Apr 15, 2019",53.57,55.38,53.57,54.63,52.82,"31,970,000"
"Apr 08, 2019",54.72,55.40,53.32,53.45,51.68,"37,084,800"
"Apr 01, 2019",63.55,64.11,53.85,54.69,52.88,"85,768,300"
"Mar 25, 2019",62.33,63.76,61.14,63.27,61.18,"26,091,900"
"Mar 18, 2019",62.71,64.18,62.31,62.41,60.34,"25,000,000"
"Mar 11, 2019",60.19,62.69,59.84,62.63,60.56,"32,562,200"
"Mar 04, 2019",66.96,67.00,59.33,59.90,57.92,"57,824,400"
"Feb 25, 2019",70.93,71.88,66.08,66.61,64.41,"29,840,700"
"Feb 18, 2019",73.49,74.94,69.82,70.43,68.10,"23,667,900"
"Feb 11, 2019",70.25,73.83,70.03,73.43,70.57,"19,844,700"
"Feb 04, 2019",71.83,71.88,69.53,70.12,67.39,"25,679,900"
"Jan 28, 2019",71.37,72.59,70.47,71.88,69.08,"24,610,800"
"Jan 21, 2019",72.12,72.42,70.86,71.89,69.09,"19,140,900"
"Jan 14, 2019",71.40,72.88,70.35,72.43,69.61,"23,208,300"
"Jan 07, 2019",69.15,72.75,68.82,71.71,68.92,"29,873,800"
"Dec 31, 2018",68.54,70.14,66.69,69.57,66.86,"23,120,800"
"Dec 24, 2018",66.97,69.08,64.51,68.05,65.40,"24,248,000"
"Dec 17, 2018",77.92,78.37,66.79,67.26,64.64,"67,760,100"
"Dec 10, 2018",81.60,83.33,78.44,78.74,75.67,"29,991,800"
"Dec 03, 2018",85.03,86.31,80.77,81.19,78.03,"28,829,700"
"Nov 26, 2018",81.44,85.31,80.98,84.67,81.37,"32,810,500"
"Nov 19, 2018",82.34,82.99,78.28,80.81,77.66,"23,444,800"
"Nov 12, 2018",82.39,83.18,80.83,82.52,79.30,"21,226,200"
"Nov 05, 2018",79.60,83.00,79.03,82.39,78.75,"27,415,500"
"Oct 29, 2018",76.77,80.42,75.50,79.30,75.80,"39,882,800"
"Oct 22, 2018",77.56,78.10,73.50,76.23,72.87,"38,493,800"
"Oct 15, 2018",73.09,78.00,73.00,77.35,73.94,"34,118,700"
"Oct 08, 2018",72.50,74.55,69.69,73.50,70.26,"44,817,500"
"Oct 01, 2018",72.88,74.27,72.01,72.51,69.31,"24,823,200"
"Sep 24, 2018",72.56,74.57,71.76,72.90,69.68,"21,393,400"
"Sep 17, 2018",70.36,73.20,70.07,73.00,69.78,"27,220,600"
"Sep 10, 2018",68.55,70.97,68.44,70.28,67.18,"21,513,000"
"Sep 03, 2018",68.53,68.59,67.42,68.19,65.18,"20,515,700"
"Aug 27, 2018",69.67,69.87,67.54,68.56,65.53,"23,300,000"
"Aug 20, 2018",70.23,70.95,69.02,69.21,66.16,"22,034,100"
"Aug 13, 2018",66.48,70.19,66.21,69.99,66.48,"32,716,600"
"Aug 06, 2018",66.48,67.98,65.54,66.49,63.15,"30,306,700"
"Jul 30, 2018",68.39,69.53,65.78,67.22,63.85,"31,766,300"
"Jul 23, 2018",64.35,68.94,64.27,68.64,65.20,"36,748,600"
"Jul 16, 2018",65.14,66.72,64.31,64.98,61.72,"43,610,100"
"Jul 09, 2018",63.12,65.52,62.18,65.17,61.90,"46,152,300"
