Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,55.209999,55.759998,53.599998,54.230000,36.157784,7672700
2012-01-08,54.439999,55.779999,54.049999,55.529999,37.024563,7218600
2012-01-15,55.970001,56.139999,54.669998,55.099998,36.737846,7575000
2012-01-22,55.099998,57.480000,54.910000,57.250000,38.171364,8886500
2012-01-29,56.779999,57.619999,56.540001,56.889999,37.931335,9967600
2012-02-05,56.770000,57.660000,56.299999,56.450001,38.131012,7726100
2012-02-12,56.889999,57.330002,54.799999,55.459999,37.462276,7095600
2012-02-19,54.509998,54.840000,53.259998,54.299999,36.678715,26652800
2012-02-26,54.290001,54.980000,53.880001,54.680000,36.935410,11974600
2012-03-04,54.580002,55.130001,53.709999,54.349998,36.712494,9316300
2012-03-11,54.340000,55.330002,54.049999,54.810001,37.023220,13983800
2012-03-18,54.590000,55.200001,53.509998,54.080002,36.530117,9763300
2012-03-25,54.480000,55.180000,54.139999,54.959999,37.124538,8055400
2012-04-01,54.840000,55.040001,53.299999,53.459999,36.111313,6063600
2012-04-08,52.750000,53.680000,52.400002,53.220001,35.949200,7731600
2012-04-15,53.580002,54.959999,53.450001,54.720001,36.962425,6577500
2012-04-22,54.279999,56.910000,53.799999,56.720001,38.313396,7916400
2012-04-29,56.730000,57.950001,56.000000,56.209999,37.968895,9159200
2012-05-06,56.150002,56.860001,55.290001,56.279999,38.516392,7313700
2012-05-13,55.770000,56.349998,53.720001,53.889999,36.880737,6914400
2012-05-20,54.160000,55.970001,54.009998,55.220001,37.790962,6043800
2012-05-27,55.450001,55.919998,54.169998,54.240002,37.120277,5846800
2012-06-03,54.180000,56.080002,53.509998,55.959999,38.297394,7298600
2012-06-10,56.250000,56.900002,54.820000,56.799999,38.872257,9658700
2012-06-17,56.830002,57.810001,56.110001,56.500000,38.666954,8791400
2012-06-24,56.259998,58.340000,55.889999,58.299999,39.898823,7095900
2012-07-01,58.520000,59.450001,58.040001,59.009998,40.384720,4955100
2012-07-08,59.139999,60.700001,58.349998,60.610001,41.479729,7515200
2012-07-15,60.599998,61.889999,60.240002,60.470001,41.383911,8658500
2012-07-22,60.000000,61.990002,59.930000,61.830002,42.314644,8286300
2012-07-29,61.709999,62.799999,60.980000,61.200001,41.883492,7478500
2012-08-05,61.599998,62.130001,58.619999,59.660000,41.321239,19941900
2012-08-12,59.580002,60.310001,59.119999,59.950001,41.522106,7859800
2012-08-19,60.049999,60.080002,57.130001,58.139999,40.268471,12303800
2012-08-26,58.299999,58.740002,57.799999,58.439999,40.476250,6622900
