Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",121.27,132.97,121.17,132.12,132.12,"47,841,900"
"Apr 06, 2020",119.06,126.49,117.66,121.80,121.80,"49,949,400"
"Mar 30, 2020",111.86,119.91,110.94,119.48,119.48,"47,293,700"
"Mar 23, 2020",114.17,117.54,106.85,109.58,109.58,"76,589,900"
"Mar 16, 2020",105.20,128.08,102.00,113.97,113.47,"93,146,600"
"Mar 09, 2020",113.82,120.68,102.98,114.10,113.60,"75,982,000"
"Mar 02, 2020",107.60,117.91,107.29,117.23,116.71,"54,746,000"
"Feb 24, 2020",117.46,118.46,104.37,107.68,107.21,"48,050,000"
"Feb 17, 2020",118.47,119.95,116.86,118.58,118.06,"29,966,000"
"Feb 10, 2020",115.75,118.57,114.44,117.89,117.37,"30,141,100"
"Feb 03, 2020",114.90,117.23,114.10,116.45,115.94,"24,309,500"
"Jan 27, 2020",113.19,117.12,112.68,114.49,113.99,"28,421,400"
"Jan 20, 2020",114.59,116.53,114.15,114.37,113.87,"20,968,300"
"Jan 13, 2020",116.38,116.55,114.52,114.96,114.45,"35,567,000"
"Jan 06, 2020",117.40,118.09,115.68,116.38,115.87,"30,786,700"
"Dec 30, 2019",119.80,119.89,117.59,117.89,117.37,"20,021,900"
"Dec 23, 2019",120.20,120.69,118.95,119.59,119.06,"14,481,000"
"Dec 16, 2019",120.42,122.12,119.78,120.29,119.76,"27,448,000"
"Dec 09, 2019",119.57,120.65,118.53,120.29,119.76,"22,120,000"
"Dec 02, 2019",119.15,119.80,117.42,119.78,118.72,"26,515,900"
"Nov 25, 2019",120.00,120.02,117.90,119.09,118.04,"18,765,400"
"Nov 18, 2019",118.45,120.87,118.24,119.36,118.30,"23,484,800"
"Nov 11, 2019",118.70,125.38,118.28,118.87,117.82,"49,855,800"
"Nov 04, 2019",118.40,120.92,117.08,119.44,118.38,"20,751,600"
"Oct 28, 2019",119.25,119.70,116.83,117.62,116.58,"19,835,300"
"Oct 21, 2019",119.30,120.17,118.20,119.04,117.99,"14,259,200"
"Oct 14, 2019",119.85,120.60,118.87,119.14,118.09,"22,374,800"
"Oct 07, 2019",118.10,120.71,116.66,120.24,119.18,"24,192,900"
"Sep 30, 2019",118.67,119.44,114.58,118.16,117.11,"22,908,700"
"Sep 23, 2019",116.61,119.86,116.56,118.45,117.40,"24,470,800"
"Sep 16, 2019",116.54,117.81,115.25,116.98,115.94,"29,363,800"
"Sep 09, 2019",114.50,118.19,114.40,117.43,116.39,"26,228,100"
"Sep 02, 2019",113.68,117.96,113.49,114.73,113.71,"21,898,400"
"Aug 26, 2019",111.56,115.38,111.22,114.26,113.25,"28,016,200"
"Aug 19, 2019",114.35,114.78,110.13,110.83,109.85,"33,678,900"
"Aug 12, 2019",106.72,114.93,104.84,112.99,111.99,"52,071,200"
"Aug 05, 2019",108.00,108.84,105.59,107.28,105.81,"30,432,800"
"Jul 29, 2019",112.84,112.98,108.15,109.40,107.90,"26,104,800"
"Jul 22, 2019",114.10,114.34,111.57,113.02,111.47,"23,028,900"
"Jul 15, 2019",114.67,115.49,113.74,113.90,112.34,"16,543,800"
"Jul 08, 2019",111.92,114.77,111.70,114.60,113.03,"22,358,000"
"Jul 01, 2019",111.30,112.40,110.02,111.98,110.45,"16,364,300"
"Jun 24, 2019",111.49,112.22,108.86,110.49,108.98,"28,287,500"
"Jun 17, 2019",109.12,112.19,108.26,111.13,109.61,"31,162,900"
"Jun 10, 2019",106.48,109.59,106.37,109.07,107.58,"27,718,400"
"Jun 03, 2019",101.63,106.36,101.40,106.06,104.61,"34,355,600"
"May 27, 2019",102.56,103.57,100.60,101.44,100.05,"27,739,000"
"May 20, 2019",100.39,102.89,100.25,102.67,101.26,"32,361,900"
"May 13, 2019",100.45,103.96,99.01,100.86,99.48,"49,948,800"
"May 06, 2019",100.75,102.55,98.85,101.91,99.98,"30,054,100"
"Apr 29, 2019",101.88,102.92,100.24,102.08,100.15,"28,174,400"
"Apr 22, 2019",102.78,104.15,99.66,101.53,99.61,"26,896,800"
"Apr 15, 2019",101.30,103.80,101.26,103.18,101.23,"17,397,300"
"Apr 08, 2019",98.45,102.02,98.15,101.56,99.64,"24,649,900"
"Apr 01, 2019",97.97,99.20,96.79,98.83,96.96,"29,149,600"
"Mar 25, 2019",97.80,98.86,95.00,97.53,95.68,"34,318,700"
"Mar 18, 2019",98.30,100.49,97.94,98.28,96.42,"30,766,700"
"Mar 11, 2019",98.04,99.35,97.59,98.42,96.04,"35,423,900"
"Mar 04, 2019",98.12,99.19,97.00,97.59,95.23,"30,285,300"
"Feb 25, 2019",100.12,100.13,97.12,97.93,95.56,"47,353,800"
"Feb 18, 2019",102.38,104.18,98.65,99.55,97.14,"52,829,200"
"Feb 11, 2019",95.65,100.00,95.64,99.99,97.57,"33,564,400"
"Feb 04, 2019",93.86,96.82,93.35,95.58,93.27,"30,812,700"
"Jan 28, 2019",96.53,97.16,93.11,93.86,91.59,"50,293,400"
"Jan 21, 2019",97.15,99.35,96.43,96.94,94.60,"31,236,900"
"Jan 14, 2019",94.48,98.20,94.28,97.73,95.37,"31,288,400"
"Jan 07, 2019",93.62,96.14,93.12,94.84,92.55,"36,053,800"
"Dec 31, 2018",92.67,94.71,91.64,93.44,91.18,"31,464,900"
"Dec 24, 2018",86.54,93.47,85.78,92.13,89.90,"35,894,100"
"Dec 17, 2018",91.22,93.00,86.14,87.13,85.02,"62,135,300"
"Dec 10, 2018",93.56,94.49,91.57,91.85,89.63,"42,904,500"
"Dec 03, 2018",98.02,99.59,92.45,93.19,90.44,"38,372,100"
"Nov 26, 2018",95.69,98.43,94.41,97.65,94.77,"46,053,000"
