,Date_Time,Score
0,2020-04-23,0.9774
1,2020-04-15,0.7567
2,2020-04-01,-0.9796
3,2020-04-23,-0.9002
4,2020-04-23,-0.9975
5,2020-04-23,0.9971
6,2020-04-23,-0.2041
7,2020-03-24,0.5648
8,2020-04-23,0.9857
9,2020-04-16,0.9882
10,2020-03-17,-0.9555
11,2020-03-12,-0.9832
12,2020-03-06,-0.9353
13,2020-02-07,0.3706
14,2020-01-27,-0.9769
15,2020-01-19,0.986
16,2020-01-19,0.9929
17,2020-04-23,-0.0
18,2020-04-23,0.9991
19,2020-01-15,0.9977
20,2020-01-12,0.9975
21,2019-12-11,0.9881
22,2020-04-23,0.6095
23,2019-11-19,0.9821
24,2019-11-17,-0.9802
25,2020-04-23,0.9592
26,2019-11-07,-0.9274
27,2019-11-03,0.9566
28,2019-10-18,0.8867
29,2019-10-16,0.9727
30,2019-10-16,0.9954
31,2019-10-13,0.8549
32,2019-10-10,0.9884
33,2019-09-20,0.9987
34,2019-08-16,-0.2709
35,2019-07-23,0.991
36,2019-07-21,0.9952
37,2019-07-17,0.9906
38,2019-07-16,0.9989
39,2019-07-10,-0.9564
40,2020-04-23,-0.9663
41,2019-06-06,-0.3284
42,2020-04-23,-0.7523
43,2020-04-23,0.9834
44,2019-04-16,0.9896
45,2019-04-15,0.9816
46,2019-04-11,0.974
47,2019-04-11,0.991
48,2019-04-10,-0.9552
49,2019-04-01,0.6375
50,2019-03-19,0.936
51,2019-03-14,-0.8743
52,2019-02-28,0.0475
53,2019-02-25,0.9531
54,2019-02-19,0.9047
55,2020-04-23,0.9941
56,2019-02-13,0.9841
57,2019-02-13,0.8445
58,2019-02-13,0.9859
59,2019-02-12,-0.9657
60,2019-02-08,0.9702
61,2019-02-08,0.0772
62,2019-01-20,0.9771
63,2019-01-16,0.0516
64,2019-01-16,0.9661
65,2019-01-16,0.9816
66,2019-01-16,0.901
67,2019-01-16,0.9915
68,2019-01-13,0.9442
69,2018-11-16,-0.3999
70,2018-11-07,0.9463
71,2018-11-05,0.5423
72,2018-11-02,-0.5994
73,2018-10-21,0.9937
74,2018-10-15,0.9882
75,2018-10-15,0.9977
76,2018-10-15,0.9892
77,2018-10-14,0.9369
78,2018-10-12,0.8801
79,2018-10-10,0.9371
80,2018-10-05,0.9872
81,2020-04-23,0.9977
82,2018-09-23,0.9923
83,2018-09-21,0.8496
84,2018-09-20,0.7077
85,2018-09-20,0.8932
86,2018-09-11,-0.0516
87,2018-09-07,-0.3572
88,2020-04-23,0.9776
89,2018-08-22,0.9306
90,2018-08-06,0.9964
91,2018-08-06,0.7857
92,2018-07-19,-0.0516
93,2020-04-23,-0.9674
94,2020-04-23,0.9814
95,2018-07-16,0.9919
96,2020-04-23,0.7351
97,2018-07-09,0.7906
98,2018-07-02,0.9807
99,2020-04-23,0.9952
100,2018-06-28,0.9677
101,2018-06-26,0.6486
102,2018-06-19,0.8399
103,2020-04-16,0.9882
104,2018-06-17,0.9598
105,2018-06-13,0.9933
106,2018-06-04,-0.5955
107,2018-05-31,-0.8214
108,2018-05-09,-0.9231
109,2018-05-03,0.9216
110,2018-04-18,0.6705
111,2018-04-18,0.9925
112,2018-04-16,0.9872
113,2018-04-16,0.9846
114,2018-04-15,0.9501
115,2018-04-10,0.9915
116,2020-04-23,0.9794
117,2020-04-23,0.5542
118,2018-03-27,0.9929
119,2020-04-23,-0.6059
120,2018-03-25,-0.5106
121,2018-03-23,0.8932
122,2018-03-23,0.9961
123,2018-03-22,0.9925
124,2018-03-19,0.9709
125,2018-03-16,0.8674
126,2018-03-16,0.9809
127,2018-03-16,-0.5859
128,2018-03-08,0.804
129,2020-04-16,0.9882
130,2018-02-25,-0.9969
131,2018-02-23,-0.8729
132,2018-02-21,0.5106
133,2018-02-09,0.5346
134,2018-01-31,0.9965
135,2020-04-23,0.8957
136,2018-01-17,0.9809
137,2018-01-17,0.8779
138,2018-01-16,0.9764
139,2018-01-16,0.886
140,2018-01-15,-0.9587
141,2018-01-12,-0.9527
142,2018-01-11,0.9577
143,2020-04-23,0.7579
144,2018-01-09,0.9467
145,2018-01-07,0.4019
146,2018-01-05,0.9789
147,2018-01-04,0.9383
148,2020-04-23,0.9715
149,2018-01-03,0.6966
150,2018-01-03,0.9986
151,2017-12-19,-0.8456
152,2020-04-09,0.9896
153,2017-12-18,-0.4767
154,2017-12-15,0.8979
155,2017-12-13,-0.8802
156,2017-12-07,0.5499
157,2017-12-04,0.9661
158,2017-12-03,0.9698
159,2017-11-27,0.9682
160,2017-11-24,-0.128
161,2017-11-22,-0.4019
162,2017-11-22,-0.4497
163,2017-11-20,0.9265
164,2017-11-17,0.8838
165,2017-11-15,0.9595
166,2017-11-15,0.9842
167,2017-11-14,0.9559
168,2017-11-07,0.9403
169,2017-11-05,0.977
170,2017-11-02,0.9694
171,2017-10-31,0.8834
172,2017-10-29,0.853
173,2017-10-29,0.9937
174,2017-10-26,0.9879
175,2017-10-25,0.9818
176,2017-10-24,0.9939
177,2017-10-24,0.9217
178,2020-04-09,0.9956
179,2020-04-23,0.9376
180,2017-10-18,0.9972
181,2017-10-16,-0.988
182,2017-10-13,-0.8545
183,2020-04-23,0.9756
184,2017-10-13,0.8962
185,2020-04-23,0.963
186,2020-04-23,0.963
187,2020-04-23,0.9596
188,2017-10-06,-0.9824
189,2017-10-05,0.47
190,2017-10-04,0.9001
191,2017-10-03,-0.9246
192,2017-10-03,-0.3716
193,2017-10-03,0.5423
194,2020-04-23,-0.1901
195,2020-04-23,0.9906
196,2017-09-29,0.3612
197,2017-09-27,0.25
198,2017-09-26,-0.7712
199,2017-09-25,0.9937
200,2017-09-20,0.9313
201,2017-09-18,0.9386
202,2017-09-12,-0.5346
203,2017-09-12,0.1586
204,2020-04-09,0.9896
205,2020-04-23,-0.2263
206,2017-09-06,-0.9114
207,2017-09-05,0.8732
208,2017-08-31,0.9274
209,2020-04-23,-0.8176
210,2017-08-27,0.973
211,2017-08-15,-0.1548
212,2017-08-15,-0.6121
213,2017-08-08,0.9509
214,2017-08-06,-0.9973
215,2020-04-23,0.9849
216,2017-08-01,0.99
217,2017-07-26,0.6955
218,2017-07-25,0.8209
219,2017-07-25,0.289
220,2017-07-25,0.7717
221,2017-07-24,0.2023
222,2017-07-23,0.9936
223,2017-07-23,0.9959
224,2017-07-21,0.9877
225,2017-07-21,0.9413
226,2020-04-23,-0.6667
227,2017-07-19,-0.9605
228,2020-04-03,0.743
229,2017-07-19,0.9976
230,2017-07-18,0.9738
231,2017-07-18,0.9892
232,2020-04-23,0.9609
233,2017-07-09,0.9914
234,2017-07-07,-0.714
235,2017-07-06,0.9736
236,2017-06-30,0.9913
237,2017-06-28,-0.9747
238,2020-04-23,0.25
239,2017-06-26,0.0258
240,2017-06-23,0.85
241,2020-04-23,-0.8611
242,2017-06-22,-0.6112
243,2017-06-22,-0.7007
244,2017-06-20,0.9796
245,2017-06-14,0.6486
246,2017-06-13,0.8176
247,2017-06-09,0.9707
248,2017-06-02,0.9916
249,2020-04-23,0.8418
250,2017-06-01,0.9436
251,2017-06-01,0.9753
252,2020-04-23,0.9908
253,2017-05-17,0.8795
254,2017-05-16,0.9638
255,2017-05-12,0.8824
256,2020-04-23,0.9072
257,2017-05-04,0.9765
258,2017-05-02,-0.91
259,2020-04-23,0.6317
260,2017-04-26,0.7134
261,2017-04-21,0.9864
262,2017-04-20,0.9974
263,2017-04-19,0.7956
264,2017-04-18,0.988
265,2017-04-18,0.993
266,2017-04-18,0.993
267,2017-04-13,0.9489
268,2017-04-12,0.9955
269,2017-04-04,0.9578
270,2017-04-03,0.9912
271,2017-03-31,-0.3861
272,2020-04-23,0.9887
273,2017-03-26,0.997
274,2020-04-23,0.7615
275,2017-03-20,0.9667
276,2020-04-23,0.1406
277,2020-04-09,0.9956
278,2017-03-15,0.8807
279,2017-03-10,0.9447
280,2017-03-06,0.9891
281,2017-02-26,0.9777
282,2017-02-26,0.9493
283,2020-04-23,-0.2606
284,2017-02-19,0.9942
285,2017-02-17,0.9847
286,2017-02-15,0.5409
287,2020-04-23,0.9764
288,2020-04-23,0.991
289,2017-01-25,-0.5423
290,2017-01-22,0.9011
291,2017-01-22,0.9739
292,2017-01-17,0.1581
293,2017-01-15,0.9892
294,2017-01-13,0.9943
295,2020-04-23,0.9981
296,2017-01-13,0.9628
297,2017-01-13,0.9943
298,2017-01-13,0.9891
299,2017-01-12,0.9962
300,2017-01-09,-0.9853
301,2017-01-09,-0.9779
302,2020-04-17,-0.9874
303,2017-01-08,0.9769
304,2017-01-02,0.9762
305,2016-12-29,0.9659
306,2016-12-22,0.9999
307,2016-12-20,0.9745
308,2016-12-20,0.9868
309,2020-04-23,0.9716
310,2016-12-16,0.8779
311,2020-04-23,0.9944
312,2016-11-21,0.9273
313,2016-11-20,0.9918
314,2016-11-17,0.8657
315,2020-04-23,-0.9312
316,2020-04-23,0.9189
317,2016-11-07,0.9909
318,2016-10-21,0.3774
319,2020-04-23,0.9776
320,2016-10-17,0.997
321,2016-10-17,-0.5481
322,2016-10-17,0.9524
323,2016-10-17,0.9792
324,2016-10-14,0.8779
325,2016-10-14,0.899
326,2016-10-14,0.9863
327,2016-10-11,-0.9439
328,2020-04-03,0.743
329,2016-10-07,-0.1779
330,2016-10-06,0.9888
331,2016-10-03,-0.9207
332,2016-09-27,0.9287
333,2016-09-27,-0.3158
334,2016-09-27,-0.6486
335,2016-09-26,0.4963
336,2016-09-22,0.9887
337,2016-09-22,0.6673
338,2016-09-22,0.9949
339,2020-04-23,-0.7003
340,2016-09-19,-0.7845
341,2016-09-19,-0.9893
342,2016-09-19,-0.7506
343,2020-04-23,0.9618
344,2016-09-16,-0.4962
345,2016-09-14,-0.9432
346,2016-09-14,0.9754
347,2016-09-13,-0.9403
348,2016-09-13,-0.9688
349,2016-09-13,0.1027
350,2016-09-09,0.9346
351,2016-09-08,0.981
352,2016-09-08,-0.7032
353,2020-04-23,-0.6762
354,2016-09-07,0.9734
355,2020-04-23,-0.3489
356,2016-09-06,0.9892
357,2016-09-06,-0.9764
358,2016-09-05,0.9794
359,2016-08-30,0.875
360,2016-08-30,0.9694
361,2016-08-30,0.9217
362,2020-04-23,-0.9432
363,2016-08-26,0.9921
364,2020-04-23,0.9684
365,2016-08-26,-0.296
366,2016-08-25,0.9042
367,2016-08-23,0.1779
368,2016-08-23,0.4404
369,2016-08-23,0.9301
370,2016-08-22,0.9806
371,2020-04-23,0.7007
372,2016-08-19,-0.3474
373,2016-08-18,0.9312
374,2016-08-17,0.9823
375,2016-08-12,-0.969
376,2016-08-12,-0.9691
377,2016-08-11,0.6516
378,2016-08-11,-0.888
379,2020-04-23,0.8204
380,2020-04-23,0.8879
381,2020-04-23,0.9551
382,2016-08-08,0.8689
383,2016-08-08,-0.2649
384,2016-08-08,0.9938
385,2016-08-08,0.9914
386,2020-04-23,0.397
387,2016-08-08,0.9096
388,2016-08-05,0.9957
389,2016-08-05,0.6508
390,2016-08-05,-0.7027
391,2020-04-23,0.4915
392,2020-04-23,-0.9773
393,2016-08-02,0.8748
394,2016-08-02,-0.8755
395,2016-08-01,-0.4153
396,2020-04-23,0.886
397,2016-08-01,0.8644
398,2016-07-29,-0.9501
399,2020-04-16,0.9909
400,2016-07-27,-0.7184
401,2016-07-27,0.9045
402,2020-04-23,0.1154
403,2016-07-27,0.9178
404,2016-07-27,0.9928
405,2016-07-22,0.9812
406,2016-07-21,-0.9877
407,2016-07-20,0.9945
408,2016-07-19,-0.5224
409,2016-07-19,0.9617
410,2016-07-19,-0.6249
411,2020-04-23,-0.7615
412,2016-07-18,0.9283
413,2016-07-18,0.34
414,2016-07-18,-0.8074
415,2016-07-18,0.9447
416,2020-04-23,0.7003
417,2020-04-23,0.9871
418,2016-07-14,0.8522
419,2016-07-14,0.91
420,2016-07-13,0.9918
421,2016-07-11,-0.7096
422,2016-07-11,0.25
423,2016-07-11,0.9923
424,2020-04-23,0.9913
425,2020-04-09,-0.9264
426,2016-07-08,0.8968
427,2016-07-08,0.0747
428,2016-07-08,0.9432
429,2016-07-08,0.9449
430,2016-07-07,0.7542
431,2016-07-06,-0.6115
432,2016-07-05,0.8753
433,2016-07-04,-0.1397
434,2016-07-03,0.9565
435,2016-07-01,-0.958
436,2016-07-01,0.9902
437,2020-04-23,-0.7783
438,2020-04-23,0.6163
439,2016-06-29,0.9062
440,2016-06-29,-0.9885
441,2016-06-29,0.9913
442,2020-04-23,-0.9172
443,2016-06-28,0.3182
444,2016-06-28,0.0516
445,2016-06-28,-0.9062
446,2016-06-28,-0.935
447,2020-04-23,0.9086
448,2016-06-27,0.8354
449,2020-04-23,-0.4215
450,2016-06-27,-0.4397
451,2020-04-03,0.743
452,2016-06-27,0.5789
453,2016-06-27,0.7105
454,2016-06-24,-0.7831
455,2016-06-24,-0.9715
456,2016-06-24,0.5423
457,2016-06-24,-0.9709
458,2016-06-24,-0.998
459,2016-06-24,0.8793
460,2016-06-24,0.7747
461,2016-06-23,0.775
462,2016-06-23,-0.5859
463,2016-06-23,0.0516
464,2016-06-23,0.2237
465,2020-04-23,-0.5063
466,2016-06-22,0.1531
467,2016-06-22,0.8591
468,2016-06-20,-0.9593
469,2016-06-20,0.9901
470,2020-04-23,0.8126
471,2016-06-17,0.9493
472,2020-04-23,-0.8586
473,2016-06-17,0.9633
474,2016-06-17,-0.9109
475,2020-04-23,0.8928
476,2020-04-23,0.9615
477,2020-04-09,0.9896
478,2020-04-23,0.8555
479,2016-06-15,0.8955
480,2016-06-14,0.9445
481,2020-04-23,-0.91
482,2020-04-23,0.0364
483,2016-06-10,0.9552
484,2016-06-10,0.9828
485,2016-06-10,0.2846
486,2016-06-09,-0.9628
487,2016-06-08,0.296
488,2016-06-08,0.961
489,2016-06-03,-0.2023
490,2016-06-03,0.9908
491,2016-06-03,0.0516
492,2016-06-02,0.6486
493,2016-06-02,0.2492
494,2020-04-23,0.5719
495,2016-06-02,0.9986
496,2016-06-01,-0.2672
497,2016-06-01,0.9793
498,2016-06-01,-0.4329
499,2016-06-01,0.25
500,2016-05-31,0.6249
501,2016-05-31,0.9763
502,2016-05-29,0.9816
503,2020-04-09,0.9896
504,2020-04-23,-0.8955
505,2016-05-27,0.9896
506,2016-05-27,0.836
507,2016-05-26,0.0772
508,2020-04-23,-0.7482
509,2016-05-25,0.9694
510,2016-05-25,-0.6249
511,2016-05-25,0.9082
512,2020-04-23,-0.4767
513,2016-05-24,0.8883
514,2016-05-24,0.9882
515,2020-04-23,-0.9964
516,2016-05-23,-0.9702
517,2020-04-23,-0.9924
518,2016-05-20,0.9883
519,2016-05-20,0.9218
520,2016-05-19,0.7845
521,2016-05-19,0.9649
522,2016-05-18,0.9643
523,2020-04-23,-0.8052
524,2016-05-17,0.9757
525,2016-05-17,0.9144
526,2016-05-16,-0.7906
527,2016-05-15,0.983
528,2020-04-16,0.9867
529,2016-05-12,0.9546
530,2016-05-12,0.9926
531,2016-05-11,0.9216
532,2020-04-23,-0.436
533,2020-04-23,0.828
534,2020-04-23,-0.9501
535,2016-05-09,-0.719
536,2016-05-06,0.3939
537,2016-05-05,0.7003
538,2016-05-05,-0.9865
539,2020-04-23,-0.9923
