Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",94.88,99.11,92.15,97.63,97.63,"3,577,600"
"Apr 06, 2020",87.39,98.84,87.08,95.36,95.36,"3,580,600"
"Mar 30, 2020",92.24,95.74,82.20,84.04,84.04,"4,943,300"
"Mar 23, 2020",82.27,97.43,77.37,91.62,91.62,"4,551,000"
"Mar 16, 2020",99.52,106.43,81.61,82.84,82.60,"6,361,100"
"Mar 09, 2020",112.27,120.01,102.12,111.81,111.49,"6,304,800"
"Mar 02, 2020",115.36,124.72,114.73,119.80,119.46,"4,465,800"
"Feb 24, 2020",125.27,127.89,111.96,114.99,114.66,"4,723,300"
"Feb 17, 2020",132.94,134.69,126.69,128.58,128.21,"3,686,200"
"Feb 10, 2020",133.72,139.24,133.72,138.90,138.50,"3,253,100"
"Feb 03, 2020",130.05,137.05,129.94,134.04,133.66,"3,560,800"
"Jan 27, 2020",126.56,131.71,126.41,129.32,128.95,"2,742,900"
"Jan 20, 2020",127.70,130.58,126.65,128.00,127.63,"2,866,600"
"Jan 13, 2020",124.00,129.95,122.37,128.05,127.68,"4,293,200"
"Jan 06, 2020",122.16,123.88,120.88,123.43,123.08,"3,138,300"
"Dec 30, 2019",124.50,125.39,122.83,123.84,123.49,"1,635,900"
"Dec 23, 2019",124.42,125.03,123.04,124.59,124.23,"1,086,100"
"Dec 16, 2019",123.35,125.13,121.33,124.20,123.57,"3,509,500"
"Dec 09, 2019",122.49,125.75,122.11,123.01,122.39,"3,970,500"
"Dec 02, 2019",120.22,123.81,119.23,122.99,122.37,"2,961,300"
"Nov 25, 2019",118.99,122.37,117.60,120.03,119.42,"2,014,600"
"Nov 18, 2019",118.98,119.56,116.40,119.05,118.45,"3,275,200"
"Nov 11, 2019",115.05,119.27,113.96,119.12,118.52,"2,581,100"
"Nov 04, 2019",118.54,119.40,114.73,115.65,115.07,"3,389,800"
"Oct 28, 2019",113.73,118.54,113.73,118.19,117.59,"3,365,800"
"Oct 21, 2019",104.57,115.98,104.18,113.33,112.76,"4,999,100"
"Oct 14, 2019",101.14,104.82,100.33,103.95,103.42,"3,278,200"
"Oct 07, 2019",102.80,103.33,100.45,101.46,100.95,"4,405,200"
"Sep 30, 2019",102.86,104.81,98.40,103.32,102.80,"2,926,100"
"Sep 23, 2019",100.98,103.34,100.96,102.50,101.98,"2,367,200"
"Sep 16, 2019",101.63,102.93,100.06,101.57,101.06,"2,927,100"
"Sep 09, 2019",99.26,102.47,96.18,102.24,101.45,"3,380,900"
"Sep 02, 2019",95.73,99.99,94.72,98.95,98.19,"2,515,700"
"Aug 26, 2019",94.12,96.82,92.93,96.27,95.53,"2,304,000"
"Aug 19, 2019",96.53,97.03,93.03,93.42,92.70,"3,073,300"
"Aug 12, 2019",98.30,98.47,93.49,95.43,94.69,"5,517,200"
"Aug 05, 2019",99.98,100.95,97.53,98.73,97.97,"3,904,800"
"Jul 29, 2019",105.33,105.33,100.95,101.83,101.04,"3,939,700"
"Jul 22, 2019",107.65,109.08,98.24,105.26,104.45,"4,463,200"
"Jul 15, 2019",110.50,111.22,107.55,107.59,106.76,"3,081,600"
"Jul 08, 2019",109.76,111.40,108.70,110.44,109.59,"2,471,300"
"Jul 01, 2019",111.48,111.99,108.80,110.99,110.13,"2,483,500"
"Jun 24, 2019",108.20,110.61,106.92,110.55,109.70,"2,808,800"
"Jun 17, 2019",106.05,109.43,104.41,107.84,107.01,"3,553,900"
"Jun 10, 2019",104.58,106.26,104.26,106.02,104.93,"2,630,700"
"Jun 03, 2019",97.24,104.50,97.24,104.14,103.07,"3,785,100"
"May 27, 2019",99.73,100.74,94.72,97.05,96.05,"3,912,000"
"May 20, 2019",100.30,102.00,98.10,99.28,98.26,"4,385,100"
"May 13, 2019",98.14,102.54,97.87,100.47,99.44,"6,365,000"
"May 06, 2019",100.67,101.85,98.24,100.28,99.25,"4,253,000"
"Apr 29, 2019",98.41,102.39,98.06,102.19,101.14,"3,215,000"
"Apr 22, 2019",93.58,98.31,93.09,98.31,97.30,"4,510,300"
"Apr 15, 2019",94.57,94.99,93.34,93.75,92.79,"3,971,000"
"Apr 08, 2019",94.86,95.00,92.24,94.57,93.60,"2,852,500"
"Apr 01, 2019",91.16,95.27,91.16,94.92,93.94,"3,261,300"
"Mar 25, 2019",87.28,90.91,87.11,90.71,89.78,"2,651,000"
"Mar 18, 2019",88.49,89.56,87.10,87.22,86.32,"3,649,200"
"Mar 11, 2019",88.14,89.92,88.12,88.41,87.24,"3,809,700"
"Mar 04, 2019",91.32,91.51,87.26,87.98,86.81,"3,093,800"
"Feb 25, 2019",89.69,91.74,87.95,91.20,89.99,"3,461,400"
"Feb 18, 2019",88.12,90.67,85.96,89.70,88.51,"4,843,100"
"Feb 11, 2019",91.48,93.85,90.80,91.56,90.34,"4,787,700"
"Feb 04, 2019",86.56,91.39,86.00,91.39,90.18,"3,081,800"
"Jan 28, 2019",83.41,86.86,83.03,86.75,85.60,"2,542,500"
"Jan 21, 2019",83.05,84.86,81.64,84.19,83.07,"2,037,000"
"Jan 14, 2019",81.67,84.05,80.79,83.51,82.40,"3,354,100"
