Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020","2,040.00","2,461.00","2,038.00","2,375.00","2,375.00","41,638,700"
"Apr 06, 2020","1,936.00","2,053.00","1,930.02","2,042.76","2,042.76","19,520,100"
"Mar 30, 2020","1,922.83","1,993.02","1,889.15","1,906.59","1,906.59","23,317,500"
"Mar 23, 2020","1,827.75","1,956.49","1,812.00","1,900.10","1,900.10","33,043,900"
"Mar 16, 2020","1,641.51","1,957.00","1,626.03","1,846.09","1,846.09","49,697,400"
"Mar 09, 2020","1,773.86","1,894.27","1,675.00","1,785.00","1,785.00","40,727,200"
"Mar 02, 2020","1,906.49","1,996.33","1,869.50","1,901.09","1,901.09","29,090,900"
"Feb 24, 2020","2,003.18","2,039.30","1,811.13","1,883.75","1,883.75","35,628,500"
"Feb 17, 2020","2,125.02","2,185.10","2,088.00","2,095.97","2,095.97","13,284,400"
"Feb 10, 2020","2,085.01","2,185.95","2,084.96","2,134.87","2,134.87","19,774,500"
"Feb 03, 2020","2,010.60","2,098.53","2,000.25","2,079.28","2,079.28","23,842,900"
"Jan 27, 2020","1,820.00","2,055.72","1,815.34","2,008.72","2,008.72","30,319,200"
"Jan 20, 2020","1,865.00","1,902.50","1,847.44","1,861.64","1,861.64","13,174,900"
"Jan 13, 2020","1,891.31","1,898.00","1,855.09","1,864.72","1,864.72","15,775,100"
"Jan 06, 2020","1,860.00","1,917.82","1,860.00","1,883.16","1,883.16","17,635,700"
"Dec 30, 2019","1,874.00","1,898.01","1,832.23","1,874.97","1,874.97","13,974,600"
"Dec 23, 2019","1,788.26","1,901.40","1,784.51","1,869.80","1,869.80","15,209,700"
"Dec 16, 2019","1,767.00","1,802.97","1,757.05","1,786.50","1,786.50","17,944,600"
"Dec 09, 2019","1,750.66","1,768.99","1,735.00","1,760.94","1,760.94","12,896,300"
"Dec 02, 2019","1,804.40","1,805.55","1,740.00","1,751.60","1,751.60","15,917,800"
"Nov 25, 2019","1,753.25","1,824.69","1,753.24","1,800.80","1,800.80","11,616,400"
"Nov 18, 2019","1,738.30","1,762.52","1,722.71","1,745.72","1,745.72","13,042,300"
"Nov 11, 2019","1,778.00","1,786.22","1,732.86","1,739.49","1,739.49","13,165,500"
"Nov 04, 2019","1,801.01","1,815.06","1,774.04","1,785.88","1,785.88","11,461,600"
"Oct 28, 2019","1,748.06","1,797.45","1,742.50","1,791.44","1,791.44","14,006,800"
"Oct 21, 2019","1,769.66","1,789.78","1,695.00","1,761.33","1,761.33","20,421,000"
"Oct 14, 2019","1,728.91","1,798.85","1,722.00","1,757.51","1,757.51","13,795,200"
"Oct 07, 2019","1,731.63","1,747.83","1,705.00","1,731.92","1,731.92","12,570,400"
"Sep 30, 2019","1,726.99","1,755.60","1,685.06","1,739.65","1,739.65","14,970,400"
"Sep 23, 2019","1,777.00","1,795.71","1,713.82","1,725.45","1,725.45","18,475,500"
"Sep 16, 2019","1,824.02","1,832.57","1,780.92","1,794.16","1,794.16","15,536,900"
"Sep 09, 2019","1,841.00","1,853.66","1,805.34","1,839.34","1,839.34","12,841,000"
"Sep 02, 2019","1,770.00","1,842.00","1,768.00","1,833.51","1,833.51","11,674,800"
