Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",234.88,264.79,234.21,263.90,263.90,"2,824,700"
"Apr 06, 2020",229.21,252.00,227.76,237.92,237.92,"2,606,800"
"Mar 30, 2020",226.31,237.57,207.79,218.30,218.30,"3,761,000"
"Mar 23, 2020",212.97,233.63,204.28,223.02,223.02,"4,718,000"
"Mar 16, 2020",226.63,237.40,203.71,213.11,213.11,"5,794,900"
"Mar 09, 2020",222.53,235.50,200.07,235.42,235.42,"5,494,100"
"Mar 02, 2020",242.08,261.87,230.50,237.78,237.78,"4,787,000"
"Feb 24, 2020",279.05,281.63,234.02,242.19,242.19,"5,504,000"
"Feb 17, 2020",292.60,299.06,284.55,287.11,287.11,"2,334,900"
"Feb 10, 2020",283.22,293.44,281.30,291.98,291.98,"2,868,100"
"Feb 03, 2020",279.66,293.43,276.77,284.83,284.83,"2,584,300"
"Jan 27, 2020",270.48,280.97,268.16,274.33,274.33,"1,930,800"
"Jan 20, 2020",269.90,280.22,268.68,277.34,277.34,"2,130,000"
"Jan 13, 2020",262.74,270.60,261.57,270.28,270.28,"2,614,800"
"Jan 06, 2020",255.46,263.06,252.62,260.80,260.80,"2,195,000"
"Dec 30, 2019",258.52,259.66,253.75,256.97,256.97,"1,869,900"
"Dec 23, 2019",259.13,259.75,253.54,258.68,258.68,"1,583,900"
"Dec 16, 2019",257.18,260.10,253.52,258.89,258.89,"5,879,000"
"Dec 09, 2019",255.82,258.52,246.39,253.93,253.93,"3,255,300"
"Dec 02, 2019",254.81,256.92,243.01,256.63,256.63,"2,891,900"
"Nov 25, 2019",248.05,256.36,246.92,254.69,254.69,"1,550,700"
"Nov 18, 2019",234.60,248.32,234.01,246.38,246.38,"2,696,300"
"Nov 11, 2019",223.69,235.59,222.65,235.15,235.15,"2,059,200"
"Nov 04, 2019",221.61,228.03,206.73,224.31,224.31,"2,933,900"
"Oct 28, 2019",221.43,225.55,219.49,220.00,220.00,"2,101,200"
"Oct 21, 2019",219.24,223.22,213.67,220.25,220.25,"1,844,000"
"Oct 14, 2019",223.41,229.20,216.10,218.43,218.43,"1,761,100"
"Oct 07, 2019",224.34,227.68,216.52,224.16,224.16,"1,489,300"
"Sep 30, 2019",217.19,224.99,211.66,224.63,224.63,"1,916,000"
"Sep 23, 2019",215.26,220.72,211.46,217.09,217.09,"1,903,500"
"Sep 16, 2019",210.46,220.82,210.45,216.57,216.57,"2,526,700"
"Sep 09, 2019",218.93,219.03,208.98,212.13,212.13,"3,235,500"
"Sep 02, 2019",206.53,219.86,205.33,217.59,217.59,"1,966,100"
"Aug 26, 2019",212.85,214.27,203.27,206.56,206.56,"2,883,400"
"Aug 19, 2019",212.20,219.59,210.08,210.71,210.71,"2,213,100"
"Aug 12, 2019",207.43,213.54,201.95,209.57,209.57,"2,368,800"
"Aug 05, 2019",190.59,213.27,186.81,208.27,208.27,"4,018,300"
"Jul 29, 2019",213.59,214.97,193.95,195.35,195.35,"1,933,800"
"Jul 22, 2019",210.13,215.39,209.47,213.15,213.15,"1,693,200"
"Jul 15, 2019",212.83,212.94,206.38,208.10,208.10,"2,104,800"
"Jul 08, 2019",208.66,212.66,205.55,212.28,212.28,"1,854,700"
"Jul 01, 2019",208.33,211.63,205.12,209.51,209.51,"1,305,800"
"Jun 24, 2019",201.30,205.00,196.16,204.82,204.82,"2,299,300"
"Jun 17, 2019",197.24,208.56,196.67,200.96,200.96,"2,156,500"
"Jun 10, 2019",194.76,199.78,192.00,197.13,197.13,"1,584,800"
"Jun 03, 2019",179.67,200.40,174.25,193.29,193.29,"1,685,900"
"May 27, 2019",182.71,184.90,178.00,179.50,179.50,"1,453,700"
"May 20, 2019",185.30,187.30,179.20,182.15,182.15,"1,640,400"
"May 13, 2019",188.05,192.48,183.23,187.53,187.53,"1,755,100"
"May 06, 2019",188.56,193.27,187.23,191.88,191.88,"2,217,800"
"Apr 29, 2019",194.48,197.05,184.08,192.49,192.49,"3,203,400"
"Apr 22, 2019",185.62,195.25,184.98,194.66,194.66,"1,792,300"
"Apr 15, 2019",189.83,191.00,184.26,186.59,186.59,"1,109,400"
"Apr 08, 2019",185.72,189.81,184.08,189.55,189.55,"1,077,500"
"Apr 01, 2019",184.05,189.80,183.15,185.83,185.83,"1,856,500"
"Mar 25, 2019",176.46,183.15,175.55,182.71,182.71,"1,954,300"
"Mar 18, 2019",180.81,182.50,177.10,177.18,177.18,"2,204,100"
"Mar 11, 2019",177.87,184.11,177.87,180.38,180.38,"2,769,400"
"Mar 04, 2019",182.38,183.79,174.55,177.43,177.43,"2,736,700"
"Feb 25, 2019",177.39,186.15,173.19,182.23,182.23,"3,017,600"
"Feb 18, 2019",174.24,177.16,172.96,175.48,175.48,"1,138,300"
"Feb 11, 2019",172.49,175.98,170.99,174.49,174.49,"1,842,400"
"Feb 04, 2019",167.54,171.74,166.01,171.73,171.73,"1,587,500"
"Jan 28, 2019",160.25,168.06,158.27,167.55,167.55,"1,843,600"
"Jan 21, 2019",161.13,163.17,157.01,161.65,161.65,"1,614,700"
"Jan 14, 2019",153.34,162.24,151.63,161.71,161.71,"2,094,600"
"Jan 07, 2019",144.00,154.83,143.35,154.75,154.75,"2,433,200"
"Dec 31, 2018",143.92,144.87,137.14,143.66,143.66,"3,029,000"
"Dec 24, 2018",139.61,145.46,136.80,142.99,142.99,"2,016,200"
"Dec 17, 2018",148.71,152.51,139.99,140.19,140.19,"3,580,400"
"Dec 10, 2018",152.35,161.40,149.55,149.71,149.71,"2,571,900"
"Dec 03, 2018",166.17,169.82,151.17,152.37,152.37,"3,195,000"
"Nov 26, 2018",152.89,162.02,150.79,162.02,162.02,"4,810,300"
"Nov 19, 2018",158.13,158.70,145.58,150.44,150.44,"2,603,300"
"Nov 12, 2018",165.24,166.44,153.93,158.25,158.25,"2,788,400"
"Nov 05, 2018",156.44,170.73,151.32,165.86,165.86,"4,440,200"
"Oct 29, 2018",147.67,160.54,141.24,155.28,155.28,"3,963,200"
"Oct 22, 2018",151.31,155.10,140.78,143.51,143.51,"4,573,600"
"Oct 15, 2018",158.42,161.12,150.55,150.58,150.58,"4,082,500"
"Oct 08, 2018",173.32,173.98,153.11,158.90,158.90,"4,216,200"
"Oct 01, 2018",187.02,189.65,172.00,173.75,173.75,"1,906,200"
"Sep 24, 2018",181.84,187.52,180.42,186.68,186.68,"2,016,000"
"Sep 17, 2018",189.62,189.62,182.25,182.48,182.48,"2,941,000"
"Sep 10, 2018",186.38,190.45,184.30,189.51,189.51,"1,549,100"
"Sep 03, 2018",185.66,187.91,182.73,185.45,185.45,"1,761,500"
"Aug 27, 2018",179.11,187.12,178.08,185.98,185.98,"2,495,400"
"Aug 20, 2018",172.95,178.42,171.57,178.10,178.10,"1,669,000"
"Aug 13, 2018",171.82,173.76,169.72,172.25,172.25,"1,704,800"
"Aug 06, 2018",172.72,176.84,170.00,171.53,171.53,"2,473,300"
"Jul 30, 2018",174.11,174.33,167.50,173.27,173.27,"2,378,800"
"Jul 23, 2018",179.12,179.42,173.38,174.16,174.16,"2,928,500"
"Jul 16, 2018",180.37,182.00,177.86,178.92,178.92,"1,543,100"
"Jul 09, 2018",178.41,181.04,175.04,179.72,179.72,"2,658,200"
"Jul 02, 2018",173.42,178.06,172.39,177.71,177.71,"1,414,700"
"Jun 25, 2018",179.05,179.72,171.23,174.18,174.18,"2,956,900"
"Jun 18, 2018",176.92,184.95,175.38,179.32,179.32,"3,055,600"
"Jun 11, 2018",172.54,178.34,170.01,177.78,177.78,"2,361,400"
"Jun 04, 2018",165.81,172.59,159.77,172.23,172.23,"2,560,600"
"May 28, 2018",161.20,166.19,158.87,165.80,165.80,"2,222,800"
"May 21, 2018",165.81,166.76,161.10,162.32,162.32,"1,899,200"
