Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",253.50,268.38,252.80,265.88,265.88,"13,573,400"
"Apr 06, 2020",244.58,267.50,243.56,254.30,254.30,"14,715,300"
"Mar 30, 2020",232.20,252.71,219.68,234.26,234.26,"21,840,100"
"Mar 23, 2020",192.88,244.80,177.75,230.69,230.69,"27,399,400"
"Mar 16, 2020",208.18,218.80,155.67,192.22,189.01,"39,507,200"
"Mar 09, 2020",251.08,263.68,201.16,234.22,230.31,"28,403,000"
"Mar 02, 2020",276.76,288.48,262.50,269.45,264.95,"13,992,600"
"Feb 24, 2020",294.20,298.80,262.74,272.62,268.06,"17,125,600"
"Feb 17, 2020",315.00,316.83,302.29,304.50,299.41,"9,726,100"
"Feb 10, 2020",312.37,325.70,310.30,317.77,312.46,"8,304,900"
"Feb 03, 2020",305.63,319.88,303.64,315.23,309.96,"10,723,800"
"Jan 27, 2020",316.41,325.43,303.62,305.16,300.06,"12,892,800"
"Jan 20, 2020",307.80,331.58,306.33,324.00,318.58,"13,727,900"
"Jan 13, 2020",300.02,309.15,299.67,308.79,303.63,"12,210,200"
"Jan 06, 2020",310.85,316.58,298.80,299.22,294.22,"15,443,500"
"Dec 30, 2019",316.52,322.50,312.75,314.19,308.94,"6,879,000"
"Dec 23, 2019",320.54,322.33,315.22,316.53,311.24,"5,761,300"
"Dec 16, 2019",317.97,331.20,316.91,319.00,310.52,"17,565,100"
"Dec 09, 2019",316.00,330.16,310.62,315.42,307.04,"16,997,300"
"Dec 02, 2019",317.72,317.93,303.13,316.05,307.65,"8,876,400"
"Nov 25, 2019",316.61,320.18,315.00,316.21,307.81,"7,984,000"
"Nov 18, 2019",311.82,325.67,308.03,314.92,306.55,"10,005,300"
"Nov 11, 2019",311.20,316.40,306.11,312.91,304.59,"7,404,200"
"Nov 04, 2019",299.52,319.50,299.10,313.41,305.08,"13,266,900"
"Oct 28, 2019",291.16,296.59,286.52,296.59,288.71,"9,266,100"
"Oct 21, 2019",288.44,291.90,278.70,289.82,282.12,"8,479,900"
"Oct 14, 2019",280.42,291.71,279.88,286.73,279.11,"8,469,400"
"Oct 07, 2019",280.01,284.08,268.91,280.91,273.45,"9,878,100"
"Sep 30, 2019",275.79,281.70,267.22,281.43,273.95,"10,177,800"
"Sep 23, 2019",283.62,288.90,270.00,274.14,266.86,"14,686,700"
"Sep 16, 2019",286.80,291.95,281.82,284.26,274.18,"11,554,300"
"Sep 09, 2019",295.00,302.33,283.89,290.32,280.03,"15,746,200"
"Sep 02, 2019",280.00,293.68,270.93,291.91,281.56,"7,676,100"
"Aug 26, 2019",276.95,285.90,270.47,282.64,272.62,"7,889,800"
"Aug 19, 2019",279.50,289.41,271.05,272.13,262.48,"9,282,600"
"Aug 12, 2019",273.38,285.50,264.85,273.78,264.07,"10,695,600"
"Aug 05, 2019",271.95,280.55,262.50,275.73,265.96,"13,210,600"
"Jul 29, 2019",301.23,302.55,275.91,278.53,268.66,"8,604,200"
"Jul 22, 2019",293.00,304.88,292.24,300.92,290.25,"10,334,000"
"Jul 15, 2019",291.10,294.49,282.39,290.00,279.72,"10,182,100"
"Jul 08, 2019",280.00,285.93,272.41,285.39,275.27,"13,323,900"
"Jul 01, 2019",301.68,305.75,281.97,282.66,272.64,"13,794,300"
"Jun 24, 2019",275.52,289.30,275.00,287.86,277.66,"14,079,400"
"Jun 17, 2019",264.84,285.45,261.34,273.99,261.77,"22,231,500"
"Jun 10, 2019",276.73,291.75,257.47,265.93,254.07,"22,595,300"
"Jun 03, 2019",252.55,277.87,251.20,274.87,262.61,"14,801,700"
"May 27, 2019",256.57,257.73,250.09,251.64,240.41,"12,959,900"
"May 20, 2019",278.00,279.95,255.74,255.94,244.52,"19,660,100"
"May 13, 2019",293.82,307.77,288.20,289.89,276.96,"16,363,400"
"May 06, 2019",306.79,311.93,296.66,303.96,290.40,"9,451,100"
"Apr 29, 2019",311.24,323.20,310.44,315.71,301.63,"9,015,700"
"Apr 22, 2019",317.32,318.09,305.11,310.41,296.56,"9,975,200"
"Apr 15, 2019",317.03,322.45,313.17,318.62,304.41,"8,201,800"
"Apr 08, 2019",304.14,317.44,300.29,317.03,302.89,"8,726,800"
"Apr 01, 2019",303.11,307.40,299.75,304.28,290.71,"10,715,300"
"Mar 25, 2019",292.20,303.30,289.00,300.71,287.30,"13,127,200"
"Mar 18, 2019",290.23,300.98,290.21,292.65,277.12,"20,025,100"
"Mar 11, 2019",264.89,299.55,264.05,290.29,274.88,"26,973,400"
"Mar 04, 2019",275.00,280.44,259.20,264.19,250.17,"10,663,200"
"Feb 25, 2019",280.78,280.83,268.63,272.75,258.28,"12,609,700"
"Feb 18, 2019",281.15,286.63,274.66,276.50,261.83,"7,178,100"
"Feb 11, 2019",274.40,284.09,273.28,281.93,266.97,"9,037,800"
"Feb 04, 2019",267.50,280.00,264.95,274.06,259.52,"12,299,300"
"Jan 28, 2019",261.56,273.75,258.65,266.81,252.65,"13,185,800"
"Jan 21, 2019",258.00,268.31,253.65,267.94,253.72,"13,525,900"
"Jan 14, 2019",248.11,262.22,245.90,260.82,246.98,"15,901,700"
"Jan 07, 2019",233.65,252.92,230.76,250.57,237.27,"19,295,100"
"Dec 31, 2018",257.83,258.50,230.33,233.23,220.85,"17,976,400"
"Dec 24, 2018",242.00,258.06,233.50,253.59,240.13,"13,144,400"
"Dec 17, 2018",253.99,261.32,238.45,244.91,229.49,"34,531,800"
"Dec 10, 2018",227.95,261.59,226.51,254.83,238.79,"26,685,900"
"Dec 03, 2018",245.20,247.04,217.61,228.56,214.17,"20,795,100"
"Nov 26, 2018",234.22,238.63,231.55,237.41,222.47,"14,820,300"
"Nov 19, 2018",236.53,241.08,222.58,229.90,215.43,"9,544,100"
"Nov 12, 2018",231.00,239.31,220.28,237.61,222.65,"17,511,300"
"Nov 05, 2018",219.02,242.62,213.71,238.99,223.95,"14,948,400"
"Oct 29, 2018",216.19,234.23,208.23,220.77,206.87,"16,355,000"
"Oct 22, 2018",230.56,232.43,209.20,213.15,199.73,"18,793,600"
"Oct 15, 2018",231.03,239.74,226.53,228.28,213.91,"15,038,900"
"Oct 08, 2018",243.31,245.73,227.19,232.95,218.29,"18,441,200"
"Oct 01, 2018",247.88,252.14,242.40,244.23,228.86,"13,172,400"
"Sep 24, 2018",248.05,250.10,243.85,246.73,231.20,"18,210,200"
"Sep 17, 2018",240.00,248.77,234.31,248.10,230.75,"29,371,700"
"Sep 10, 2018",234.66,240.95,222.83,236.34,219.81,"24,656,400"
"Sep 03, 2018",218.59,235.41,213.92,232.58,216.32,"24,106,900"
"Aug 27, 2018",210.25,219.32,208.63,219.03,203.71,"12,483,000"
"Aug 20, 2018",209.48,211.71,204.68,209.00,194.39,"16,745,000"
"Aug 13, 2018",211.65,213.98,202.77,209.27,194.64,"17,563,300"
"Aug 06, 2018",216.63,221.84,210.46,212.23,197.39,"13,281,700"
"Jul 30, 2018",221.11,228.84,213.25,217.81,202.58,"24,694,800"
"Jul 23, 2018",210.41,229.77,210.40,221.05,205.59,"42,015,200"
"Jul 16, 2018",201.60,211.48,200.53,210.33,195.62,"42,007,800"
"Jul 09, 2018",249.00,251.80,197.46,202.46,188.30,"66,689,000"
