Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",65.60,70.99,63.59,70.40,70.40,"13,747,800"
"Apr 06, 2020",56.95,68.09,55.90,65.99,65.99,"11,335,600"
"Mar 30, 2020",61.78,62.23,51.71,53.48,53.48,"18,854,800"
"Mar 23, 2020",50.48,64.98,49.01,62.47,62.47,"17,525,400"
"Mar 16, 2020",54.00,61.23,48.11,51.65,51.18,"25,478,600"
"Mar 09, 2020",67.74,70.61,54.39,61.06,60.50,"18,537,400"
"Mar 02, 2020",76.25,81.43,72.06,73.82,73.15,"15,558,800"
"Feb 24, 2020",86.17,88.00,73.34,75.65,74.96,"19,775,700"
"Feb 17, 2020",89.51,91.99,89.20,90.26,89.44,"7,057,400"
"Feb 10, 2020",86.89,91.31,86.87,90.21,89.39,"8,635,600"
"Feb 03, 2020",85.39,90.58,84.91,87.02,86.23,"10,287,100"
"Jan 27, 2020",87.79,90.10,84.53,84.69,83.92,"10,690,500"
"Jan 20, 2020",89.45,91.70,88.36,89.44,88.62,"8,444,100"
"Jan 13, 2020",90.64,91.83,87.29,89.94,89.12,"13,329,300"
"Jan 06, 2020",86.47,90.74,86.25,90.65,89.82,"11,035,900"
"Dec 30, 2019",87.09,88.44,85.91,87.18,86.39,"7,416,800"
"Dec 23, 2019",88.17,88.51,86.95,87.01,86.22,"5,216,300"
"Dec 16, 2019",85.08,89.50,84.55,87.73,86.42,"15,678,000"
"Dec 09, 2019",81.73,85.61,81.47,84.79,83.52,"12,763,100"
"Dec 02, 2019",81.00,82.49,77.05,82.05,80.82,"18,363,400"
"Nov 25, 2019",73.25,83.63,72.14,80.64,79.43,"27,130,300"
"Nov 18, 2019",76.66,77.69,71.89,72.64,71.55,"12,868,700"
"Nov 11, 2019",76.50,77.11,74.19,77.09,75.94,"10,387,500"
"Nov 04, 2019",73.65,76.89,73.60,76.85,75.70,"10,656,100"
"Oct 28, 2019",74.29,75.40,71.12,72.92,71.83,"10,219,000"
"Oct 21, 2019",71.13,73.94,70.80,73.15,72.06,"7,757,800"
"Oct 14, 2019",68.96,70.96,67.50,70.52,69.46,"9,620,300"
"Oct 07, 2019",66.65,70.18,64.89,69.53,68.49,"9,585,300"
"Sep 30, 2019",68.48,69.93,63.52,66.89,65.89,"10,336,200"
"Sep 23, 2019",66.60,68.61,66.25,68.27,67.25,"9,528,900"
"Sep 16, 2019",67.28,69.02,66.47,66.77,65.29,"10,204,400"
"Sep 09, 2019",67.02,69.90,66.81,67.54,66.04,"13,464,400"
"Sep 02, 2019",63.03,67.00,62.48,66.35,64.88,"12,175,700"
"Aug 26, 2019",67.19,69.48,62.04,63.65,62.24,"27,998,100"
"Aug 19, 2019",66.56,69.50,65.24,66.21,64.74,"11,683,100"
"Aug 12, 2019",66.73,74.49,62.96,65.48,64.03,"15,671,300"
"Aug 05, 2019",66.80,69.15,64.86,67.36,65.87,"12,467,900"
"Jul 29, 2019",77.73,77.87,67.02,68.53,67.01,"16,569,900"
