Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",16.85,16.88,14.91,16.34,16.34,"21,428,400"
"Apr 06, 2020",16.24,17.74,16.18,16.81,16.81,"18,650,500"
"Mar 30, 2020",17.20,17.90,15.33,15.61,15.37,"21,322,400"
"Mar 23, 2020",16.83,18.27,15.29,17.35,17.08,"29,296,200"
"Mar 16, 2020",15.70,22.04,15.30,16.90,16.64,"42,429,100"
"Mar 09, 2020",19.72,20.68,16.43,18.11,17.83,"34,307,600"
"Mar 02, 2020",21.95,24.00,21.17,21.65,21.31,"47,397,600"
"Feb 24, 2020",24.26,24.71,21.36,21.76,21.42,"34,992,600"
"Feb 17, 2020",27.03,27.60,24.99,25.20,24.81,"38,441,800"
"Feb 10, 2020",25.47,25.63,23.96,24.36,23.98,"19,559,100"
"Feb 03, 2020",25.35,26.69,25.20,25.60,25.20,"14,793,900"
"Jan 27, 2020",24.77,26.24,24.47,25.30,24.91,"37,755,800"
"Jan 20, 2020",25.60,25.99,25.07,25.26,24.87,"12,037,600"
"Jan 13, 2020",25.02,25.93,24.99,25.74,25.34,"13,458,800"
"Jan 06, 2020",24.91,25.95,24.73,25.02,24.63,"18,435,200"
"Dec 30, 2019",26.21,26.22,24.87,25.09,24.45,"13,320,900"
"Dec 23, 2019",25.89,26.46,25.83,26.25,25.58,"9,280,100"
"Dec 16, 2019",26.26,26.70,25.70,25.80,25.14,"19,266,100"
"Dec 09, 2019",26.88,27.14,25.77,25.99,25.32,"22,539,600"
"Dec 02, 2019",27.57,27.79,26.06,27.00,26.31,"14,320,400"
"Nov 25, 2019",27.40,28.00,27.35,27.49,26.78,"10,527,700"
"Nov 18, 2019",27.59,27.97,27.18,27.32,26.62,"11,619,000"
"Nov 11, 2019",28.10,28.35,27.12,27.73,27.02,"12,387,000"
"Nov 04, 2019",28.33,29.27,28.11,28.28,27.55,"15,354,200"
"Oct 28, 2019",28.07,28.59,27.37,28.05,27.33,"18,759,700"
"Oct 21, 2019",27.49,28.36,26.81,27.83,27.12,"23,092,800"
"Oct 14, 2019",27.17,27.59,26.51,27.22,26.52,"15,400,000"
"Oct 07, 2019",27.23,27.83,26.18,27.32,26.62,"15,590,500"
"Sep 30, 2019",28.75,29.08,26.47,27.38,26.68,"14,385,900"
"Sep 23, 2019",29.01,29.37,28.24,28.63,27.64,"13,541,600"
"Sep 16, 2019",29.56,29.95,28.99,29.34,28.33,"14,368,500"
"Sep 09, 2019",27.08,30.21,27.07,29.91,28.88,"21,008,000"
"Sep 02, 2019",26.01,27.24,25.76,26.92,25.99,"10,998,700"
"Aug 26, 2019",26.39,26.60,25.57,26.28,25.37,"14,177,000"
"Aug 19, 2019",27.72,27.87,26.01,26.13,25.23,"14,491,600"
"Aug 12, 2019",28.87,28.97,26.85,27.37,26.43,"21,638,600"
"Aug 05, 2019",30.78,31.18,28.79,29.32,28.31,"17,837,800"
"Jul 29, 2019",34.94,34.96,30.91,31.44,30.35,"24,058,300"
"Jul 22, 2019",35.48,35.49,34.26,34.96,33.75,"12,062,200"
"Jul 15, 2019",35.27,35.77,34.67,35.51,34.28,"13,886,200"
"Jul 08, 2019",35.10,35.39,34.55,35.19,33.98,"12,341,700"
"Jul 01, 2019",35.06,35.42,34.54,35.29,34.07,"6,761,700"
"Jun 24, 2019",34.27,35.17,33.78,34.80,33.34,"14,377,400"
"Jun 17, 2019",33.35,35.03,32.84,34.24,32.81,"17,912,100"
"Jun 10, 2019",33.85,33.96,33.07,33.36,31.96,"10,476,500"
"Jun 03, 2019",31.79,33.65,31.51,33.64,32.23,"14,368,300"
"May 27, 2019",33.21,33.49,31.69,31.82,30.49,"11,783,000"
"May 20, 2019",33.07,33.92,32.69,33.28,31.89,"10,230,000"
"May 13, 2019",33.42,33.92,32.62,33.22,31.83,"13,150,300"
"May 06, 2019",34.09,34.59,33.08,34.13,32.70,"14,505,300"
"Apr 29, 2019",35.00,35.00,33.86,34.65,33.20,"14,840,100"
"Apr 22, 2019",35.14,35.80,34.45,35.11,33.64,"12,519,900"
"Apr 15, 2019",35.71,35.82,34.83,35.30,33.82,"8,821,000"
"Apr 08, 2019",34.92,35.65,34.21,35.46,33.98,"13,622,000"
"Apr 01, 2019",33.39,34.94,33.26,34.88,33.42,"10,664,700"
"Mar 25, 2019",32.05,33.39,31.64,33.14,31.50,"11,481,800"
"Mar 18, 2019",33.55,34.15,31.73,32.10,30.51,"13,515,200"
"Mar 11, 2019",31.56,33.35,31.54,33.32,31.67,"19,698,900"
"Mar 04, 2019",32.74,33.00,30.88,31.33,29.78,"12,725,700"
"Feb 25, 2019",32.98,33.23,32.21,32.67,31.06,"13,633,900"
"Feb 18, 2019",32.25,32.74,32.12,32.73,31.11,"7,853,600"
"Feb 11, 2019",30.14,32.49,30.08,32.45,30.85,"13,731,600"
"Feb 04, 2019",29.65,30.65,29.49,30.02,28.54,"11,696,800"
"Jan 28, 2019",31.38,31.93,28.59,29.63,28.17,"24,418,600"
"Jan 21, 2019",31.22,31.91,30.77,31.59,30.03,"10,451,100"
"Jan 14, 2019",29.99,31.88,29.90,31.54,29.98,"13,753,600"
"Jan 07, 2019",30.19,30.87,29.61,30.33,28.83,"16,473,100"
"Dec 31, 2018",29.29,30.32,29.16,30.26,28.76,"12,115,900"
"Dec 24, 2018",28.19,29.61,27.34,29.17,27.48,"12,409,200"
"Dec 17, 2018",31.39,31.81,28.31,28.40,26.76,"34,588,500"
"Dec 10, 2018",32.07,32.64,31.13,31.37,29.55,"24,151,400"
"Dec 03, 2018",34.35,34.65,31.14,32.24,30.37,"21,889,500"
"Nov 26, 2018",32.96,33.91,32.66,33.89,31.93,"21,086,400"
"Nov 19, 2018",31.98,32.88,31.54,32.58,30.69,"12,798,600"
"Nov 12, 2018",30.79,32.00,30.33,31.93,30.08,"16,287,100"
"Nov 05, 2018",30.69,31.84,30.41,30.87,29.08,"12,603,200"
"Oct 29, 2018",29.71,31.40,29.28,30.70,28.92,"22,678,400"
"Oct 22, 2018",29.33,30.11,28.22,29.31,27.61,"28,779,700"
"Oct 15, 2018",28.54,30.12,28.39,29.76,28.04,"18,707,800"
"Oct 08, 2018",30.33,31.01,28.12,28.54,26.89,"19,888,200"
"Oct 01, 2018",30.47,30.98,30.21,30.53,28.76,"16,928,400"
"Sep 24, 2018",32.70,33.03,30.39,30.41,28.44,"15,836,900"
"Sep 17, 2018",31.95,33.35,31.56,32.82,30.69,"25,464,800"
"Sep 10, 2018",30.36,31.94,30.36,31.92,29.85,"18,643,600"
"Sep 03, 2018",31.64,31.83,29.95,30.14,28.19,"19,315,200"
"Aug 27, 2018",32.90,33.58,31.52,31.74,29.68,"14,040,100"
"Aug 20, 2018",32.83,33.34,32.44,32.68,30.56,"9,484,100"
"Aug 13, 2018",32.09,32.87,31.70,32.72,30.60,"10,861,400"
"Aug 06, 2018",32.30,33.34,31.63,32.09,30.01,"13,058,100"
"Jul 30, 2018",32.39,34.85,31.29,32.30,30.21,"25,031,700"
"Jul 23, 2018",32.02,33.01,32.01,32.45,30.35,"12,546,000"
"Jul 16, 2018",32.32,32.61,31.92,31.98,29.91,"9,724,400"
"Jul 09, 2018",31.91,32.62,31.82,32.33,30.24,"17,426,700"
