Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",105.27,110.14,101.32,109.94,109.94,"4,132,700"
"Apr 06, 2020",96.63,106.37,95.55,105.91,105.91,"4,296,300"
"Mar 30, 2020",92.31,97.38,90.08,92.39,92.39,"4,506,000"
"Mar 23, 2020",89.86,97.80,81.90,91.57,91.57,"6,272,700"
"Mar 16, 2020",92.34,107.14,89.81,90.77,90.77,"7,704,200"
"Mar 09, 2020",93.71,103.74,90.46,103.68,103.11,"9,358,100"
"Mar 02, 2020",105.51,107.22,95.55,100.36,99.81,"8,472,100"
"Feb 24, 2020",116.36,117.87,102.91,104.36,103.78,"7,440,100"
"Feb 17, 2020",122.09,123.61,118.06,119.61,118.95,"3,275,700"
"Feb 10, 2020",117.93,123.81,117.53,122.28,121.60,"3,999,500"
"Feb 03, 2020",120.67,121.63,115.80,117.85,117.20,"5,333,900"
"Jan 27, 2020",128.73,130.76,115.39,119.15,118.49,"4,366,000"
"Jan 20, 2020",130.27,134.30,130.23,131.03,130.31,"2,230,300"
"Jan 13, 2020",127.86,131.15,127.36,131.00,130.28,"2,197,300"
"Jan 06, 2020",123.15,128.50,122.79,127.59,126.88,"2,869,300"
"Dec 30, 2019",123.10,124.89,121.90,123.88,123.20,"1,399,600"
"Dec 23, 2019",123.81,124.29,122.06,123.21,122.53,"1,004,300"
"Dec 16, 2019",120.57,124.69,120.40,123.61,122.93,"4,795,000"
"Dec 09, 2019",123.06,123.14,118.62,119.72,118.52,"3,045,100"
"Dec 02, 2019",123.65,124.95,120.82,123.01,121.78,"2,401,000"
"Nov 25, 2019",121.47,124.28,121.22,123.71,122.47,"1,885,400"
"Nov 18, 2019",120.20,123.48,119.75,121.20,119.98,"2,877,300"
"Nov 11, 2019",119.06,119.84,117.81,119.80,118.60,"2,347,000"
"Nov 04, 2019",126.21,126.26,115.15,119.58,118.38,"3,973,400"
"Oct 28, 2019",124.26,126.77,122.50,125.81,124.55,"1,920,300"
"Oct 21, 2019",123.38,125.49,121.51,123.55,122.31,"2,398,500"
"Oct 14, 2019",124.41,126.49,122.13,122.98,121.75,"1,889,000"
"Oct 07, 2019",122.48,125.57,118.99,124.34,123.09,"4,759,200"
"Sep 30, 2019",123.94,126.71,119.26,123.00,121.77,"3,288,900"
"Sep 23, 2019",126.19,128.28,122.75,123.88,122.64,"2,178,800"
"Sep 16, 2019",123.40,128.34,123.17,126.71,125.44,"2,665,700"
"Sep 09, 2019",131.05,131.05,123.45,124.02,122.24,"2,213,800"
"Sep 02, 2019",128.55,132.11,127.85,130.29,128.42,"1,565,900"
"Aug 26, 2019",128.14,131.43,126.75,129.44,127.59,"2,712,100"
"Aug 19, 2019",129.00,131.66,126.97,127.46,125.64,"4,495,600"
"Aug 12, 2019",125.41,128.46,123.76,128.22,126.38,"4,241,700"
"Aug 05, 2019",124.12,126.86,120.28,125.75,123.95,"3,419,700"
"Jul 29, 2019",134.67,134.84,125.10,127.73,125.90,"4,348,800"
"Jul 22, 2019",133.87,136.37,132.44,134.40,132.48,"2,739,300"
"Jul 15, 2019",132.54,136.99,131.69,133.12,131.21,"1,952,100"
"Jul 08, 2019",132.05,133.17,130.23,132.37,130.48,"2,513,600"
"Jul 01, 2019",129.32,132.52,128.07,132.45,130.55,"2,321,300"
"Jun 24, 2019",129.36,129.66,126.90,127.68,125.85,"4,301,100"
"Jun 17, 2019",130.65,132.31,128.59,128.72,126.88,"3,865,400"
"Jun 10, 2019",131.90,133.45,129.99,130.15,127.81,"2,733,100"
"Jun 03, 2019",124.94,131.41,122.45,131.02,128.67,"4,784,500"
"May 27, 2019",124.28,125.77,122.54,124.87,122.63,"4,417,700"
"May 20, 2019",120.83,124.72,120.57,123.90,121.68,"3,824,800"
"May 13, 2019",117.23,123.46,116.84,121.64,119.46,"4,961,900"
"May 06, 2019",115.84,119.77,114.53,119.20,117.06,"5,146,000"
"Apr 29, 2019",118.00,118.65,116.32,117.77,115.66,"3,328,800"
"Apr 22, 2019",112.42,117.98,112.11,117.93,115.81,"4,067,600"
"Apr 15, 2019",111.45,115.07,111.18,112.79,110.77,"6,018,600"
"Apr 08, 2019",109.05,111.53,108.26,111.49,109.49,"4,314,600"
"Apr 01, 2019",104.51,109.29,104.08,109.17,107.21,"4,810,400"
"Mar 25, 2019",100.00,103.85,99.31,103.69,101.83,"3,620,200"
"Mar 18, 2019",103.92,104.77,100.16,100.37,98.57,"4,471,900"
"Mar 11, 2019",99.15,104.49,97.99,103.55,101.21,"6,085,300"
"Mar 04, 2019",101.80,102.43,97.37,98.94,96.71,"4,635,300"
"Feb 25, 2019",101.42,102.45,99.07,101.49,99.20,"4,330,700"
"Feb 18, 2019",100.02,101.05,99.06,100.84,98.57,"4,115,700"
"Feb 11, 2019",97.78,101.05,97.60,100.35,98.09,"5,589,200"
"Feb 04, 2019",103.15,104.35,93.77,97.53,95.33,"6,907,900"
"Jan 28, 2019",100.81,103.74,98.79,102.98,100.66,"3,703,500"
"Jan 21, 2019",100.95,102.16,99.00,101.84,99.54,"2,398,200"
"Jan 14, 2019",97.74,101.78,97.64,101.31,99.03,"3,115,600"
"Jan 07, 2019",96.72,99.28,96.12,98.78,96.55,"3,522,200"
"Dec 31, 2018",95.63,97.41,92.44,96.88,94.70,"3,093,000"
"Dec 24, 2018",93.33,96.55,91.34,95.13,92.98,"3,041,000"
"Dec 17, 2018",96.40,99.31,93.65,93.93,91.81,"7,954,100"
"Dec 10, 2018",98.66,101.92,96.34,96.63,93.99,"4,259,600"
"Dec 03, 2018",107.17,107.28,97.85,98.64,95.95,"6,291,400"
"Nov 26, 2018",99.03,105.87,97.78,105.87,102.98,"10,586,400"
"Nov 19, 2018",104.83,105.28,96.34,98.95,96.25,"4,351,900"
"Nov 12, 2018",107.16,108.75,103.94,104.72,101.86,"6,643,500"
"Nov 05, 2018",116.71,119.89,102.51,107.21,104.28,"8,414,200"
"Oct 29, 2018",115.62,119.36,111.36,116.31,113.14,"4,355,500"
"Oct 22, 2018",117.53,119.31,112.24,114.19,111.07,"3,998,700"
"Oct 15, 2018",117.32,120.54,115.70,116.96,113.77,"4,662,900"
"Oct 08, 2018",126.49,127.00,115.42,117.35,114.15,"5,293,100"
"Oct 01, 2018",132.65,133.70,125.59,126.90,123.44,"3,375,200"
"Sep 24, 2018",131.80,134.93,130.83,131.95,128.35,"4,011,900"
"Sep 17, 2018",137.34,137.92,131.16,132.65,128.57,"4,198,300"
"Sep 10, 2018",136.34,138.24,135.46,137.72,133.49,"3,034,400"
"Sep 03, 2018",135.25,137.86,133.49,136.20,132.02,"3,010,800"
"Aug 27, 2018",134.75,135.65,132.63,135.14,130.99,"3,239,000"
"Aug 20, 2018",133.81,134.68,131.63,134.33,130.20,"2,941,700"
"Aug 13, 2018",129.42,133.30,128.53,133.23,129.14,"4,632,800"
"Aug 06, 2018",114.99,131.21,114.77,129.37,125.40,"6,919,200"
"Jul 30, 2018",117.10,117.10,111.65,114.99,111.46,"4,468,800"
"Jul 23, 2018",118.55,120.65,116.61,117.32,113.72,"2,503,700"
"Jul 16, 2018",118.06,119.08,117.08,118.50,114.86,"4,388,300"
"Jul 09, 2018",116.96,119.78,116.64,117.97,114.35,"3,357,900"
