Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",119.95,120.05,108.86,116.30,115.24,"33,397,400"
"Apr 06, 2020",120.04,129.60,118.13,125.03,123.89,"23,715,100"
"Mar 30, 2020",106.33,118.52,104.93,114.67,113.63,"34,686,300"
"Mar 23, 2020",93.90,110.97,90.64,105.44,104.48,"32,538,800"
"Mar 16, 2020",89.00,105.85,88.50,95.50,94.63,"38,621,300"
"Mar 09, 2020",112.99,112.99,87.50,99.64,98.73,"42,477,500"
"Mar 02, 2020",125.05,129.56,118.83,121.41,120.31,"29,316,200"
"Feb 24, 2020",132.53,133.86,119.03,124.24,123.11,"29,378,400"
"Feb 17, 2020",137.46,138.89,135.08,137.21,135.96,"11,538,400"
"Feb 10, 2020",133.04,140.50,132.78,137.99,136.73,"14,067,700"
"Feb 03, 2020",131.44,138.33,129.30,133.37,132.16,"18,431,100"
"Jan 27, 2020",136.90,137.81,130.54,131.35,130.16,"18,952,600"
"Jan 20, 2020",147.20,147.87,139.26,140.38,139.10,"11,788,000"
"Jan 13, 2020",146.53,148.27,145.20,147.78,145.42,"15,140,300"
"Jan 06, 2020",147.27,148.57,145.51,146.13,143.79,"12,210,900"
"Dec 30, 2019",148.42,150.55,146.79,148.44,146.07,"10,154,200"
"Dec 23, 2019",147.68,148.93,146.78,148.28,145.91,"6,434,100"
"Dec 16, 2019",147.71,148.30,144.30,147.57,145.21,"18,277,300"
"Dec 09, 2019",142.97,148.40,141.75,145.53,143.20,"12,765,500"
"Dec 02, 2019",145.20,146.04,138.56,142.72,140.44,"13,769,500"
"Nov 25, 2019",144.75,146.65,143.70,144.73,142.41,"9,866,000"
"Nov 18, 2019",144.24,144.78,140.10,143.88,141.58,"13,764,400"
"Nov 11, 2019",146.74,148.47,143.21,145.31,142.99,"13,651,700"
"Nov 04, 2019",145.35,148.41,144.66,148.16,145.79,"20,284,200"
"Oct 28, 2019",139.97,144.61,136.39,144.49,142.18,"24,807,300"
"Oct 21, 2019",131.95,139.98,130.70,139.73,137.49,"32,434,800"
"Oct 14, 2019",126.81,132.86,126.01,130.71,127.62,"16,926,300"
"Oct 07, 2019",120.85,130.38,117.69,128.40,125.36,"18,412,500"
"Sep 30, 2019",126.34,128.50,117.25,121.04,118.17,"16,321,800"
"Sep 23, 2019",127.34,129.00,125.02,126.59,123.59,"12,890,000"
"Sep 16, 2019",132.99,133.80,127.87,128.16,125.13,"17,909,100"
"Sep 09, 2019",123.39,133.99,123.20,133.78,130.61,"29,805,100"
"Sep 02, 2019",117.90,124.34,115.40,122.70,119.80,"16,139,800"
"Aug 26, 2019",115.06,119.59,111.75,119.00,116.18,"17,903,900"
"Aug 19, 2019",118.22,119.32,113.32,114.06,111.36,"16,036,100"
"Aug 12, 2019",118.95,122.00,113.97,116.43,113.67,"21,920,300"
"Aug 05, 2019",122.11,123.65,118.65,119.38,116.55,"21,785,500"
"Jul 29, 2019",133.49,134.65,123.50,124.54,121.59,"21,793,500"
