Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",11.77,13.19,10.95,12.56,12.56,"333,617,900"
"Apr 06, 2020",9.28,13.73,9.14,12.42,12.42,"634,459,600"
"Mar 30, 2020",13.44,14.55,7.80,8.49,8.49,"727,847,900"
"Mar 23, 2020",11.27,19.14,10.61,14.41,14.41,"357,654,900"
"Mar 16, 2020",15.05,17.90,7.90,12.00,12.00,"295,013,000"
"Mar 09, 2020",24.44,24.75,14.70,17.58,17.58,"220,869,200"
"Mar 02, 2020",32.71,33.34,26.10,27.15,27.15,"121,793,100"
"Feb 24, 2020",39.38,39.75,30.19,33.46,33.46,"111,442,000"
"Feb 17, 2020",42.60,43.44,41.65,41.69,41.21,"24,224,300"
"Feb 10, 2020",42.08,44.44,41.67,42.60,42.11,"28,173,400"
"Feb 03, 2020",43.75,45.04,41.98,42.20,41.71,"36,973,100"
"Jan 27, 2020",45.40,46.97,43.21,43.53,43.03,"45,314,900"
"Jan 20, 2020",51.38,51.38,47.12,47.52,46.97,"29,985,400"
"Jan 13, 2020",49.10,51.94,48.82,51.90,51.30,"23,436,700"
"Jan 06, 2020",49.35,49.58,48.13,48.85,48.29,"24,394,600"
"Dec 30, 2019",51.64,51.69,49.57,49.89,49.31,"14,792,800"
"Dec 23, 2019",50.32,51.74,50.15,51.33,50.74,"13,418,200"
"Dec 16, 2019",48.06,51.21,46.54,50.21,49.63,"34,765,500"
"Dec 09, 2019",45.07,48.00,44.88,47.45,46.90,"21,972,700"
"Dec 02, 2019",45.16,45.18,43.27,44.77,44.25,"15,948,300"
"Nov 25, 2019",43.88,45.36,43.84,45.08,44.56,"13,018,000"
"Nov 18, 2019",44.80,45.05,42.47,43.68,42.68,"15,523,600"
"Nov 11, 2019",44.64,45.08,43.87,44.85,43.82,"11,230,600"
"Nov 04, 2019",43.25,45.34,43.25,45.05,44.02,"17,666,800"
"Oct 28, 2019",44.59,44.86,42.46,42.95,41.97,"19,703,100"
"Oct 21, 2019",43.07,44.82,42.53,44.57,43.55,"22,672,900"
"Oct 14, 2019",41.47,42.97,41.34,42.79,41.81,"18,228,700"
"Oct 07, 2019",40.81,42.32,39.92,41.55,40.60,"23,687,100"
"Sep 30, 2019",43.81,44.17,40.60,41.14,40.20,"30,125,100"
"Sep 23, 2019",47.88,48.79,43.09,43.58,42.58,"31,133,400"
"Sep 16, 2019",49.00,49.76,47.77,48.22,47.12,"20,378,400"
"Sep 09, 2019",45.57,50.87,45.57,50.55,49.39,"28,314,800"
"Sep 02, 2019",43.82,45.89,42.92,45.72,44.68,"12,475,900"
"Aug 26, 2019",43.62,44.44,42.42,44.08,43.07,"15,579,900"
"Aug 19, 2019",45.85,46.05,43.19,43.28,41.83,"15,638,500"
"Aug 12, 2019",45.93,46.12,43.97,44.93,43.43,"16,811,300"
"Aug 05, 2019",45.00,46.71,44.58,46.00,44.46,"21,131,100"
"Jul 29, 2019",47.02,47.61,45.54,45.96,44.42,"19,463,400"
"Jul 22, 2019",45.14,47.55,44.79,47.27,45.69,"20,151,800"
"Jul 15, 2019",46.25,47.08,45.07,45.09,43.58,"18,336,300"
"Jul 08, 2019",46.65,46.92,45.26,46.26,44.71,"19,016,500"
"Jul 01, 2019",46.76,47.09,46.03,46.91,45.34,"15,167,700"
"Jun 24, 2019",45.49,46.61,44.76,46.55,44.99,"38,384,100"
"Jun 17, 2019",53.19,53.34,46.11,46.63,45.07,"40,004,300"
"Jun 10, 2019",52.07,53.86,52.00,53.12,51.34,"12,975,600"
"Jun 03, 2019",50.99,52.52,50.29,52.23,50.48,"20,911,300"
"May 27, 2019",51.81,52.08,50.72,51.19,49.48,"11,258,600"
"May 20, 2019",52.87,53.16,51.16,51.61,49.41,"12,917,300"
"May 13, 2019",53.00,54.25,52.33,53.68,51.39,"18,419,400"
"May 06, 2019",54.19,54.87,52.90,54.34,52.02,"16,501,400"
"Apr 29, 2019",54.42,56.04,53.97,55.18,52.83,"27,179,200"
"Apr 22, 2019",53.29,54.65,53.04,54.42,52.10,"12,144,000"
"Apr 15, 2019",53.39,55.34,53.25,53.63,51.34,"15,572,800"
"Apr 08, 2019",52.99,53.58,51.77,53.57,51.28,"17,920,300"
"Apr 01, 2019",51.00,53.67,51.00,53.07,50.81,"20,586,100"
"Mar 25, 2019",56.28,56.92,49.91,50.72,48.56,"40,631,000"
"Mar 18, 2019",56.65,57.69,56.15,56.42,54.01,"18,389,300"
"Mar 11, 2019",55.27,57.32,54.90,56.61,54.19,"20,168,900"
"Mar 04, 2019",57.66,57.70,54.53,54.97,52.62,"17,695,000"
