Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",180.51,199.35,174.05,194.13,194.13,"12,241,200"
"Apr 06, 2020",171.68,189.25,170.40,181.83,181.83,"10,446,400"
"Mar 30, 2020",162.74,181.98,159.39,163.84,163.84,"15,871,400"
"Mar 23, 2020",140.25,170.85,126.00,161.29,161.29,"21,546,000"
"Mar 16, 2020",150.00,162.75,118.50,142.09,142.09,"20,004,900"
"Mar 09, 2020",181.26,198.70,163.58,179.87,179.83,"22,104,400"
"Mar 02, 2020",183.41,211.94,180.41,195.52,195.48,"20,153,800"
"Feb 24, 2020",207.87,210.12,174.22,182.94,182.90,"17,378,400"
"Feb 17, 2020",220.34,224.57,216.21,217.19,217.15,"7,247,300"
"Feb 10, 2020",208.03,224.64,207.51,220.34,220.29,"10,770,400"
"Feb 03, 2020",193.82,216.18,191.18,208.92,208.88,"11,487,500"
"Jan 27, 2020",202.20,206.42,191.09,192.38,192.34,"9,947,200"
"Jan 20, 2020",211.68,214.44,204.74,206.01,205.97,"7,054,700"
"Jan 13, 2020",208.51,212.64,201.96,212.52,212.48,"8,742,900"
"Jan 06, 2020",202.00,212.35,201.95,210.28,210.24,"7,134,200"
"Dec 30, 2019",203.70,205.85,200.80,203.18,203.14,"5,198,300"
"Dec 23, 2019",203.97,207.28,203.37,204.00,203.96,"4,228,700"
"Dec 16, 2019",191.81,206.24,191.00,204.59,204.55,"12,635,500"
"Dec 09, 2019",198.08,198.84,188.80,189.87,189.83,"10,786,900"
"Dec 02, 2019",199.92,200.39,192.54,198.93,198.89,"8,479,400"
"Nov 25, 2019",202.00,205.24,198.50,199.92,199.88,"7,474,800"
"Nov 18, 2019",197.38,202.88,195.75,201.85,201.81,"8,969,300"
"Nov 11, 2019",185.90,198.64,185.07,196.01,195.97,"9,276,800"
"Nov 04, 2019",181.31,189.28,178.45,188.20,188.16,"9,613,400"
"Oct 28, 2019",171.68,184.56,171.37,179.51,179.47,"13,376,700"
"Oct 21, 2019",166.95,173.67,165.85,171.49,171.45,"9,658,500"
"Oct 14, 2019",152.21,167.38,150.79,166.88,166.85,"9,744,900"
