Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",74.58,74.87,68.35,72.10,72.10,"12,242,600"
"Apr 06, 2020",65.08,77.11,63.47,74.99,74.99,"9,590,500"
"Mar 30, 2020",70.12,72.40,61.51,61.80,61.80,"10,929,100"
"Mar 23, 2020",60.00,75.55,55.69,70.30,70.30,"14,520,600"
"Mar 16, 2020",66.00,73.47,59.74,60.15,60.15,"17,853,800"
"Mar 09, 2020",74.14,79.04,68.49,73.84,73.84,"17,933,100"
"Mar 02, 2020",84.12,88.14,78.60,80.19,80.19,"13,355,100"
"Feb 24, 2020",92.80,94.59,79.92,84.48,84.48,"15,119,900"
"Feb 17, 2020",103.00,104.88,90.69,95.25,95.25,"14,045,400"
"Feb 10, 2020",102.56,103.97,100.81,103.25,103.25,"7,409,500"
"Feb 03, 2020",102.20,104.10,100.61,102.58,102.58,"5,342,300"
"Jan 27, 2020",97.14,104.00,97.14,101.46,101.46,"5,499,900"
"Jan 20, 2020",96.89,101.11,96.81,100.29,100.29,"4,564,700"
"Jan 13, 2020",96.23,97.36,95.06,97.12,97.12,"7,345,600"
"Jan 06, 2020",92.26,95.89,92.01,95.31,95.31,"7,446,000"
"Dec 30, 2019",91.01,93.57,89.50,92.66,92.66,"6,348,700"
"Dec 23, 2019",90.72,91.44,89.53,90.82,90.82,"3,850,600"
"Dec 16, 2019",89.62,91.59,88.90,90.72,90.72,"18,457,600"
"Dec 09, 2019",88.53,89.29,87.26,88.62,88.62,"7,560,500"
"Dec 02, 2019",88.68,89.51,86.61,88.58,88.58,"8,624,200"
"Nov 25, 2019",90.02,92.41,88.85,89.00,89.00,"7,612,100"
"Nov 18, 2019",86.08,91.73,83.54,89.26,89.26,"14,548,500"
"Nov 11, 2019",81.21,86.55,81.10,85.99,85.99,"7,018,700"
"Nov 04, 2019",83.43,84.19,80.71,81.46,81.46,"6,503,000"
"Oct 28, 2019",84.24,85.31,82.42,82.91,82.91,"5,531,500"
"Oct 21, 2019",82.50,85.10,82.14,83.94,83.94,"9,556,700"
"Oct 14, 2019",81.39,82.48,80.66,82.32,82.32,"5,752,700"
"Oct 07, 2019",79.56,82.81,78.07,81.37,81.37,"5,765,600"
"Sep 30, 2019",79.71,81.06,76.35,79.99,79.99,"10,457,500"
"Sep 23, 2019",82.58,83.28,79.30,79.71,79.71,"6,706,300"
"Sep 16, 2019",81.58,83.70,81.45,82.58,82.58,"6,567,600"
"Sep 09, 2019",82.01,83.55,80.24,81.81,81.81,"8,720,200"
"Sep 02, 2019",75.22,82.32,73.62,81.38,81.38,"9,337,800"
"Aug 26, 2019",73.99,76.49,73.20,75.39,75.39,"5,919,400"
"Aug 19, 2019",76.39,77.47,73.44,73.68,73.68,"4,372,900"
"Aug 12, 2019",75.13,76.82,74.14,75.50,75.50,"5,518,900"
"Aug 05, 2019",75.18,76.11,72.90,75.62,75.62,"7,423,200"
"Jul 29, 2019",79.51,79.66,75.16,76.14,76.14,"7,367,700"
"Jul 22, 2019",77.52,79.74,77.50,79.43,79.43,"4,765,600"
"Jul 15, 2019",77.34,78.74,76.91,77.51,77.51,"4,383,100"
"Jul 08, 2019",74.47,77.59,73.57,77.33,77.33,"4,338,000"
"Jul 01, 2019",75.51,75.90,74.12,74.60,74.60,"4,021,600"
"Jun 24, 2019",74.21,75.09,72.88,74.74,74.74,"7,597,100"
"Jun 17, 2019",74.06,75.23,72.76,73.94,73.94,"8,994,700"
"Jun 10, 2019",74.96,75.50,73.30,73.81,73.81,"5,966,400"
"Jun 03, 2019",71.53,75.22,70.91,74.65,74.65,"6,204,200"
"May 27, 2019",71.53,72.60,70.02,71.48,71.48,"6,906,300"
"May 20, 2019",65.12,72.51,64.70,70.99,70.99,"11,275,600"
"May 13, 2019",65.72,67.41,65.02,65.60,65.60,"4,583,800"
"May 06, 2019",66.13,67.08,65.05,66.87,66.87,"5,200,600"
"Apr 29, 2019",66.88,67.54,65.80,67.11,67.11,"6,040,500"
"Apr 22, 2019",64.84,66.86,64.57,66.86,66.86,"4,602,400"
"Apr 15, 2019",65.46,65.95,64.44,65.06,65.06,"5,673,500"
"Apr 08, 2019",63.92,65.56,63.88,65.37,65.37,"6,906,600"
"Apr 01, 2019",60.96,64.08,60.96,63.95,63.95,"7,033,000"
"Mar 25, 2019",59.28,60.65,58.86,60.59,60.59,"4,997,000"
"Mar 18, 2019",59.11,60.18,58.62,59.25,59.25,"5,371,800"
"Mar 11, 2019",58.27,60.34,58.27,59.03,59.03,"7,588,500"
"Mar 04, 2019",59.27,59.27,57.50,58.24,58.24,"6,892,900"
"Feb 25, 2019",58.44,59.81,57.96,58.40,58.40,"8,685,700"
"Feb 18, 2019",54.00,58.70,51.99,58.29,58.29,"11,330,100"
