Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",77.22,82.19,75.01,81.73,81.73,"11,080,500"
"Apr 06, 2020",72.40,80.72,71.31,77.56,77.56,"11,447,000"
"Mar 30, 2020",77.00,80.56,68.43,70.24,70.24,"20,791,600"
"Mar 23, 2020",76.71,83.76,73.19,77.05,77.05,"17,397,500"
"Mar 16, 2020",68.57,78.77,60.20,75.97,75.97,"24,112,900"
"Mar 09, 2020",75.44,88.95,69.49,74.70,74.70,"25,490,400"
"Mar 02, 2020",83.23,84.75,75.56,80.24,80.24,"23,109,700"
"Feb 24, 2020",92.34,92.72,80.69,83.03,83.03,"15,768,500"
"Feb 17, 2020",88.90,94.08,88.90,93.89,93.89,"8,491,300"
"Feb 10, 2020",87.18,89.63,86.77,88.68,88.68,"7,171,400"
"Feb 03, 2020",87.56,89.54,86.66,87.14,87.14,"7,911,300"
"Jan 27, 2020",86.73,88.91,85.37,87.07,87.07,"13,856,800"
"Jan 20, 2020",91.24,91.55,87.34,87.71,87.71,"20,518,000"
"Jan 13, 2020",90.76,91.92,88.62,91.55,91.55,"16,592,500"
"Jan 06, 2020",91.59,93.39,89.12,91.35,91.35,"19,125,900"
"Dec 30, 2019",92.81,94.69,92.34,93.03,93.03,"9,577,100"
"Dec 23, 2019",94.11,94.50,91.84,92.84,92.84,"7,750,200"
"Dec 16, 2019",94.00,94.94,91.14,94.06,94.06,"14,691,600"
"Dec 09, 2019",92.10,94.26,89.88,93.59,93.59,"14,538,800"
"Dec 02, 2019",91.50,92.59,88.26,92.24,92.24,"23,314,900"
"Nov 25, 2019",109.83,113.35,91.20,91.46,91.46,"37,634,800"
"Nov 18, 2019",108.54,110.16,106.42,109.04,109.04,"7,601,300"
"Nov 11, 2019",109.79,109.83,106.22,108.85,108.85,"7,255,800"
"Nov 04, 2019",112.06,114.83,109.99,110.35,110.35,"5,759,500"
"Oct 28, 2019",114.92,115.40,109.25,111.74,111.74,"7,149,300"
"Oct 21, 2019",117.26,119.71,114.02,114.55,114.55,"7,242,700"
"Oct 14, 2019",115.35,118.04,114.93,116.98,116.98,"6,489,300"
"Oct 07, 2019",115.13,116.59,110.81,115.19,115.19,"8,315,700"
"Sep 30, 2019",114.46,116.59,110.65,115.73,115.73,"10,656,200"
"Sep 23, 2019",111.10,114.51,111.10,114.30,114.30,"8,187,100"
"Sep 16, 2019",112.10,113.67,109.25,111.07,111.07,"8,809,200"
"Sep 09, 2019",109.87,113.12,106.81,112.86,112.86,"11,107,700"
"Sep 02, 2019",101.19,109.72,99.88,109.62,109.62,"9,661,000"
"Aug 26, 2019",96.35,104.24,94.52,101.53,101.53,"17,967,200"
"Aug 19, 2019",95.17,98.09,93.49,95.16,95.16,"9,261,100"
"Aug 12, 2019",89.92,98.41,89.41,93.71,93.71,"12,086,300"
"Aug 05, 2019",94.60,94.78,89.90,90.09,90.09,"13,402,800"
"Jul 29, 2019",106.01,106.22,94.70,96.87,96.87,"12,858,200"
"Jul 22, 2019",108.09,108.35,104.32,106.10,106.10,"7,465,000"
"Jul 15, 2019",112.47,112.87,108.15,108.20,108.20,"6,387,900"
"Jul 08, 2019",109.32,112.49,109.00,112.43,112.43,"7,773,000"
"Jul 01, 2019",108.79,110.43,107.92,109.64,109.64,"6,123,300"
"Jun 24, 2019",112.30,113.38,106.58,107.39,107.39,"10,850,400"
"Jun 17, 2019",110.43,112.50,107.64,112.19,112.19,"10,633,300"
"Jun 10, 2019",102.70,111.12,102.36,110.31,110.31,"12,438,400"
"Jun 03, 2019",101.59,103.73,99.88,102.64,102.64,"9,707,900"
"May 27, 2019",98.42,101.77,95.11,101.59,101.59,"13,903,100"
"May 20, 2019",99.90,101.22,96.69,98.42,98.42,"10,115,700"
"May 13, 2019",102.62,102.62,97.83,100.39,100.39,"11,488,500"
"May 06, 2019",107.68,108.80,102.97,104.02,104.02,"9,226,900"
"Apr 29, 2019",110.16,111.61,108.22,108.82,108.82,"7,459,400"
"Apr 22, 2019",108.70,111.53,107.18,109.94,109.94,"7,617,000"
"Apr 15, 2019",104.69,109.05,104.53,108.67,108.67,"6,927,900"
"Apr 08, 2019",104.42,105.00,101.49,104.45,104.45,"12,131,700"
"Apr 01, 2019",105.60,106.90,102.55,105.99,105.99,"10,272,900"
"Mar 25, 2019",101.40,105.24,101.28,105.04,105.04,"8,906,200"
"Mar 18, 2019",100.41,102.39,99.77,101.43,101.43,"8,703,900"
"Mar 11, 2019",102.19,104.49,99.51,99.86,99.86,"11,897,900"
"Mar 04, 2019",96.42,104.19,95.01,102.40,102.40,"22,605,300"
"Feb 25, 2019",97.80,98.40,94.75,96.36,96.36,"12,382,700"
"Feb 18, 2019",99.40,100.01,96.46,97.11,97.11,"7,156,400"
"Feb 11, 2019",97.64,100.12,97.26,98.85,98.85,"8,146,100"
"Feb 04, 2019",96.72,99.36,96.13,97.65,97.65,"8,474,900"
"Jan 28, 2019",96.15,97.42,94.87,96.69,96.69,"8,932,600"
"Jan 21, 2019",94.12,97.15,93.84,96.92,96.92,"9,446,300"
"Jan 14, 2019",97.00,97.85,92.92,94.66,94.66,"14,746,400"
"Jan 07, 2019",96.27,99.72,94.01,97.28,97.28,"18,576,700"
"Dec 31, 2018",88.11,93.64,87.87,92.89,92.89,"11,986,900"
"Dec 24, 2018",83.39,88.64,82.21,87.73,87.73,"10,715,400"
"Dec 17, 2018",85.74,87.83,83.02,83.46,83.46,"19,415,200"
"Dec 10, 2018",83.75,86.97,81.71,85.86,85.86,"11,795,400"
"Dec 03, 2018",87.60,88.30,83.23,83.39,83.39,"15,371,700"
"Nov 26, 2018",84.94,89.48,81.02,86.77,86.77,"32,289,600"
"Nov 19, 2018",84.15,85.45,81.21,83.01,83.01,"9,419,200"
"Nov 12, 2018",86.81,87.54,83.03,84.20,84.20,"12,895,500"
"Nov 05, 2018",85.21,88.33,84.90,86.38,86.38,"10,597,500"
"Oct 29, 2018",84.25,86.15,82.70,85.15,85.15,"13,083,600"
"Oct 22, 2018",84.82,85.31,81.34,83.28,83.28,"14,228,900"
"Oct 15, 2018",80.37,87.38,79.94,84.51,84.51,"23,263,600"
"Oct 08, 2018",80.63,85.46,78.78,81.14,81.14,"25,235,100"
"Oct 01, 2018",81.91,82.97,80.22,80.64,80.64,"16,699,800"
"Sep 24, 2018",84.60,85.93,80.94,81.55,81.55,"18,130,800"
"Sep 17, 2018",84.71,86.71,84.02,85.07,85.07,"24,937,300"
"Sep 10, 2018",82.42,85.27,82.41,84.57,84.57,"19,675,500"
"Sep 03, 2018",80.45,83.29,79.17,82.24,82.24,"26,970,600"
"Aug 27, 2018",94.22,94.51,79.50,80.51,80.51,"44,282,200"
"Aug 20, 2018",96.00,96.00,92.50,93.46,93.46,"14,986,200"
"Aug 13, 2018",93.86,96.09,92.20,95.61,95.61,"13,866,500"
