Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",123.23,130.51,118.58,127.97,127.97,"5,216,400"
"Apr 06, 2020",111.29,128.00,110.26,124.22,124.22,"3,931,000"
"Mar 30, 2020",120.71,124.61,105.66,106.62,106.62,"5,147,500"
"Mar 23, 2020",104.60,123.22,103.01,119.55,119.55,"5,961,300"
"Mar 16, 2020",128.68,136.34,105.35,105.65,105.65,"8,055,600"
"Mar 09, 2020",144.27,152.87,129.44,140.71,140.71,"8,082,500"
"Mar 02, 2020",143.97,163.04,143.05,154.18,153.78,"7,449,800"
"Feb 24, 2020",154.95,157.93,138.50,142.04,141.67,"5,427,500"
"Feb 17, 2020",162.60,162.60,158.78,159.53,159.12,"3,065,100"
"Feb 10, 2020",155.08,164.77,151.62,162.96,162.54,"5,115,600"
"Feb 03, 2020",150.70,157.09,150.54,155.61,155.21,"2,552,700"
"Jan 27, 2020",151.62,155.70,148.98,149.90,149.51,"3,509,500"
"Jan 20, 2020",152.53,155.43,151.76,154.01,153.61,"2,651,100"
"Jan 13, 2020",146.81,153.62,146.73,153.03,152.63,"3,312,900"
"Jan 06, 2020",142.11,148.31,141.71,146.72,146.34,"3,767,200"
"Dec 30, 2019",140.22,143.05,138.40,142.87,142.50,"2,546,200"
"Dec 23, 2019",138.69,140.89,138.11,140.21,139.85,"1,605,900"
"Dec 16, 2019",138.89,140.19,135.37,138.61,138.25,"3,998,200"
"Dec 09, 2019",137.83,139.04,135.23,138.70,138.34,"2,979,700"
"Dec 02, 2019",139.57,140.09,135.56,138.50,138.14,"2,301,800"
"Nov 25, 2019",138.50,141.92,138.31,139.64,139.28,"2,493,100"
"Nov 18, 2019",138.28,142.69,137.49,138.12,137.38,"3,122,100"
"Nov 11, 2019",133.21,139.02,132.09,138.40,137.66,"4,046,600"
"Nov 04, 2019",139.03,139.35,131.57,133.96,133.24,"4,195,000"
"Oct 28, 2019",138.16,138.76,133.49,138.70,137.96,"5,228,500"
"Oct 21, 2019",145.35,146.13,131.90,137.90,137.16,"7,786,400"
"Oct 14, 2019",143.71,146.80,142.69,144.68,143.90,"2,731,800"
"Oct 07, 2019",137.80,144.95,134.24,143.93,143.16,"4,356,700"
"Sep 30, 2019",140.88,141.88,132.95,138.04,137.30,"3,970,900"
"Sep 23, 2019",140.67,143.91,139.93,141.31,140.55,"4,057,400"
"Sep 16, 2019",140.64,142.83,139.21,141.05,140.29,"3,211,900"
"Sep 09, 2019",147.64,147.64,137.54,141.30,140.54,"3,882,600"
"Sep 02, 2019",145.51,148.59,145.38,146.76,145.97,"2,438,900"
"Aug 26, 2019",142.68,147.47,141.39,146.38,145.59,"2,507,300"
"Aug 19, 2019",145.00,145.56,141.25,141.75,140.61,"4,165,500"
"Aug 12, 2019",141.10,143.99,139.09,143.74,142.58,"3,807,100"
"Aug 05, 2019",135.63,144.46,133.53,141.70,140.56,"5,546,300"
"Jul 29, 2019",142.34,143.03,136.99,138.07,136.96,"4,690,000"
"Jul 22, 2019",139.09,144.03,136.91,142.34,141.19,"5,591,500"
"Jul 15, 2019",137.89,140.52,136.48,137.30,136.19,"2,652,700"
"Jul 08, 2019",137.69,137.95,135.05,137.66,136.55,"3,052,700"
"Jul 01, 2019",136.84,138.85,135.02,138.06,136.95,"2,576,000"
"Jun 24, 2019",134.39,135.64,130.41,135.24,134.15,"4,425,400"
"Jun 17, 2019",132.39,136.21,131.65,134.07,132.99,"4,045,200"
"Jun 10, 2019",131.05,133.29,128.10,132.04,130.98,"3,235,200"
"Jun 03, 2019",120.90,131.00,119.91,130.17,129.12,"4,227,900"
"May 27, 2019",122.19,124.90,119.98,120.90,119.93,"3,867,900"
"May 20, 2019",120.60,123.95,120.00,121.72,120.36,"2,772,600"
"May 13, 2019",116.50,122.25,115.44,121.12,119.77,"4,985,800"
"May 06, 2019",122.07,124.34,115.38,119.40,118.07,"8,419,000"
"Apr 29, 2019",125.35,126.85,123.19,124.17,122.78,"3,500,200"
"Apr 22, 2019",125.35,126.73,123.73,125.26,123.86,"2,869,600"
"Apr 15, 2019",125.39,126.89,124.79,125.70,124.29,"2,112,300"
"Apr 08, 2019",123.45,126.15,121.92,125.06,123.66,"2,917,900"
"Apr 01, 2019",119.10,124.83,118.45,123.78,122.40,"4,720,300"
"Mar 25, 2019",113.01,118.95,111.51,118.50,117.18,"4,605,000"
"Mar 18, 2019",111.26,115.11,111.20,112.88,111.62,"3,801,200"
"Mar 11, 2019",108.30,112.45,108.30,111.02,109.38,"3,484,200"
"Mar 04, 2019",110.90,111.25,107.58,108.53,106.93,"3,035,700"
"Feb 25, 2019",111.33,111.95,108.26,110.46,108.83,"4,774,200"
"Feb 18, 2019",108.88,113.11,105.58,110.76,109.13,"9,201,400"
"Feb 11, 2019",107.00,110.52,106.65,109.31,107.70,"9,137,000"
"Feb 04, 2019",107.86,108.15,105.69,106.88,105.31,"4,863,500"
"Jan 28, 2019",104.77,108.52,104.21,107.94,106.35,"5,013,000"
"Jan 21, 2019",103.87,105.64,102.60,105.63,104.07,"4,221,400"
"Jan 14, 2019",95.80,104.28,95.10,104.24,102.70,"6,718,900"
"Jan 07, 2019",94.16,96.90,93.32,96.65,95.23,"4,803,400"
"Dec 31, 2018",93.33,94.54,90.69,94.25,92.86,"3,161,200"
"Dec 24, 2018",90.26,94.68,88.68,92.86,91.49,"4,245,700"
"Dec 17, 2018",96.95,98.65,89.87,91.00,89.66,"8,667,600"
