Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",59.68,62.41,57.52,62.06,62.06,"13,054,500"
"Apr 06, 2020",51.60,61.90,51.49,60.27,60.27,"13,506,700"
"Mar 30, 2020",55.71,57.17,48.33,49.36,48.79,"12,812,300"
"Mar 23, 2020",46.46,59.55,44.14,55.36,54.72,"15,912,300"
"Mar 16, 2020",48.47,53.96,43.63,46.86,46.32,"21,885,900"
"Mar 09, 2020",65.24,66.44,49.78,53.25,52.64,"20,901,500"
"Mar 02, 2020",67.53,71.82,66.17,67.59,66.81,"18,294,400"
"Feb 24, 2020",77.75,77.81,65.26,67.19,66.42,"12,256,300"
"Feb 17, 2020",77.38,78.53,76.41,77.57,76.68,"6,319,300"
"Feb 10, 2020",77.21,78.93,76.60,77.14,76.25,"6,998,900"
"Feb 03, 2020",76.76,77.94,75.08,77.00,76.11,"8,452,100"
"Jan 27, 2020",76.97,77.39,76.02,76.55,75.67,"8,571,400"
"Jan 20, 2020",77.10,78.49,76.74,76.92,76.03,"6,102,000"
"Jan 13, 2020",75.34,77.47,74.62,76.96,76.07,"8,860,200"
"Jan 06, 2020",74.76,76.83,74.25,75.50,74.63,"7,947,800"
"Dec 30, 2019",74.57,75.58,73.90,74.78,73.29,"7,652,900"
"Dec 23, 2019",75.00,75.84,74.62,75.22,73.72,"4,430,700"
"Dec 16, 2019",72.77,75.46,72.09,75.19,73.69,"15,062,500"
"Dec 09, 2019",71.66,72.97,70.88,72.69,71.24,"8,824,100"
"Dec 02, 2019",68.91,72.53,68.15,71.37,69.95,"14,510,800"
"Nov 25, 2019",71.48,71.69,68.46,69.10,67.72,"14,041,700"
"Nov 18, 2019",70.05,71.71,68.41,71.25,69.83,"11,331,200"
"Nov 11, 2019",66.40,70.35,65.75,70.10,68.70,"10,261,200"
"Nov 04, 2019",65.16,67.26,64.27,66.30,64.98,"14,700,300"
"Oct 28, 2019",63.33,66.69,60.31,65.58,64.27,"22,684,300"
"Oct 21, 2019",70.63,72.50,62.69,66.05,64.74,"18,449,400"
"Oct 14, 2019",71.38,71.60,68.79,70.52,69.12,"9,765,700"
"Oct 07, 2019",75.47,75.71,71.13,71.33,69.91,"10,217,400"
"Sep 30, 2019",75.89,75.97,72.82,75.59,74.09,"9,944,000"
"Sep 23, 2019",72.89,76.45,72.40,75.88,73.77,"9,179,000"
"Sep 16, 2019",72.15,72.97,70.94,72.74,70.72,"9,506,900"
"Sep 09, 2019",70.69,73.75,70.30,71.93,69.93,"10,222,100"
"Sep 02, 2019",72.27,73.68,70.76,70.98,69.01,"9,384,900"
"Aug 26, 2019",72.47,74.00,71.74,72.27,70.26,"9,417,700"
"Aug 19, 2019",72.46,73.36,71.71,72.11,70.11,"8,488,600"
"Aug 12, 2019",74.09,74.09,71.43,72.50,70.49,"14,385,900"
"Aug 05, 2019",73.60,75.39,72.15,74.38,72.31,"13,888,900"
"Jul 29, 2019",70.84,75.24,68.99,73.75,71.70,"42,940,100"
"Jul 22, 2019",70.20,72.59,69.11,70.95,68.98,"11,186,000"
"Jul 15, 2019",70.51,71.18,69.26,70.17,68.22,"10,862,500"
"Jul 08, 2019",67.01,71.54,67.01,70.64,68.68,"15,405,900"
"Jul 01, 2019",67.56,67.71,65.58,67.18,64.72,"7,870,500"
"Jun 24, 2019",65.30,67.43,63.66,67.41,64.94,"11,666,100"
"Jun 17, 2019",59.46,65.84,59.24,65.41,63.02,"16,481,500"
"Jun 10, 2019",62.65,62.81,58.62,59.44,57.27,"10,092,600"
"Jun 03, 2019",59.89,64.88,59.51,62.64,60.35,"10,554,700"
"May 27, 2019",60.90,60.95,58.28,59.37,57.20,"11,155,400"
"May 20, 2019",60.09,62.03,59.87,60.89,58.66,"6,596,400"
"May 13, 2019",59.01,60.70,58.97,59.96,57.77,"8,074,200"
"May 06, 2019",60.67,62.26,58.64,59.19,57.03,"7,742,900"
"Apr 29, 2019",63.51,64.11,58.22,60.59,58.37,"12,310,200"
"Apr 22, 2019",62.96,64.59,62.42,63.56,61.24,"7,665,400"
"Apr 15, 2019",67.13,67.13,63.07,63.09,60.78,"8,707,800"
"Apr 08, 2019",63.97,67.43,61.86,67.13,64.68,"15,881,000"
