Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",681.61,696.79,644.76,694.95,694.95,"2,476,200"
"Apr 06, 2020",639.78,692.63,621.55,686.94,686.94,"2,758,000"
"Mar 30, 2020",605.99,649.00,580.69,624.69,624.69,"3,987,100"
"Mar 23, 2020",505.04,605.00,477.87,594.27,594.27,"3,891,100"
"Mar 16, 2020",582.59,598.23,493.20,506.52,506.52,"5,477,800"
"Mar 09, 2020",571.00,623.84,546.15,621.09,621.09,"4,413,800"
"Mar 02, 2020",577.88,646.52,577.26,608.67,608.67,"3,426,700"
"Feb 24, 2020",648.18,654.44,563.55,572.80,570.44,"3,485,700"
"Feb 17, 2020",644.17,657.00,639.30,655.99,653.28,"1,791,400"
"Feb 10, 2020",609.19,654.32,607.07,648.65,645.97,"2,128,600"
"Feb 03, 2020",592.56,609.47,591.05,606.00,603.50,"1,500,900"
"Jan 27, 2020",589.91,608.11,585.61,589.73,587.30,"1,631,600"
"Jan 20, 2020",591.51,603.70,583.94,591.96,589.52,"1,806,200"
"Jan 13, 2020",594.89,598.53,582.93,588.00,585.57,"2,492,300"
"Jan 06, 2020",585.13,595.77,575.01,594.00,591.55,"1,335,300"
"Dec 30, 2019",580.30,590.36,575.03,585.12,582.71,"1,373,500"
"Dec 23, 2019",577.37,584.45,569.16,582.50,580.10,"649,200"
"Dec 16, 2019",552.55,582.20,547.15,577.71,575.33,"2,697,100"
"Dec 09, 2019",559.56,564.83,543.11,551.84,549.56,"1,822,600"
"Dec 02, 2019",564.81,566.99,547.06,559.19,556.88,"1,900,400"
"Nov 25, 2019",559.61,569.07,550.91,566.85,564.51,"1,810,700"
"Nov 18, 2019",550.00,573.18,550.00,557.58,552.83,"1,793,700"
"Nov 11, 2019",530.26,552.01,526.85,550.41,545.72,"2,051,400"
"Nov 04, 2019",560.67,560.80,519.37,530.31,525.80,"2,860,500"
"Oct 28, 2019",564.23,577.71,553.81,562.24,557.45,"2,271,200"
"Oct 21, 2019",576.41,582.68,553.67,565.74,560.92,"1,621,000"
"Oct 14, 2019",566.98,577.17,560.89,576.41,571.50,"1,147,800"
"Oct 07, 2019",577.87,580.95,565.87,566.61,561.79,"1,290,000"
"Sep 30, 2019",578.72,582.43,555.18,581.65,576.70,"1,858,600"
"Sep 23, 2019",575.03,609.97,562.00,576.62,571.71,"2,177,300"
"Sep 16, 2019",537.74,571.70,536.19,566.45,561.63,"2,574,200"
"Sep 09, 2019",554.10,554.31,525.38,536.80,532.23,"2,188,200"
