Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",41.38,41.59,37.62,39.87,39.87,"20,351,500"
"Apr 06, 2020",36.39,42.47,36.31,41.76,41.76,"25,687,100"
"Mar 30, 2020",33.63,35.81,31.41,34.29,34.29,"27,898,200"
"Mar 23, 2020",29.05,36.91,27.16,33.98,33.98,"35,357,400"
"Mar 16, 2020",30.00,34.43,25.76,28.98,28.98,"37,527,800"
"Mar 09, 2020",37.75,39.99,30.75,36.11,36.11,"37,232,600"
"Mar 02, 2020",45.58,47.50,40.38,42.20,42.20,"44,333,500"
"Feb 24, 2020",50.93,51.29,44.12,45.78,45.66,"48,438,100"
"Feb 17, 2020",44.11,57.30,43.50,53.35,53.21,"64,747,700"
"Feb 10, 2020",43.50,44.88,43.01,44.19,44.07,"10,502,800"
"Feb 03, 2020",42.97,45.36,42.23,43.61,43.50,"14,588,900"
"Jan 27, 2020",44.45,45.08,42.51,42.62,42.51,"15,047,100"
"Jan 20, 2020",46.50,46.95,44.53,45.63,45.51,"13,501,100"
"Jan 13, 2020",46.60,47.81,46.05,46.74,46.62,"11,779,200"
"Jan 06, 2020",45.02,46.94,44.61,46.30,46.18,"13,100,000"
"Dec 30, 2019",45.85,46.10,44.85,45.40,45.28,"6,671,100"
"Dec 23, 2019",45.94,46.02,45.01,45.58,45.46,"5,232,800"
"Dec 16, 2019",45.70,46.16,45.39,45.70,45.58,"14,419,700"
"Dec 09, 2019",45.70,46.14,44.83,45.15,45.03,"12,787,600"
"Dec 02, 2019",44.52,46.42,43.60,45.81,45.69,"20,626,400"
"Nov 25, 2019",42.29,44.55,42.25,44.30,44.18,"22,801,300"
"Nov 18, 2019",44.72,46.14,41.17,42.38,42.27,"52,107,000"
"Nov 11, 2019",43.03,44.99,42.45,44.95,44.83,"11,259,100"
"Nov 04, 2019",43.00,44.16,42.66,43.48,43.23,"10,912,000"
"Oct 28, 2019",41.37,42.82,41.00,42.55,42.30,"12,506,100"
"Oct 21, 2019",41.08,41.59,40.08,41.05,40.81,"16,903,800"
"Oct 14, 2019",39.23,41.53,38.59,40.85,40.61,"26,959,900"
"Oct 07, 2019",36.75,40.15,36.24,39.48,39.25,"25,195,000"
"Sep 30, 2019",43.54,43.81,34.68,36.40,36.19,"51,825,200"
"Sep 23, 2019",44.67,45.20,41.44,43.27,43.02,"15,916,100"
"Sep 16, 2019",44.76,45.96,44.38,44.91,44.65,"12,819,500"
"Sep 09, 2019",42.61,45.56,42.61,45.31,45.05,"14,753,100"
"Sep 02, 2019",41.61,43.45,40.78,42.92,42.67,"9,963,800"
"Aug 26, 2019",40.52,42.23,39.31,41.74,41.50,"13,655,500"
"Aug 19, 2019",41.71,42.09,39.97,40.10,39.87,"14,852,100"
"Aug 12, 2019",41.59,42.58,40.02,41.09,40.71,"11,417,200"
"Aug 05, 2019",45.12,45.63,41.36,42.22,41.83,"17,029,800"
"Jul 29, 2019",49.37,49.55,45.72,46.08,45.65,"10,066,400"
"Jul 22, 2019",47.28,49.84,46.47,49.50,49.04,"13,696,200"
"Jul 15, 2019",45.92,48.43,45.18,47.35,46.91,"18,841,600"
"Jul 08, 2019",45.72,45.98,44.30,45.75,45.32,"13,162,400"
"Jul 01, 2019",45.43,46.83,45.10,46.15,45.72,"6,511,100"
"Jun 24, 2019",45.88,46.00,43.49,44.60,44.19,"14,052,200"
"Jun 17, 2019",45.42,46.47,44.55,46.23,45.80,"12,709,900"
"Jun 10, 2019",46.53,47.48,44.74,45.31,44.89,"8,352,700"
"Jun 03, 2019",44.75,47.10,44.61,46.06,45.63,"12,105,400"
"May 27, 2019",46.72,46.79,44.67,44.80,44.38,"10,953,200"
"May 20, 2019",47.48,48.87,46.15,46.85,46.41,"10,684,500"
"May 13, 2019",48.55,48.91,47.37,47.96,47.51,"12,823,400"
"May 06, 2019",49.60,50.68,48.63,49.65,49.05,"11,221,000"
"Apr 29, 2019",50.28,51.81,49.75,50.60,49.99,"8,543,300"
"Apr 22, 2019",50.87,51.36,49.09,50.26,49.65,"11,552,900"
"Apr 15, 2019",49.69,52.35,48.76,51.14,50.52,"13,085,700"
"Apr 08, 2019",48.51,49.67,47.53,49.29,48.70,"8,444,400"
"Apr 01, 2019",46.97,48.91,46.89,48.77,48.18,"8,661,400"
"Mar 25, 2019",45.05,46.66,44.71,46.43,45.87,"10,903,200"
"Mar 18, 2019",49.31,49.99,44.45,45.02,44.48,"12,864,100"
"Mar 11, 2019",47.04,49.44,46.82,49.02,48.43,"11,518,900"
"Mar 04, 2019",50.75,51.25,46.41,46.86,46.29,"14,027,800"
"Feb 25, 2019",49.09,50.59,48.44,50.52,49.91,"12,851,400"
"Feb 18, 2019",47.15,48.90,47.12,48.89,48.30,"13,106,800"
"Feb 11, 2019",45.95,48.06,45.76,47.46,46.89,"13,251,400"
"Feb 04, 2019",47.46,47.77,45.54,45.93,45.38,"14,882,200"
"Jan 28, 2019",47.39,47.94,45.65,47.30,46.59,"19,279,400"
"Jan 21, 2019",50.25,50.57,47.27,47.77,47.05,"17,087,400"
"Jan 14, 2019",47.43,50.75,46.99,50.66,49.90,"10,484,200"
"Jan 07, 2019",45.32,47.90,44.85,47.88,47.16,"10,840,500"
"Dec 31, 2018",43.98,45.38,43.02,45.28,44.60,"9,401,300"
"Dec 24, 2018",41.25,44.17,40.41,43.53,42.88,"10,217,600"
"Dec 17, 2018",43.33,44.73,41.70,41.74,41.11,"19,273,500"
"Dec 10, 2018",45.54,46.67,43.48,43.55,42.89,"18,953,000"
"Dec 03, 2018",53.55,54.08,45.50,45.74,45.05,"18,075,500"
"Nov 26, 2018",51.36,52.91,51.34,52.29,51.50,"12,811,900"
"Nov 19, 2018",52.05,52.31,49.96,50.69,49.93,"8,442,000"
"Nov 12, 2018",52.83,53.46,50.54,52.19,51.40,"13,536,700"
"Nov 05, 2018",51.27,54.44,50.66,52.94,52.14,"14,338,000"
"Oct 29, 2018",48.12,51.98,46.79,51.11,50.19,"19,039,400"
"Oct 22, 2018",49.34,49.64,45.97,47.52,46.67,"23,671,900"
"Oct 15, 2018",49.70,50.80,48.01,49.08,48.20,"20,383,400"
"Oct 08, 2018",52.63,53.44,48.79,49.80,48.91,"17,265,900"
"Oct 01, 2018",52.82,53.54,51.01,52.69,51.74,"17,362,900"
"Sep 24, 2018",54.79,54.93,52.25,52.39,51.45,"12,631,500"
"Sep 17, 2018",53.60,56.44,53.04,55.02,54.03,"21,633,800"
"Sep 10, 2018",55.10,55.52,53.02,53.71,52.75,"13,938,200"
"Sep 03, 2018",58.70,59.61,54.90,54.99,54.00,"15,168,700"
"Aug 27, 2018",59.22,60.07,58.08,58.86,57.80,"8,694,600"
"Aug 20, 2018",61.18,61.55,58.02,58.80,57.74,"14,869,400"
"Aug 13, 2018",60.71,61.70,59.15,61.19,60.09,"7,029,600"
"Aug 06, 2018",60.15,61.87,59.58,60.57,59.48,"7,052,500"
"Jul 30, 2018",60.35,61.74,59.16,60.11,59.03,"10,791,400"
"Jul 23, 2018",59.41,62.12,59.36,61.23,60.13,"14,665,200"
"Jul 16, 2018",60.06,63.39,57.66,59.63,58.56,"17,679,000"
"Jul 09, 2018",61.08,61.98,59.11,59.76,58.69,"10,718,000"
"Jul 02, 2018",60.72,62.10,59.50,60.58,59.49,"7,618,000"
