Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",78.57,83.25,76.84,82.11,82.11,"6,907,600"
"Apr 06, 2020",74.35,79.74,73.63,78.65,78.65,"5,305,200"
"Mar 30, 2020",73.87,77.23,70.21,71.56,71.56,"5,843,600"
"Mar 23, 2020",65.91,76.18,61.04,73.53,73.53,"7,159,900"
"Mar 16, 2020",69.00,75.73,65.62,66.03,66.03,"7,611,400"
"Mar 09, 2020",81.84,84.78,72.38,77.34,76.74,"6,599,800"
"Mar 02, 2020",90.00,94.94,84.96,87.52,86.84,"6,383,700"
"Feb 24, 2020",94.47,96.54,85.44,88.39,87.70,"6,588,500"
"Feb 17, 2020",98.44,105.58,96.50,96.58,95.82,"6,433,600"
"Feb 10, 2020",96.02,99.00,95.85,98.18,97.41,"2,294,100"
"Feb 03, 2020",97.52,99.98,95.92,96.20,95.45,"3,420,000"
"Jan 27, 2020",98.26,102.42,96.84,96.95,96.19,"3,453,000"
"Jan 20, 2020",99.15,101.31,98.96,99.59,98.81,"2,541,600"
"Jan 13, 2020",96.97,99.24,96.70,99.04,98.27,"4,639,500"
"Jan 06, 2020",97.40,98.06,96.41,96.50,95.75,"3,685,300"
"Dec 30, 2019",98.47,98.63,97.27,97.71,96.95,"2,555,800"
"Dec 23, 2019",98.65,99.26,97.63,98.52,97.75,"1,798,900"
"Dec 16, 2019",97.60,98.84,96.55,98.68,97.91,"5,525,500"
"Dec 09, 2019",96.84,98.75,96.50,97.43,96.10,"3,935,700"
"Dec 02, 2019",98.20,98.44,95.20,96.52,95.21,"4,529,100"
"Nov 25, 2019",97.94,98.67,97.23,97.69,96.36,"2,938,900"
"Nov 18, 2019",95.30,98.76,95.00,97.20,95.88,"4,976,200"
"Nov 11, 2019",96.08,97.60,95.07,95.65,94.35,"4,771,400"
"Nov 04, 2019",95.22,96.00,91.33,95.89,94.59,"7,220,800"
"Oct 28, 2019",87.27,96.44,86.84,94.46,93.17,"7,773,600"
"Oct 21, 2019",87.58,87.85,86.09,87.23,86.04,"2,667,600"
"Oct 14, 2019",86.97,87.69,85.02,87.46,86.27,"3,311,900"
"Oct 07, 2019",84.51,87.91,82.92,87.08,85.90,"3,253,800"
"Sep 30, 2019",84.77,85.32,82.27,84.97,83.81,"3,417,700"
"Sep 23, 2019",85.00,85.50,82.59,84.81,83.66,"3,906,200"
"Sep 16, 2019",85.35,86.29,84.58,85.03,83.87,"7,401,200"
"Sep 09, 2019",83.99,86.25,83.54,85.34,83.62,"5,523,500"
"Sep 02, 2019",81.14,83.97,80.58,83.46,81.78,"3,776,500"
"Aug 26, 2019",78.91,81.86,78.43,81.57,79.92,"4,334,200"
"Aug 19, 2019",78.02,80.92,77.67,78.36,76.78,"5,261,800"
"Aug 12, 2019",78.58,79.64,76.06,77.17,75.61,"5,376,600"
"Aug 05, 2019",75.00,79.43,74.29,79.04,77.45,"7,050,500"
"Jul 29, 2019",78.16,83.95,75.08,75.69,74.16,"10,041,500"
"Jul 22, 2019",81.07,81.28,78.25,78.29,76.71,"5,373,300"
"Jul 15, 2019",79.65,82.50,79.21,81.08,79.44,"6,270,200"
"Jul 08, 2019",79.40,79.97,77.50,79.79,78.18,"4,068,600"
"Jul 01, 2019",80.40,80.83,78.51,79.75,78.14,"3,440,500"
"Jun 24, 2019",81.42,81.73,79.47,79.80,78.19,"5,134,700"
"Jun 17, 2019",79.95,82.74,79.91,81.21,79.57,"5,692,100"
"Jun 10, 2019",79.53,81.24,79.53,79.79,77.63,"4,393,700"
"Jun 03, 2019",76.47,79.31,76.19,78.95,76.81,"4,230,700"
"May 27, 2019",77.77,77.87,76.03,76.48,74.41,"4,520,900"
"May 20, 2019",77.81,78.25,76.08,77.65,75.54,"5,422,000"
"May 13, 2019",78.11,80.08,76.74,78.14,76.02,"6,578,900"
"May 06, 2019",78.51,79.56,77.31,79.31,77.16,"5,094,000"
"Apr 29, 2019",85.88,86.47,77.69,79.55,77.39,"8,822,200"
"Apr 22, 2019",86.45,87.54,85.16,85.80,83.47,"3,823,200"
"Apr 15, 2019",89.07,89.09,85.47,86.53,84.18,"4,714,400"
"Apr 08, 2019",88.17,89.72,87.80,88.95,86.54,"4,195,600"
"Apr 01, 2019",86.70,89.10,86.66,88.17,85.78,"5,101,200"
