Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",14.89,15.02,13.18,14.36,14.36,"13,370,700"
"Apr 06, 2020",12.81,15.67,12.61,14.99,14.99,"14,478,200"
"Mar 30, 2020",14.87,15.04,11.86,11.94,11.94,"17,925,200"
"Mar 23, 2020",12.94,16.28,11.29,15.08,15.08,"27,133,400"
"Mar 16, 2020",15.84,17.71,12.76,13.08,12.89,"23,130,900"
"Mar 09, 2020",18.70,20.98,14.53,17.46,17.20,"29,913,600"
"Mar 02, 2020",20.77,21.88,17.61,19.79,19.50,"22,813,800"
"Feb 24, 2020",22.97,23.00,20.21,20.67,20.36,"17,628,700"
"Feb 17, 2020",22.38,23.71,22.36,23.47,23.12,"10,197,800"
"Feb 10, 2020",22.22,22.53,21.61,22.38,22.05,"11,213,700"
"Feb 03, 2020",23.23,23.80,21.98,22.31,21.98,"17,457,400"
"Jan 27, 2020",23.68,24.01,23.07,23.20,22.85,"21,101,600"
"Jan 20, 2020",24.45,24.60,23.87,23.94,23.58,"13,420,900"
"Jan 13, 2020",23.70,25.11,23.58,24.47,24.11,"18,843,700"
"Jan 06, 2020",23.36,23.67,23.26,23.65,23.30,"14,411,600"
"Dec 30, 2019",23.46,23.60,23.19,23.46,23.11,"10,871,700"
"Dec 23, 2019",23.75,23.85,23.19,23.39,23.04,"6,527,200"
"Dec 16, 2019",23.57,23.87,23.20,23.63,23.28,"21,564,200"
"Dec 09, 2019",23.56,23.77,22.92,23.49,23.14,"23,574,700"
"Dec 02, 2019",24.39,24.51,22.79,23.50,22.89,"24,944,700"
"Nov 25, 2019",24.60,25.00,24.06,24.38,23.75,"25,098,600"
"Nov 18, 2019",24.85,25.04,24.25,24.51,23.88,"14,121,900"
"Nov 11, 2019",24.36,25.06,24.28,24.92,24.28,"11,295,300"
"Nov 04, 2019",25.03,25.44,23.70,24.42,23.79,"16,951,900"
"Oct 28, 2019",25.21,25.38,24.71,24.95,24.30,"9,478,300"
"Oct 21, 2019",23.38,25.29,23.38,25.18,24.53,"12,346,400"
"Oct 14, 2019",23.56,23.85,22.99,23.28,22.68,"13,267,900"
"Oct 07, 2019",23.32,23.90,23.01,23.63,23.02,"13,373,500"
"Sep 30, 2019",23.24,23.88,23.11,23.40,22.79,"14,575,800"
"Sep 23, 2019",23.35,23.92,23.16,23.33,22.73,"12,478,300"
"Sep 16, 2019",24.02,24.23,23.42,23.42,22.81,"14,937,400"
"Sep 09, 2019",24.17,24.66,23.97,24.17,23.30,"19,315,800"
"Sep 02, 2019",24.11,24.52,24.05,24.14,23.27,"18,564,700"
"Aug 26, 2019",26.92,27.35,23.87,24.22,23.34,"26,024,300"
"Aug 19, 2019",27.81,27.84,26.62,26.71,25.74,"11,431,000"
"Aug 12, 2019",27.37,27.86,26.97,27.52,26.53,"11,759,800"
"Aug 05, 2019",27.38,27.74,26.52,27.47,26.48,"11,429,100"
"Jul 29, 2019",27.51,28.08,27.23,27.47,26.48,"9,717,500"
"Jul 22, 2019",28.13,28.21,27.20,27.45,26.46,"11,734,700"
"Jul 15, 2019",28.27,28.51,27.83,28.02,27.01,"11,825,500"
"Jul 08, 2019",28.83,29.24,28.05,28.33,27.31,"13,566,500"
"Jul 01, 2019",29.45,29.62,28.02,28.83,27.79,"9,963,800"
"Jun 24, 2019",27.89,29.55,27.54,29.30,28.24,"19,953,800"
"Jun 17, 2019",28.78,28.83,27.72,27.90,26.65,"14,926,200"
"Jun 10, 2019",27.25,29.29,26.72,28.69,27.40,"22,120,000"
