Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",86.69,90.55,84.67,90.40,90.40,"15,863,400"
"Apr 06, 2020",83.54,87.87,82.11,87.38,87.38,"16,606,300"
"Mar 30, 2020",82.07,84.50,77.17,80.99,80.99,"19,709,000"
"Mar 23, 2020",72.24,84.35,63.51,81.25,81.25,"25,778,100"
"Mar 16, 2020",75.03,79.95,64.11,72.99,72.73,"35,010,900"
"Mar 09, 2020",88.93,91.93,75.46,83.12,82.82,"29,466,200"
"Mar 02, 2020",89.94,100.46,89.53,94.04,93.70,"28,135,100"
"Feb 24, 2020",93.50,95.31,87.42,89.22,88.90,"22,023,700"
"Feb 17, 2020",95.85,96.95,94.48,94.75,94.41,"9,104,500"
"Feb 10, 2020",92.54,96.90,92.53,96.86,96.51,"24,951,800"
"Feb 03, 2020",100.15,101.93,86.83,92.63,92.30,"56,305,800"
"Jan 27, 2020",96.31,100.43,95.64,99.74,99.38,"9,671,700"
"Jan 20, 2020",96.69,98.09,96.01,97.11,96.76,"8,407,200"
"Jan 13, 2020",94.20,97.05,93.51,96.77,96.42,"14,164,800"
"Jan 06, 2020",94.70,95.47,93.48,94.25,93.91,"11,786,100"
"Dec 30, 2019",93.08,94.98,91.71,94.67,94.33,"10,007,500"
"Dec 23, 2019",93.23,93.45,91.96,93.00,92.66,"5,866,300"
"Dec 16, 2019",92.43,94.12,90.78,93.03,92.69,"17,350,000"
"Dec 09, 2019",93.70,93.70,90.01,91.91,91.30,"17,297,400"
"Dec 02, 2019",94.16,94.61,92.85,93.80,93.18,"10,541,700"
"Nov 25, 2019",93.97,94.78,92.84,94.17,93.55,"10,413,400"
"Nov 18, 2019",93.32,95.34,92.51,93.75,93.13,"10,906,700"
"Nov 11, 2019",90.62,93.50,90.02,92.96,92.34,"9,827,200"
"Nov 04, 2019",93.21,93.43,89.09,90.47,89.87,"15,553,100"
"Oct 28, 2019",92.39,95.28,91.28,92.93,92.31,"12,841,300"
"Oct 21, 2019",94.54,94.57,91.76,91.96,91.35,"9,831,600"
"Oct 14, 2019",94.11,94.81,92.42,94.40,93.77,"9,414,100"
"Oct 07, 2019",93.65,95.56,92.93,93.94,93.32,"10,812,500"
"Sep 30, 2019",92.73,94.07,89.94,94.00,93.38,"9,842,600"
"Sep 23, 2019",92.36,94.91,92.06,92.40,91.79,"8,949,200"
"Sep 16, 2019",91.00,94.62,90.66,92.33,91.72,"11,819,400"
"Sep 09, 2019",95.55,95.55,88.99,90.83,89.95,"12,593,000"
"Sep 02, 2019",93.12,95.52,93.09,94.89,93.97,"7,079,300"
"Aug 26, 2019",92.11,93.88,91.56,93.48,92.58,"7,747,800"
"Aug 19, 2019",92.55,93.33,90.95,91.44,90.56,"8,130,200"
"Aug 12, 2019",92.39,92.42,89.26,91.67,90.78,"9,343,400"
"Aug 05, 2019",89.51,93.40,88.25,92.88,91.98,"10,658,500"
"Jul 29, 2019",89.56,90.68,85.79,90.42,89.55,"12,018,100"
"Jul 22, 2019",90.21,91.08,87.10,89.59,88.73,"10,935,600"
"Jul 15, 2019",91.79,92.31,90.70,90.77,89.89,"7,449,800"
"Jul 08, 2019",89.35,91.77,88.86,91.55,90.67,"9,714,200"
"Jul 01, 2019",86.69,89.59,85.71,89.52,88.66,"6,823,700"
"Jun 24, 2019",86.59,87.12,84.50,85.94,85.11,"10,457,600"
"Jun 17, 2019",85.16,87.26,83.95,86.77,85.93,"11,112,400"
"Jun 10, 2019",85.90,86.78,84.25,84.93,83.84,"8,601,800"
"Jun 03, 2019",82.30,85.85,81.94,85.38,84.28,"12,996,300"
"May 27, 2019",81.80,82.79,81.28,82.21,81.15,"10,474,900"
"May 20, 2019",81.25,82.07,80.47,81.83,80.78,"12,283,200"
"May 13, 2019",80.17,81.99,79.79,81.22,80.18,"10,221,100"
"May 06, 2019",78.93,81.59,78.87,81.36,80.32,"11,334,400"
"Apr 29, 2019",81.18,81.99,79.50,79.69,78.67,"14,785,100"
"Apr 22, 2019",79.61,81.20,79.52,81.19,80.15,"9,887,000"
"Apr 15, 2019",77.40,80.60,77.24,79.86,78.83,"12,737,800"
"Apr 08, 2019",76.96,78.13,76.57,77.28,76.29,"15,288,100"
"Apr 01, 2019",76.61,77.89,76.49,77.26,76.27,"12,502,700"
"Mar 25, 2019",72.85,76.20,72.73,76.14,75.16,"13,984,000"
"Mar 18, 2019",74.84,75.25,72.47,72.76,71.83,"14,392,600"
"Mar 11, 2019",72.87,74.65,72.25,74.63,73.40,"14,578,300"
"Mar 04, 2019",77.30,77.68,71.90,72.50,71.30,"15,104,600"
"Feb 25, 2019",75.68,78.16,75.02,77.19,75.92,"14,685,200"
"Feb 18, 2019",75.29,75.70,74.01,75.18,73.94,"11,571,300"
"Feb 11, 2019",76.13,77.36,74.49,75.50,74.25,"19,119,300"
"Feb 04, 2019",77.56,80.10,74.28,76.16,74.90,"19,532,100"
"Jan 28, 2019",75.40,77.84,74.91,77.52,76.24,"11,314,900"
"Jan 21, 2019",75.50,76.42,75.12,75.76,74.51,"9,351,700"
"Jan 14, 2019",72.35,75.83,72.10,75.63,74.38,"13,402,300"
"Jan 07, 2019",73.32,74.76,71.20,73.10,71.89,"17,376,700"
"Dec 31, 2018",74.72,75.88,73.83,75.67,74.42,"10,830,100"
"Dec 24, 2018",72.15,75.27,69.69,74.45,73.22,"7,985,200"
"Dec 17, 2018",76.92,77.38,72.46,72.82,71.62,"18,962,200"
"Dec 10, 2018",78.52,79.87,76.71,77.10,75.59,"12,333,000"
"Dec 03, 2018",82.21,82.65,77.80,78.55,77.02,"15,695,000"
"Nov 26, 2018",79.35,81.83,79.30,81.72,80.12,"18,254,100"
"Nov 19, 2018",81.09,81.95,78.69,78.92,77.38,"11,049,300"
"Nov 12, 2018",79.03,81.29,77.80,81.22,79.63,"16,408,200"
"Nov 05, 2018",77.00,80.00,76.98,79.08,77.54,"13,150,900"
"Oct 29, 2018",73.74,77.74,72.11,76.91,75.41,"26,948,900"
"Oct 22, 2018",74.50,74.71,72.60,73.74,72.30,"15,892,500"
"Oct 15, 2018",73.15,75.07,72.62,74.29,72.84,"14,712,300"
"Oct 08, 2018",75.80,76.25,72.32,73.30,71.87,"13,490,600"
"Oct 01, 2018",75.02,76.62,74.46,76.02,74.54,"12,878,400"
"Sep 24, 2018",77.74,78.05,74.66,74.89,73.43,"13,974,300"
"Sep 17, 2018",78.00,78.42,77.36,77.82,76.30,"12,723,500"
