Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",26.48,27.46,23.21,26.81,26.81,"15,885,900"
"Apr 06, 2020",24.65,27.51,24.42,26.50,26.50,"15,866,900"
"Mar 30, 2020",22.74,25.14,22.18,23.49,23.49,"28,331,600"
"Mar 23, 2020",19.49,25.23,18.28,22.63,22.63,"26,172,900"
"Mar 16, 2020",20.34,22.61,17.01,19.61,19.61,"34,090,000"
"Mar 09, 2020",25.55,26.16,19.89,23.00,22.48,"51,443,500"
"Mar 02, 2020",33.06,34.75,24.68,27.79,27.16,"114,349,500"
"Feb 24, 2020",141.76,143.24,125.27,129.04,126.13,"11,901,300"
"Feb 17, 2020",145.78,146.85,143.88,145.64,142.35,"7,085,700"
"Feb 10, 2020",141.22,146.60,140.72,146.55,143.24,"7,602,200"
"Feb 03, 2020",133.74,143.53,133.64,141.81,138.61,"8,821,900"
"Jan 27, 2020",128.92,135.29,128.12,133.23,130.22,"11,513,600"
"Jan 20, 2020",133.10,133.65,129.73,130.60,127.65,"5,551,900"
"Jan 13, 2020",131.18,134.24,130.24,133.92,130.90,"5,488,000"
"Jan 06, 2020",132.41,132.78,130.26,131.18,128.22,"6,511,900"
"Dec 30, 2019",134.28,134.35,132.14,133.15,130.15,"4,384,800"
"Dec 23, 2019",135.30,135.30,133.31,134.35,131.32,"3,128,100"
"Dec 16, 2019",134.46,138.33,132.36,135.01,131.96,"7,943,600"
"Dec 09, 2019",131.30,134.71,130.58,133.81,130.79,"6,770,400"
"Dec 02, 2019",131.52,134.61,127.04,131.69,128.19,"6,721,100"
"Nov 25, 2019",130.21,132.13,129.92,131.11,127.62,"4,771,700"
"Nov 18, 2019",128.45,131.00,128.16,130.10,126.64,"7,036,900"
"Nov 11, 2019",129.30,130.35,126.87,128.70,125.28,"5,670,100"
"Nov 04, 2019",129.88,132.42,128.77,130.44,126.97,"6,693,000"
"Oct 28, 2019",121.60,129.35,121.45,128.87,125.44,"9,690,800"
"Oct 21, 2019",31.00,32.94,30.64,32.79,31.92,"15,135,000"
"Oct 14, 2019",29.27,31.11,28.92,30.85,30.03,"6,810,700"
"Oct 07, 2019",28.03,29.94,26.71,29.57,28.78,"8,111,900"
"Sep 30, 2019",28.73,28.73,26.49,28.22,27.47,"7,987,200"
"Sep 23, 2019",29.27,29.54,28.36,28.68,27.92,"5,025,800"
"Sep 16, 2019",31.23,32.12,29.44,29.50,28.72,"7,098,000"
"Sep 09, 2019",28.42,31.48,28.24,31.23,30.40,"8,045,900"
"Sep 02, 2019",120.00,120.37,26.33,28.16,26.87,"8,824,300"
"Aug 26, 2019",115.52,121.79,113.87,121.09,115.54,"5,847,600"
"Aug 19, 2019",119.63,119.77,114.49,114.96,109.69,"4,727,500"
"Aug 12, 2019",118.94,120.86,115.54,117.88,112.47,"5,458,100"
"Aug 05, 2019",119.17,121.27,116.92,119.39,113.91,"6,403,900"
"Jul 29, 2019",122.51,127.20,119.91,120.88,115.34,"8,529,100"
"Jul 22, 2019",123.47,125.02,121.73,122.58,116.96,"6,715,900"
"Jul 15, 2019",127.08,128.31,124.01,124.70,118.98,"5,696,000"
"Jul 08, 2019",124.53,126.81,123.26,126.62,120.81,"7,061,500"
"Jul 01, 2019",127.63,128.00,122.97,124.81,119.09,"4,696,600"
"Jun 24, 2019",125.84,127.05,123.88,126.67,120.86,"7,710,800"
"Jun 17, 2019",124.86,126.56,122.54,125.16,119.42,"6,775,800"
"Jun 10, 2019",125.94,127.08,122.67,124.68,118.96,"7,534,300"
"Jun 03, 2019",118.79,125.95,118.79,125.35,119.09,"6,038,100"
"May 27, 2019",120.19,120.58,117.50,118.34,112.43,"6,542,100"
"May 20, 2019",120.27,123.77,119.70,120.19,114.19,"5,811,400"
"May 13, 2019",119.79,122.66,119.07,120.82,114.79,"5,165,300"
"May 06, 2019",122.43,123.53,119.57,122.81,116.68,"7,605,300"
"Apr 29, 2019",118.30,125.26,118.05,124.69,118.46,"14,271,100"
"Apr 22, 2019",112.52,114.26,111.57,113.11,107.46,"5,591,500"
