Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",9.90,9.97,8.50,9.07,9.07,"29,324,500"
"Apr 06, 2020",8.46,10.36,8.30,9.86,9.86,"27,544,500"
"Mar 30, 2020",9.31,9.66,7.67,7.81,7.81,"40,476,600"
"Mar 23, 2020",8.25,10.00,7.38,9.37,9.37,"43,868,000"
"Mar 16, 2020",8.84,11.16,8.17,8.55,8.55,"48,969,100"
"Mar 09, 2020",11.82,12.47,9.01,10.80,10.80,"45,712,100"
"Mar 02, 2020",14.47,15.10,12.64,13.12,13.12,"40,144,600"
"Feb 24, 2020",16.80,16.93,13.80,14.40,14.40,"40,005,800"
"Feb 17, 2020",17.85,18.23,17.37,17.48,17.48,"17,701,800"
"Feb 10, 2020",18.11,19.01,17.72,17.78,17.49,"19,862,800"
"Feb 03, 2020",17.42,18.65,17.28,18.22,17.92,"19,034,900"
"Jan 27, 2020",17.67,18.18,17.18,17.30,17.02,"28,711,200"
"Jan 20, 2020",18.23,18.55,17.99,18.17,17.87,"15,539,100"
"Jan 13, 2020",17.75,18.54,17.63,18.32,18.02,"24,083,200"
"Jan 06, 2020",17.50,18.06,17.42,17.70,17.41,"18,767,500"
"Dec 30, 2019",17.92,18.14,17.42,17.67,17.38,"16,652,100"
"Dec 23, 2019",18.07,18.35,17.77,17.83,17.54,"9,381,700"
"Dec 16, 2019",17.85,18.62,17.79,17.98,17.68,"35,429,300"
"Dec 09, 2019",16.79,18.33,16.55,17.62,17.33,"33,687,700"
"Dec 02, 2019",17.61,17.89,16.39,16.79,16.51,"24,979,000"
"Nov 25, 2019",17.33,17.78,17.23,17.56,17.27,"11,988,700"
"Nov 18, 2019",17.30,17.57,17.04,17.33,17.05,"15,939,500"
"Nov 11, 2019",17.64,18.29,17.19,17.45,17.16,"17,601,900"
"Nov 04, 2019",17.44,18.40,17.39,17.82,17.23,"23,364,800"
"Oct 28, 2019",17.10,17.40,16.55,17.21,16.64,"19,647,100"
"Oct 21, 2019",16.16,17.40,15.91,17.05,16.48,"36,199,900"
"Oct 14, 2019",15.70,16.11,15.47,15.89,15.36,"25,998,400"
"Oct 07, 2019",15.78,16.14,15.24,15.84,15.31,"22,757,900"
"Sep 30, 2019",17.10,17.19,15.29,15.89,15.36,"24,834,100"
"Sep 23, 2019",16.62,17.24,16.55,17.02,16.46,"19,894,200"
"Sep 16, 2019",17.19,17.43,16.79,16.87,16.31,"25,615,900"
"Sep 09, 2019",16.15,17.59,16.13,17.40,16.82,"31,195,700"
"Sep 02, 2019",15.53,16.28,15.30,15.98,15.45,"18,507,300"
"Aug 26, 2019",15.80,15.89,15.16,15.70,15.18,"29,816,500"
"Aug 19, 2019",15.92,16.04,15.43,15.62,15.10,"23,880,600"
"Aug 12, 2019",16.13,16.52,15.15,15.65,14.84,"28,650,100"
"Aug 05, 2019",17.42,17.52,16.19,16.37,15.52,"32,045,900"
"Jul 29, 2019",19.56,19.60,17.70,17.84,16.92,"42,376,000"
"Jul 22, 2019",19.77,20.33,19.09,19.61,18.60,"31,674,200"
"Jul 15, 2019",20.15,20.43,19.28,19.77,18.75,"21,476,000"
"Jul 08, 2019",20.77,20.93,19.67,20.13,19.09,"24,093,600"
"Jul 01, 2019",20.77,21.10,20.26,20.97,19.89,"21,397,600"
"Jun 24, 2019",20.60,20.93,19.92,20.46,19.40,"22,784,100"
"Jun 17, 2019",20.62,20.95,20.08,20.59,19.52,"20,500,200"
"Jun 10, 2019",20.75,21.03,20.24,20.64,19.57,"20,139,900"
"Jun 03, 2019",19.46,20.85,19.44,20.58,19.52,"25,673,200"
"May 27, 2019",20.30,20.68,19.45,19.54,18.53,"27,210,500"
"May 20, 2019",20.25,21.01,20.09,20.42,19.36,"17,946,600"
"May 13, 2019",20.65,20.95,19.81,20.44,19.38,"18,649,800"
"May 06, 2019",21.50,21.75,20.37,21.34,19.94,"22,956,700"
"Apr 29, 2019",21.81,22.13,20.98,21.92,20.48,"21,284,000"
"Apr 22, 2019",21.47,22.18,21.34,21.77,20.34,"21,761,800"
"Apr 15, 2019",21.28,21.70,21.00,21.53,20.12,"13,476,100"
"Apr 08, 2019",20.48,21.40,20.25,21.32,19.92,"18,929,300"
"Apr 01, 2019",19.57,20.50,19.50,20.49,19.15,"22,728,300"
"Mar 25, 2019",19.11,19.60,18.65,19.31,18.04,"18,769,800"
"Mar 18, 2019",19.91,20.49,18.85,19.06,17.81,"19,712,600"
"Mar 11, 2019",18.84,19.82,18.77,19.78,18.48,"25,359,600"
"Mar 04, 2019",19.52,19.90,18.34,18.64,17.42,"22,759,600"
"Feb 25, 2019",19.18,19.94,18.86,19.51,18.23,"21,830,000"
"Feb 18, 2019",18.74,19.15,18.62,19.05,17.80,"14,128,100"
"Feb 11, 2019",18.14,18.89,17.93,18.86,17.34,"21,114,200"
"Feb 04, 2019",18.44,18.89,17.70,18.00,16.55,"20,451,000"
"Jan 28, 2019",18.93,19.50,18.03,18.36,16.88,"33,447,000"
"Jan 21, 2019",18.79,19.18,18.38,19.02,17.49,"18,946,300"
"Jan 14, 2019",17.29,19.00,17.13,18.84,17.32,"22,621,200"
"Jan 07, 2019",17.19,17.82,17.01,17.38,15.98,"22,965,800"
"Dec 31, 2018",16.53,17.34,16.32,17.26,15.87,"20,065,000"
"Dec 24, 2018",16.01,16.96,15.38,16.55,15.22,"18,823,500"
"Dec 17, 2018",16.94,17.55,15.98,16.00,14.71,"34,932,900"
"Dec 10, 2018",18.37,18.54,16.86,16.95,15.58,"28,192,900"
"Dec 03, 2018",20.56,20.88,18.39,18.52,17.03,"30,307,300"
"Nov 26, 2018",20.58,20.99,20.00,20.35,18.71,"23,549,600"
"Nov 19, 2018",20.10,20.50,19.80,20.26,18.63,"20,403,800"
"Nov 12, 2018",20.75,20.94,19.28,20.07,18.45,"41,585,500"
"Nov 05, 2018",21.69,22.07,20.60,20.88,18.93,"24,854,300"
"Oct 29, 2018",21.36,22.45,21.02,21.62,19.60,"29,948,200"
"Oct 22, 2018",22.00,22.07,20.62,21.05,19.09,"33,063,900"
"Oct 15, 2018",19.92,22.79,19.72,21.98,19.93,"46,456,400"
"Oct 08, 2018",22.97,23.08,19.66,19.94,18.08,"44,452,200"
"Oct 01, 2018",22.87,23.55,22.77,23.24,21.07,"19,001,500"
"Sep 24, 2018",24.25,24.48,22.69,22.88,20.74,"24,159,100"
"Sep 17, 2018",23.90,24.88,23.55,24.31,22.04,"24,605,500"
"Sep 10, 2018",24.20,24.55,23.25,23.75,21.53,"21,005,400"
"Sep 03, 2018",24.07,24.72,23.74,24.05,21.81,"15,845,300"
"Aug 27, 2018",24.28,24.96,23.89,24.10,21.85,"15,484,100"
"Aug 20, 2018",24.58,24.99,24.12,24.14,21.89,"18,477,100"
"Aug 13, 2018",24.67,25.08,24.13,24.48,21.93,"19,256,400"
"Aug 06, 2018",25.22,25.82,24.31,24.70,22.13,"21,421,200"
"Jul 30, 2018",26.01,27.59,24.76,25.15,22.53,"30,915,200"
"Jul 23, 2018",25.50,26.49,25.19,25.97,23.26,"22,047,100"
"Jul 16, 2018",25.62,26.16,25.34,25.46,22.81,"16,876,400"
"Jul 09, 2018",26.58,27.26,25.52,25.62,22.95,"18,159,500"
