Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",21.66,22.62,21.36,22.57,22.57,"15,531,800"
"Apr 06, 2020",20.68,22.52,20.41,21.67,21.67,"15,446,600"
"Mar 30, 2020",20.04,20.36,18.45,20.11,20.11,"21,955,000"
"Mar 23, 2020",17.58,20.53,16.87,19.94,19.94,"23,233,200"
"Mar 16, 2020",16.79,19.82,15.20,17.64,17.64,"29,890,500"
"Mar 09, 2020",20.37,21.38,17.79,20.30,20.30,"25,832,700"
"Mar 02, 2020",21.24,22.67,20.85,21.38,21.38,"21,362,700"
"Feb 24, 2020",23.67,23.71,20.71,21.22,21.02,"26,469,900"
"Feb 17, 2020",24.12,24.49,23.87,24.14,23.92,"11,830,900"
"Feb 10, 2020",23.67,24.97,23.63,24.24,24.02,"24,683,000"
"Feb 03, 2020",22.89,23.88,22.83,23.76,23.54,"26,433,200"
"Jan 27, 2020",24.21,24.68,22.38,22.94,22.73,"34,268,600"
"Jan 20, 2020",24.63,24.76,24.09,24.58,24.35,"11,230,600"
"Jan 13, 2020",24.29,25.00,24.15,24.70,24.47,"11,146,400"
"Jan 06, 2020",24.16,24.41,24.02,24.16,23.94,"12,257,100"
"Dec 30, 2019",24.42,24.90,24.17,24.34,24.12,"10,386,000"
"Dec 23, 2019",24.39,24.61,24.27,24.41,24.19,"8,766,100"
"Dec 16, 2019",24.27,24.57,24.02,24.50,24.27,"22,551,400"
"Dec 09, 2019",24.06,24.60,23.66,24.13,23.91,"17,626,800"
"Dec 02, 2019",25.07,25.12,23.92,23.97,23.75,"20,071,800"
"Nov 25, 2019",25.52,25.90,25.03,25.06,24.64,"16,036,300"
"Nov 18, 2019",25.51,26.30,25.25,25.46,25.04,"22,133,100"
"Nov 11, 2019",25.85,26.44,24.76,25.51,25.09,"22,550,600"
"Nov 04, 2019",24.70,26.21,24.61,26.17,25.73,"22,855,900"
"Oct 28, 2019",25.42,25.72,24.28,24.49,24.08,"19,617,800"
"Oct 21, 2019",24.13,26.14,24.09,25.23,24.81,"20,726,100"
"Oct 14, 2019",23.58,24.02,23.39,23.90,23.50,"11,444,000"
"Oct 07, 2019",23.81,24.00,23.15,23.69,23.30,"12,557,200"
"Sep 30, 2019",24.91,24.98,22.96,23.83,23.43,"13,312,900"
"Sep 23, 2019",24.25,25.00,23.98,24.87,24.46,"15,415,300"
"Sep 16, 2019",24.10,24.64,23.66,23.85,23.45,"14,987,900"
"Sep 09, 2019",24.30,24.72,24.00,24.27,23.87,"17,030,800"
"Sep 02, 2019",22.74,24.19,22.51,24.17,23.57,"13,883,700"
"Aug 26, 2019",23.31,23.39,22.42,23.16,22.59,"12,716,700"
"Aug 19, 2019",24.23,24.34,23.00,23.08,22.51,"14,114,800"
"Aug 12, 2019",25.19,25.97,23.34,23.92,23.33,"17,066,800"
"Aug 05, 2019",25.39,25.75,24.72,25.34,24.71,"15,667,300"
"Jul 29, 2019",26.58,27.32,25.79,25.95,25.31,"15,166,400"
"Jul 22, 2019",27.07,27.39,26.36,26.68,26.02,"19,785,800"
"Jul 15, 2019",27.03,27.57,26.75,27.02,26.35,"13,047,900"
"Jul 08, 2019",26.17,27.09,26.08,26.98,26.31,"17,051,600"
"Jul 01, 2019",27.03,27.39,26.84,27.36,26.68,"9,047,500"
"Jun 24, 2019",26.92,27.15,26.31,26.63,25.97,"14,352,900"
"Jun 17, 2019",26.58,27.25,26.13,26.81,26.15,"24,015,400"
"Jun 10, 2019",26.86,27.37,26.46,26.64,25.98,"12,781,600"
"Jun 03, 2019",24.63,26.88,24.55,26.74,26.08,"19,225,300"
"May 27, 2019",25.25,25.49,24.51,24.61,23.82,"12,156,100"
"May 20, 2019",25.02,26.17,24.93,25.19,24.38,"15,839,500"
"May 13, 2019",25.82,26.13,25.15,25.18,24.37,"20,544,100"
"May 06, 2019",27.10,27.30,25.87,26.41,25.56,"16,915,400"
"Apr 29, 2019",27.17,28.21,27.15,27.65,26.76,"18,389,300"
"Apr 22, 2019",27.99,28.77,27.18,27.24,26.37,"23,799,400"
"Apr 15, 2019",27.84,28.13,27.48,28.01,27.11,"10,776,400"
"Apr 08, 2019",27.04,27.82,26.83,27.80,26.91,"10,673,600"
"Apr 01, 2019",26.82,27.48,26.68,27.03,26.16,"16,150,100"
"Mar 25, 2019",26.22,26.51,25.18,26.47,25.62,"11,673,800"
"Mar 18, 2019",26.55,26.90,25.97,26.32,25.48,"19,883,900"
"Mar 11, 2019",25.78,27.07,25.78,26.84,25.98,"22,870,600"
"Mar 04, 2019",27.11,27.31,25.63,25.69,24.87,"17,314,900"
"Feb 25, 2019",27.71,27.81,26.95,27.03,25.98,"16,716,200"
"Feb 18, 2019",27.04,27.62,26.93,27.61,26.54,"14,278,900"
"Feb 11, 2019",26.22,27.26,26.07,27.12,26.07,"15,962,500"
"Feb 04, 2019",25.74,26.19,25.64,26.09,25.08,"20,360,900"
"Jan 28, 2019",27.95,28.35,24.82,25.81,24.81,"33,903,600"
"Jan 21, 2019",28.21,28.61,27.63,28.38,27.28,"10,252,500"
"Jan 14, 2019",27.92,28.62,27.58,28.32,27.22,"12,999,300"
"Jan 07, 2019",27.06,28.34,26.99,28.13,27.04,"12,427,400"
"Dec 31, 2018",26.90,27.11,25.88,27.00,25.95,"12,468,500"
"Dec 24, 2018",26.11,27.11,25.30,26.75,25.71,"11,998,100"
"Dec 17, 2018",27.59,28.20,26.13,26.23,25.21,"29,435,200"
"Dec 10, 2018",27.65,28.65,27.21,27.77,26.69,"22,981,500"
"Dec 03, 2018",29.20,29.32,27.40,27.66,26.42,"11,636,000"
"Nov 26, 2018",27.75,29.47,27.36,28.71,27.43,"22,978,500"
"Nov 19, 2018",28.56,28.56,27.11,27.52,26.29,"10,903,200"
"Nov 12, 2018",28.88,29.30,27.95,28.59,27.31,"22,474,900"
"Nov 05, 2018",29.82,30.80,29.10,29.12,27.82,"27,279,400"
"Oct 29, 2018",28.51,30.07,27.73,29.77,28.44,"21,464,800"
"Oct 22, 2018",28.66,29.02,27.10,28.14,26.88,"38,020,900"
"Oct 15, 2018",27.32,29.22,27.27,28.41,27.14,"20,711,300"
"Oct 08, 2018",29.03,29.16,26.76,27.32,26.10,"16,724,800"
"Oct 01, 2018",30.04,30.23,28.95,29.14,27.84,"16,781,300"
"Sep 24, 2018",29.70,30.19,29.46,29.97,28.63,"20,983,400"
"Sep 17, 2018",27.95,29.92,27.86,29.77,28.44,"31,329,600"
"Sep 10, 2018",27.57,28.33,27.36,27.87,26.63,"20,898,900"
"Sep 03, 2018",28.34,28.42,27.41,27.51,26.28,"17,378,000"
"Aug 27, 2018",28.66,29.01,28.13,28.43,26.99,"18,299,200"
"Aug 20, 2018",27.79,28.74,27.79,28.58,27.13,"15,954,800"
"Aug 13, 2018",26.93,27.78,26.59,27.74,26.34,"17,901,800"
"Aug 06, 2018",26.29,27.09,26.11,26.89,25.53,"13,374,700"
"Jul 30, 2018",26.76,26.79,25.52,26.34,25.01,"21,993,400"
"Jul 23, 2018",28.05,28.55,25.00,26.18,24.85,"32,579,200"
"Jul 16, 2018",27.86,28.35,27.71,27.97,26.55,"16,675,300"
"Jul 09, 2018",28.20,28.69,27.40,27.86,26.45,"22,800,000"
