Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",10.80,11.10,8.41,8.92,8.92,"31,624,300"
"Apr 06, 2020",8.55,11.24,8.14,10.82,10.82,"37,615,400"
"Mar 30, 2020",10.36,10.47,7.45,7.77,7.55,"46,744,900"
"Mar 23, 2020",10.52,12.07,9.12,10.40,10.10,"39,104,200"
"Mar 16, 2020",12.31,12.41,9.01,10.63,10.32,"48,577,900"
"Mar 09, 2020",16.42,16.52,10.00,13.22,12.84,"37,650,400"
"Mar 02, 2020",17.39,18.39,16.92,17.33,16.83,"27,329,000"
"Feb 24, 2020",18.91,19.09,16.79,17.35,16.85,"27,161,000"
"Feb 17, 2020",19.25,19.29,18.46,19.07,18.52,"11,915,500"
"Feb 10, 2020",19.83,19.84,18.56,19.26,18.70,"21,210,800"
"Feb 03, 2020",19.11,19.90,18.99,19.62,19.05,"19,098,900"
"Jan 27, 2020",20.26,20.41,18.91,19.05,18.50,"26,332,000"
"Jan 20, 2020",20.30,20.56,20.19,20.35,19.76,"10,241,800"
"Jan 13, 2020",19.40,20.45,19.40,20.27,19.68,"19,087,700"
"Jan 06, 2020",19.79,20.19,19.14,19.40,18.84,"17,183,800"
"Dec 30, 2019",20.67,20.83,19.49,19.81,18.98,"15,946,100"
"Dec 23, 2019",20.58,20.77,20.30,20.76,19.89,"7,385,100"
"Dec 16, 2019",20.35,20.67,20.06,20.53,19.67,"24,856,300"
"Dec 09, 2019",21.22,21.32,20.11,20.31,19.46,"18,390,400"
"Dec 02, 2019",21.58,21.59,21.02,21.18,20.29,"19,723,200"
"Nov 25, 2019",21.49,21.77,21.37,21.62,20.71,"15,300,900"
"Nov 18, 2019",21.56,21.86,21.06,21.30,20.40,"16,991,900"
"Nov 11, 2019",20.83,21.63,20.66,21.53,20.62,"19,146,000"
"Nov 04, 2019",21.66,21.70,20.80,20.85,19.97,"13,968,700"
"Oct 28, 2019",21.17,21.82,20.92,21.73,20.82,"18,606,500"
"Oct 21, 2019",20.95,21.48,20.88,21.15,20.26,"19,844,600"
"Oct 14, 2019",20.76,20.93,20.54,20.92,20.04,"13,643,900"
"Oct 07, 2019",20.44,20.94,20.41,20.74,19.87,"16,865,800"
"Sep 30, 2019",20.86,20.95,20.16,20.50,19.37,"21,595,700"
"Sep 23, 2019",20.09,20.86,20.08,20.85,19.71,"17,521,600"
"Sep 16, 2019",20.17,20.38,19.90,20.27,19.16,"17,336,800"
"Sep 09, 2019",19.34,20.45,19.24,20.12,19.02,"30,750,700"
"Sep 02, 2019",18.36,19.38,18.26,19.35,18.29,"17,925,100"
"Aug 26, 2019",18.30,18.61,18.03,18.38,17.37,"17,435,200"
"Aug 19, 2019",18.75,18.99,18.12,18.15,17.15,"17,077,200"
"Aug 12, 2019",18.93,19.15,18.32,18.67,17.65,"16,125,300"
"Aug 05, 2019",18.97,19.16,18.43,18.95,17.91,"20,333,900"
"Jul 29, 2019",18.75,19.43,18.70,19.06,18.01,"18,435,100"
"Jul 22, 2019",17.90,18.88,17.76,18.74,17.71,"22,866,500"
"Jul 15, 2019",18.40,18.56,17.86,17.89,16.91,"13,462,100"
"Jul 08, 2019",18.45,18.85,18.32,18.40,17.39,"12,146,600"
"Jul 01, 2019",18.31,18.48,17.56,18.45,17.17,"14,449,700"
"Jun 24, 2019",18.97,19.04,18.10,18.48,17.20,"16,801,500"
"Jun 17, 2019",18.85,19.29,18.76,18.90,17.59,"17,598,300"
"Jun 10, 2019",18.37,18.89,18.11,18.73,17.43,"18,145,100"
"Jun 03, 2019",17.45,18.52,17.26,18.33,17.06,"20,236,900"
"May 27, 2019",18.16,18.21,17.09,17.40,16.20,"19,347,900"
"May 20, 2019",18.10,18.30,17.88,18.18,16.92,"22,778,800"
"May 13, 2019",18.15,18.34,17.93,18.09,16.84,"19,038,000"
"May 06, 2019",18.08,18.43,17.76,18.34,17.07,"16,045,300"
"Apr 29, 2019",17.73,18.31,17.14,18.20,16.94,"21,808,400"
"Apr 22, 2019",17.50,17.89,16.88,17.81,16.58,"16,451,800"
"Apr 15, 2019",18.28,18.30,17.13,17.53,16.32,"15,422,800"
"Apr 08, 2019",18.40,18.56,18.04,18.24,16.98,"15,995,400"
"Apr 01, 2019",18.14,18.46,17.94,18.45,16.91,"14,224,300"
"Mar 25, 2019",18.15,18.64,17.93,18.50,16.96,"13,373,400"
"Mar 18, 2019",17.71,18.41,17.42,18.13,16.62,"15,335,200"
"Mar 11, 2019",17.39,18.01,17.27,17.66,16.19,"18,697,700"
"Mar 04, 2019",17.34,17.57,17.04,17.32,15.88,"17,678,200"
"Feb 25, 2019",17.77,17.83,17.02,17.33,15.89,"18,702,400"
"Feb 18, 2019",17.74,17.92,17.29,17.73,16.25,"13,047,500"
"Feb 11, 2019",17.80,17.94,17.57,17.76,16.28,"16,459,400"
"Feb 04, 2019",17.12,17.86,16.91,17.83,16.34,"18,888,300"
"Jan 28, 2019",16.65,17.50,16.56,17.16,15.73,"32,874,500"
"Jan 21, 2019",16.56,16.70,16.21,16.70,15.31,"14,631,400"
"Jan 14, 2019",15.86,16.63,15.77,16.55,15.17,"25,392,600"
"Jan 07, 2019",14.86,15.96,14.86,15.87,14.55,"18,364,400"
"Dec 31, 2018",14.78,14.99,14.32,14.82,13.33,"14,490,200"
"Dec 24, 2018",14.53,15.28,14.29,15.00,13.49,"15,657,700"
"Dec 17, 2018",16.44,16.45,14.54,14.72,13.24,"24,065,400"
"Dec 10, 2018",16.93,16.97,16.25,16.45,14.80,"18,676,100"
"Dec 03, 2018",16.46,17.11,16.02,16.93,15.23,"26,114,000"
"Nov 26, 2018",15.55,16.38,15.39,16.35,14.71,"20,598,300"
"Nov 19, 2018",15.72,15.94,15.33,15.43,13.88,"10,877,300"
"Nov 12, 2018",16.33,16.50,15.36,15.71,14.13,"15,087,200"
"Nov 05, 2018",15.67,16.43,15.65,16.28,14.65,"11,974,200"
"Oct 29, 2018",15.69,16.45,15.31,15.64,14.07,"22,521,600"
"Oct 22, 2018",15.17,15.97,14.68,15.56,14.00,"24,293,500"
"Oct 15, 2018",14.80,15.35,14.79,15.13,13.61,"19,620,100"
"Oct 08, 2018",15.92,16.19,14.78,14.81,13.32,"31,880,300"
"Oct 01, 2018",16.52,16.58,15.53,15.88,14.05,"14,729,800"
"Sep 24, 2018",16.83,16.87,16.36,16.74,14.81,"12,651,800"
"Sep 17, 2018",16.69,17.11,16.47,16.83,14.89,"14,566,300"
"Sep 10, 2018",17.59,17.66,16.56,16.69,14.76,"14,530,300"
"Sep 03, 2018",17.11,17.57,16.78,17.47,15.45,"17,871,300"
"Aug 27, 2018",17.07,17.28,16.91,17.11,15.13,"11,399,300"
"Aug 20, 2018",17.05,17.54,16.92,17.13,15.15,"12,436,800"
"Aug 13, 2018",16.27,17.01,16.01,16.99,15.03,"15,799,700"
"Aug 06, 2018",17.09,17.16,16.19,16.27,14.39,"19,920,400"
"Jul 30, 2018",16.05,17.14,15.97,17.09,15.12,"18,019,300"
"Jul 23, 2018",16.64,17.34,15.95,16.02,14.17,"20,231,500"
"Jul 16, 2018",16.47,16.89,16.25,16.65,14.73,"15,820,500"
"Jul 09, 2018",16.92,16.95,16.31,16.54,14.63,"15,801,600"
