Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",39.41,39.41,32.99,36.14,36.14,"6,728,600"
"Apr 06, 2020",34.52,40.47,34.24,39.42,39.42,"5,194,800"
"Mar 30, 2020",33.72,35.57,31.87,32.70,32.70,"7,376,900"
"Mar 23, 2020",31.24,35.70,28.52,33.70,33.70,"8,411,000"
"Mar 16, 2020",32.59,38.23,30.87,31.26,31.26,"14,165,100"
"Mar 09, 2020",41.25,43.24,33.18,37.01,37.01,"11,819,700"
"Mar 02, 2020",45.67,49.05,43.21,44.18,44.18,"8,149,400"
"Feb 24, 2020",52.31,52.84,43.97,45.63,45.58,"9,212,500"
"Feb 17, 2020",53.96,54.12,53.14,53.63,53.57,"3,233,200"
"Feb 10, 2020",56.88,56.88,53.59,54.19,54.13,"4,716,800"
"Feb 03, 2020",51.71,53.98,51.64,53.25,53.19,"4,482,000"
"Jan 27, 2020",50.42,52.47,50.25,51.45,51.39,"4,171,400"
"Jan 20, 2020",52.22,52.36,50.80,51.35,51.29,"3,900,100"
"Jan 13, 2020",52.07,52.67,51.61,52.39,52.33,"4,276,300"
"Jan 06, 2020",52.38,52.93,51.80,52.07,52.01,"3,806,600"
"Dec 30, 2019",52.15,53.00,51.86,52.76,52.70,"3,465,800"
"Dec 23, 2019",51.54,52.18,51.28,51.89,51.83,"2,456,100"
"Dec 16, 2019",50.99,51.92,50.82,51.66,51.60,"6,290,800"
"Dec 09, 2019",50.08,51.36,49.89,50.61,50.55,"5,314,300"
"Dec 02, 2019",50.97,50.97,48.32,50.16,50.10,"5,929,700"
"Nov 25, 2019",50.66,51.24,50.51,50.90,50.78,"3,573,100"
"Nov 18, 2019",50.00,50.90,49.86,50.65,50.53,"3,697,100"
"Nov 11, 2019",50.64,50.84,49.89,50.16,50.04,"3,745,100"
"Nov 04, 2019",50.14,51.49,49.66,51.00,50.88,"4,585,600"
"Oct 28, 2019",50.37,51.24,48.37,49.79,49.67,"6,796,100"
"Oct 21, 2019",51.33,51.52,50.66,51.00,50.88,"3,558,000"
"Oct 14, 2019",50.15,51.50,50.14,50.96,50.84,"3,316,000"
"Oct 07, 2019",49.94,50.93,48.69,50.48,50.36,"3,784,500"
"Sep 30, 2019",51.58,51.77,48.40,49.99,49.87,"4,739,200"
"Sep 23, 2019",50.61,52.31,50.51,51.51,51.39,"4,525,500"
"Sep 16, 2019",50.65,51.57,50.37,50.97,50.85,"5,854,900"
"Sep 09, 2019",49.57,50.97,49.18,50.80,50.68,"4,241,600"
"Sep 02, 2019",47.68,49.62,47.63,49.28,49.16,"3,641,500"
"Aug 26, 2019",47.50,48.44,47.17,48.07,47.89,"5,636,400"
"Aug 19, 2019",49.45,49.60,46.97,47.24,47.06,"5,960,600"
"Aug 12, 2019",50.56,50.77,47.98,48.85,48.67,"5,141,200"
"Aug 05, 2019",52.66,52.66,49.97,50.97,50.78,"5,771,800"
"Jul 29, 2019",54.86,54.86,52.16,52.51,52.31,"4,925,300"
"Jul 22, 2019",53.80,54.95,53.71,54.84,54.64,"3,466,600"
"Jul 15, 2019",55.52,55.52,53.81,53.84,53.64,"4,222,300"
"Jul 08, 2019",55.62,56.03,54.93,55.38,55.17,"4,560,600"
"Jul 01, 2019",54.85,56.20,54.82,55.69,55.48,"3,989,900"
"Jun 24, 2019",54.15,54.74,53.38,54.67,54.47,"6,383,400"
"Jun 17, 2019",53.70,54.30,52.87,54.07,53.87,"6,204,600"
"Jun 10, 2019",54.05,54.30,53.09,53.54,53.34,"3,859,300"
"Jun 03, 2019",51.40,54.14,51.13,53.84,53.64,"5,982,700"
"May 27, 2019",52.19,52.19,50.68,51.36,51.11,"5,321,100"
"May 20, 2019",51.70,52.62,51.53,52.22,51.96,"5,439,700"
"May 13, 2019",50.59,52.33,49.93,51.78,51.53,"6,776,900"
"May 06, 2019",50.23,51.43,49.86,51.37,51.12,"5,983,100"
"Apr 29, 2019",51.00,51.45,49.85,50.84,50.59,"7,327,400"
"Apr 22, 2019",48.78,50.18,48.60,50.18,49.93,"3,842,500"
"Apr 15, 2019",49.20,49.85,48.76,48.82,48.58,"3,854,000"
"Apr 08, 2019",48.63,49.84,48.08,49.28,49.04,"4,074,500"
"Apr 01, 2019",48.20,48.80,47.95,48.60,48.36,"3,883,800"
"Mar 25, 2019",47.25,48.22,47.02,47.93,47.69,"4,466,300"
"Mar 18, 2019",47.93,48.94,47.12,47.33,47.10,"5,425,700"
"Mar 11, 2019",47.15,48.20,46.97,47.78,47.55,"6,541,400"
"Mar 04, 2019",48.07,48.59,46.39,46.88,46.65,"5,336,800"
"Feb 25, 2019",47.99,48.44,47.31,47.90,47.60,"6,259,100"
"Feb 18, 2019",46.85,47.95,46.50,47.79,47.49,"4,893,800"
"Feb 11, 2019",46.19,47.22,44.17,46.70,46.41,"11,694,400"
"Feb 04, 2019",47.94,48.12,46.97,47.47,47.18,"3,613,100"
"Jan 28, 2019",47.47,48.25,47.20,48.05,47.75,"4,448,200"
"Jan 21, 2019",47.32,48.11,46.68,47.79,47.49,"3,391,000"
"Jan 14, 2019",46.30,47.56,46.09,47.53,47.23,"6,088,000"
"Jan 07, 2019",45.52,46.63,45.34,46.58,46.29,"5,780,700"
"Dec 31, 2018",45.10,45.92,44.44,45.65,45.37,"4,161,200"
"Dec 24, 2018",43.61,45.60,42.06,44.91,44.63,"3,890,100"
"Dec 17, 2018",44.98,46.29,43.85,43.87,43.60,"7,989,300"
"Dec 10, 2018",45.83,46.05,44.46,45.07,44.79,"5,578,300"
"Dec 03, 2018",48.59,48.74,45.35,45.78,45.50,"6,377,500"
"Nov 26, 2018",47.39,48.73,47.04,48.06,47.70,"6,101,300"
"Nov 19, 2018",48.52,48.92,46.73,46.97,46.62,"3,726,600"
"Nov 12, 2018",49.57,49.67,46.81,48.50,48.14,"5,367,600"
"Nov 05, 2018",46.25,50.01,46.11,49.59,49.22,"7,149,500"
"Oct 29, 2018",45.61,47.72,44.89,46.29,45.94,"7,784,400"
"Oct 22, 2018",47.00,47.31,44.78,45.20,44.86,"7,514,800"
"Oct 15, 2018",46.74,47.77,46.41,47.00,46.65,"5,994,600"
"Oct 08, 2018",49.89,51.07,46.01,46.80,46.45,"8,760,900"
"Oct 01, 2018",50.38,50.69,49.88,49.93,49.56,"7,036,800"
"Sep 24, 2018",51.77,51.88,49.63,50.23,49.85,"6,385,000"
"Sep 17, 2018",51.12,52.35,50.49,51.76,51.37,"10,635,400"
"Sep 10, 2018",49.86,50.98,49.59,50.98,50.60,"5,575,100"
"Sep 03, 2018",50.34,50.53,49.39,49.66,49.29,"4,436,200"
"Aug 27, 2018",49.93,50.60,49.86,50.31,49.87,"5,166,600"
"Aug 20, 2018",50.24,50.52,49.34,49.83,49.39,"4,341,500"
"Aug 13, 2018",50.11,50.44,49.46,50.16,49.72,"4,130,400"
"Aug 06, 2018",51.15,51.23,49.69,50.11,49.67,"3,786,200"
"Jul 30, 2018",49.64,51.81,49.61,51.14,50.69,"8,421,100"
"Jul 23, 2018",49.62,50.36,49.50,49.77,49.34,"5,913,200"
"Jul 16, 2018",49.49,50.22,49.11,49.62,49.19,"3,901,500"
"Jul 09, 2018",49.15,50.24,49.05,49.49,49.06,"4,803,700"
