Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",22.41,22.44,19.72,20.94,20.94,"13,219,100"
"Apr 06, 2020",18.44,23.50,18.44,22.53,22.53,"10,441,800"
"Mar 30, 2020",21.57,21.74,17.09,17.35,17.35,"16,174,200"
"Mar 23, 2020",16.17,22.51,13.31,21.36,21.36,"22,112,100"
"Mar 16, 2020",23.00,23.66,14.00,16.30,16.30,"25,528,800"
"Mar 09, 2020",26.08,27.60,23.31,24.90,24.90,"18,676,600"
"Mar 02, 2020",29.57,30.15,27.16,27.52,27.52,"18,719,700"
"Feb 24, 2020",32.28,32.66,28.61,29.58,29.58,"14,858,300"
"Feb 17, 2020",33.20,34.22,32.20,33.04,33.04,"13,088,600"
"Feb 10, 2020",32.89,33.94,32.70,33.20,33.20,"5,977,100"
"Feb 03, 2020",33.10,34.25,32.47,32.93,32.93,"8,087,800"
"Jan 27, 2020",33.02,33.76,32.56,32.69,32.69,"6,087,400"
"Jan 20, 2020",34.58,34.59,33.52,33.61,33.61,"5,670,400"
"Jan 13, 2020",34.18,34.99,33.85,34.61,34.61,"8,576,300"
"Jan 06, 2020",35.19,35.38,34.02,34.09,34.09,"10,048,700"
"Dec 30, 2019",35.98,36.08,35.16,35.39,35.39,"5,365,400"
"Dec 23, 2019",36.04,36.17,35.59,35.87,35.87,"2,879,100"
"Dec 16, 2019",36.27,36.63,35.36,35.93,35.93,"14,867,500"
"Dec 09, 2019",35.86,36.38,35.39,36.11,36.11,"10,609,400"
"Dec 02, 2019",35.49,35.85,34.15,35.75,35.75,"12,563,300"
"Nov 25, 2019",35.25,35.96,34.97,35.28,35.28,"8,635,000"
"Nov 18, 2019",35.41,36.01,34.74,35.00,35.00,"14,533,600"
"Nov 11, 2019",34.94,36.21,34.76,35.55,35.55,"12,475,900"
"Nov 04, 2019",35.16,36.11,34.97,35.20,35.20,"10,002,800"
"Oct 28, 2019",31.79,35.15,31.25,35.14,35.14,"12,316,500"
"Oct 21, 2019",31.50,32.14,31.40,31.63,31.63,"6,557,000"
"Oct 14, 2019",30.79,31.46,30.60,31.25,31.25,"5,972,000"
"Oct 07, 2019",30.41,31.30,29.59,30.82,30.82,"9,148,300"
"Sep 30, 2019",31.35,31.86,29.37,30.51,30.51,"9,808,600"
"Sep 23, 2019",31.68,32.08,31.11,31.33,31.33,"9,597,700"
"Sep 16, 2019",32.36,32.79,31.49,31.79,31.79,"15,398,900"
"Sep 09, 2019",27.04,33.17,26.93,32.74,32.74,"19,676,900"
"Sep 02, 2019",26.04,27.23,25.45,26.90,26.90,"8,368,500"
"Aug 26, 2019",25.82,26.69,24.79,26.27,26.27,"12,223,800"
"Aug 19, 2019",26.62,26.83,25.32,25.46,25.46,"14,304,800"
"Aug 12, 2019",25.24,25.72,24.44,25.57,25.57,"10,884,000"
"Aug 05, 2019",25.11,26.07,24.77,25.44,25.44,"12,656,700"
"Jul 29, 2019",27.70,27.71,25.34,25.55,25.55,"14,724,800"
"Jul 22, 2019",24.89,28.17,24.56,27.73,27.73,"19,000,700"
"Jul 15, 2019",26.63,27.28,24.89,24.94,24.94,"15,078,000"
"Jul 08, 2019",26.50,26.87,25.72,26.82,26.82,"10,101,700"
"Jul 01, 2019",26.95,27.16,26.42,26.64,26.64,"9,395,400"
"Jun 24, 2019",26.57,26.71,26.00,26.61,26.61,"17,216,600"
"Jun 17, 2019",26.26,27.16,26.06,26.64,26.64,"10,357,300"
"Jun 10, 2019",26.67,27.09,25.99,26.24,26.24,"12,204,800"
"Jun 03, 2019",25.67,26.63,25.44,26.56,26.56,"13,584,000"
"May 27, 2019",26.55,26.68,25.39,25.65,25.65,"10,403,200"
"May 20, 2019",26.94,27.26,26.37,26.54,26.54,"11,873,500"
"May 13, 2019",26.84,27.53,26.52,27.10,27.10,"17,697,100"
"May 06, 2019",28.28,28.60,26.70,27.32,27.32,"18,724,000"
"Apr 29, 2019",30.13,30.41,28.60,28.79,28.79,"19,391,300"
"Apr 22, 2019",30.66,31.68,29.29,30.04,30.04,"15,132,200"
"Apr 15, 2019",30.88,31.38,30.61,30.78,30.78,"6,233,600"
"Apr 08, 2019",30.06,30.92,29.94,30.82,30.82,"7,819,500"
"Apr 01, 2019",28.63,30.07,28.63,30.05,30.05,"11,779,800"
"Mar 25, 2019",28.30,28.71,28.03,28.38,28.38,"11,216,100"
"Mar 18, 2019",27.94,29.16,27.64,28.36,28.36,"11,120,800"
"Mar 11, 2019",27.43,28.04,26.84,27.86,27.86,"18,957,500"
"Mar 04, 2019",28.45,29.00,27.24,27.35,27.35,"15,854,800"
"Feb 25, 2019",27.62,28.41,25.92,27.82,27.82,"18,762,200"
"Feb 18, 2019",27.04,27.52,26.84,27.33,27.33,"8,422,800"
"Feb 11, 2019",26.36,27.16,26.14,27.15,27.15,"11,193,100"
"Feb 04, 2019",26.43,27.46,25.97,26.23,26.23,"10,802,900"
"Jan 28, 2019",25.88,26.67,25.70,26.43,26.43,"10,517,800"
"Jan 21, 2019",26.06,26.59,25.44,26.08,26.08,"12,340,600"
"Jan 14, 2019",26.15,27.28,25.59,26.25,26.25,"17,400,800"
"Jan 07, 2019",23.74,26.47,23.65,26.32,26.32,"18,549,200"
"Dec 31, 2018",24.12,24.25,22.74,23.83,23.83,"15,816,600"
"Dec 24, 2018",23.45,24.76,23.14,23.96,23.96,"14,119,100"
"Dec 17, 2018",24.56,25.34,23.46,23.57,23.57,"24,717,400"
"Dec 10, 2018",25.70,26.22,24.46,24.60,24.60,"14,289,100"
"Dec 03, 2018",28.42,28.63,25.58,25.63,25.63,"11,245,300"
"Nov 26, 2018",27.64,28.14,27.14,27.84,27.84,"13,042,800"
"Nov 19, 2018",28.39,28.50,26.81,27.34,27.34,"8,430,100"
"Nov 12, 2018",27.69,28.61,27.02,28.40,28.40,"16,460,000"
"Nov 05, 2018",27.77,28.82,27.56,27.73,27.73,"13,738,100"
"Oct 29, 2018",26.90,28.16,26.23,27.77,27.77,"20,992,600"
"Oct 22, 2018",27.89,28.00,25.35,26.38,26.38,"22,941,000"
"Oct 15, 2018",28.43,29.60,27.70,27.76,27.76,"13,828,600"
"Oct 08, 2018",30.01,30.43,28.18,28.53,28.53,"19,602,200"
"Oct 01, 2018",31.90,31.96,29.88,30.04,30.04,"13,239,200"
"Sep 24, 2018",32.27,32.31,31.37,31.67,31.67,"11,555,200"
"Sep 17, 2018",32.64,33.22,31.81,32.39,32.39,"16,390,100"
"Sep 10, 2018",33.52,33.53,32.51,32.78,32.78,"10,593,700"
"Sep 03, 2018",34.32,34.55,33.15,33.28,33.28,"7,853,600"
"Aug 27, 2018",33.61,34.74,33.50,34.52,34.52,"9,782,400"
"Aug 20, 2018",33.12,33.76,32.64,33.61,33.61,"10,808,300"
"Aug 13, 2018",33.74,33.76,32.87,33.16,33.16,"11,163,900"
"Aug 06, 2018",33.38,34.45,33.07,33.75,33.75,"8,987,500"
"Jul 30, 2018",33.84,33.93,32.70,33.44,33.44,"14,493,700"
"Jul 23, 2018",33.82,36.10,32.94,33.95,33.95,"16,101,700"
"Jul 16, 2018",33.45,34.28,33.05,33.78,33.78,"8,163,100"
"Jul 09, 2018",32.64,33.50,32.46,33.46,33.46,"10,524,900"
"Jul 02, 2018",31.82,33.88,31.25,32.53,32.53,"6,293,100"
"Jun 25, 2018",32.85,32.87,31.37,31.90,31.90,"9,290,100"
"Jun 18, 2018",33.22,33.46,32.11,32.87,32.87,"14,096,500"
"Jun 11, 2018",32.64,33.46,32.59,33.45,33.45,"12,661,800"
"Jun 04, 2018",31.87,32.80,31.87,32.59,32.59,"12,117,100"
"May 28, 2018",30.50,32.71,30.21,31.93,31.93,"14,446,800"
"May 21, 2018",30.67,30.99,29.65,30.76,30.76,"10,419,500"
