Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",144.97,157.67,142.88,157.29,157.29,"16,935,800"
"Apr 06, 2020",142.27,147.25,140.05,145.73,145.73,"16,482,400"
"Mar 30, 2020",133.87,144.60,132.98,139.66,139.66,"24,653,600"
"Mar 23, 2020",120.95,137.61,117.06,134.11,134.11,"32,039,700"
"Mar 16, 2020",131.00,144.00,120.23,122.40,122.40,"37,931,800"
"Mar 09, 2020",134.02,141.93,125.93,139.37,139.37,"33,202,300"
"Mar 02, 2020",127.74,142.36,126.21,141.46,141.46,"34,487,000"
"Feb 24, 2020",139.28,141.59,121.51,126.13,126.13,"24,979,100"
"Feb 17, 2020",141.02,142.81,140.33,142.04,142.04,"12,258,900"
"Feb 10, 2020",141.50,145.86,140.57,141.12,140.39,"17,550,900"
"Feb 03, 2020",140.53,147.87,139.68,146.41,145.66,"18,331,600"
"Jan 27, 2020",137.34,143.72,137.34,139.64,138.92,"17,447,900"
"Jan 20, 2020",139.50,142.25,138.43,139.07,138.35,"13,913,600"
"Jan 13, 2020",138.20,141.97,137.89,139.58,138.86,"22,666,800"
"Jan 06, 2020",131.42,138.27,130.94,138.00,137.29,"18,440,200"
"Dec 30, 2019",131.52,132.47,130.23,131.77,131.09,"7,573,700"
"Dec 23, 2019",132.39,132.58,130.13,131.52,130.84,"7,122,500"
"Dec 16, 2019",123.07,137.00,122.06,132.43,131.75,"32,013,500"
"Dec 09, 2019",119.53,122.19,118.94,121.53,120.90,"15,669,100"
"Dec 02, 2019",117.52,120.71,115.92,119.64,119.02,"13,048,700"
"Nov 25, 2019",116.60,118.46,116.60,117.35,116.74,"10,686,300"
"Nov 18, 2019",113.02,116.68,112.86,116.20,115.60,"16,811,000"
"Nov 11, 2019",113.46,114.21,111.00,113.19,111.96,"14,778,500"
"Nov 04, 2019",113.24,114.63,110.51,113.53,112.30,"15,633,400"
"Oct 28, 2019",110.62,114.67,110.62,112.51,111.29,"16,334,200"
"Oct 21, 2019",108.87,111.46,101.36,110.20,109.00,"26,240,000"
"Oct 14, 2019",108.52,110.10,107.79,108.64,107.46,"9,641,900"
"Oct 07, 2019",108.31,109.14,105.95,108.36,107.18,"11,191,700"
"Sep 30, 2019",112.40,113.45,106.21,108.20,107.03,"14,804,200"
"Sep 23, 2019",116.00,116.54,110.69,112.37,111.15,"13,357,600"
"Sep 16, 2019",110.42,117.23,109.21,116.16,114.90,"18,747,000"
"Sep 09, 2019",114.52,114.52,106.40,110.89,109.69,"21,397,000"
"Sep 02, 2019",112.54,115.44,112.19,114.05,112.81,"14,417,300"
"Aug 26, 2019",110.61,114.17,109.79,112.97,111.74,"12,834,400"
"Aug 19, 2019",111.05,112.94,108.88,109.51,108.32,"12,895,900"
"Aug 12, 2019",112.90,116.14,109.21,110.52,108.71,"19,835,400"
"Aug 05, 2019",111.38,114.55,107.44,113.77,111.91,"22,091,500"
"Jul 29, 2019",108.07,113.27,107.00,112.42,110.58,"21,549,100"
"Jul 22, 2019",106.92,110.38,105.87,108.27,106.50,"19,822,700"
"Jul 15, 2019",108.30,109.65,106.58,106.79,105.04,"18,172,500"
"Jul 08, 2019",112.47,114.65,105.15,108.29,106.52,"22,856,200"
"Jul 01, 2019",111.31,115.47,110.64,112.82,110.97,"11,731,500"
"Jun 24, 2019",115.08,116.83,110.02,110.79,108.98,"21,932,700"
"Jun 17, 2019",111.64,117.07,111.34,115.49,113.60,"16,086,300"
"Jun 10, 2019",116.00,116.00,110.61,111.74,109.91,"29,312,800"
"Jun 03, 2019",116.53,118.94,116.04,118.35,116.41,"18,629,600"
"May 27, 2019",117.09,118.41,114.43,115.94,114.04,"19,414,200"
"May 20, 2019",115.87,118.39,115.00,116.79,114.88,"15,328,000"
"May 13, 2019",114.86,117.68,113.87,116.01,113.48,"18,701,300"
"May 06, 2019",115.82,117.08,114.22,116.22,113.68,"23,551,300"
"Apr 29, 2019",119.90,120.01,114.91,116.91,114.36,"26,901,900"
"Apr 22, 2019",115.04,119.92,113.65,119.87,117.25,"24,462,800"
"Apr 15, 2019",123.77,124.93,114.14,115.20,112.68,"35,771,100"
"Apr 08, 2019",126.50,128.12,123.02,123.06,120.37,"22,864,700"
"Apr 01, 2019",130.71,131.35,124.61,126.99,124.22,"22,968,400"
"Mar 25, 2019",128.61,132.13,128.41,129.76,126.93,"31,362,800"
"Mar 18, 2019",123.99,129.48,123.50,128.30,125.50,"58,336,400"
"Mar 11, 2019",122.80,130.75,121.96,123.94,121.23,"228,087,800"
"Mar 04, 2019",130.51,130.51,125.13,126.70,123.93,"298,289,100"
"Feb 25, 2019",124.10,129.42,123.32,128.84,126.03,"145,923,400"
"Feb 18, 2019",121.31,124.74,121.30,124.00,121.29,"78,114,300"
"Feb 11, 2019",119.20,122.48,117.04,122.48,119.16,"55,130,600"
"Feb 04, 2019",121.21,121.84,116.86,119.60,116.36,"44,901,900"
"Jan 28, 2019",114.72,120.99,113.54,120.89,117.61,"21,638,800"
"Jan 21, 2019",115.69,118.90,114.04,114.97,111.85,"19,934,900"
"Jan 14, 2019",115.20,119.20,113.40,116.59,113.43,"25,711,800"
"Jan 07, 2019",112.37,118.22,112.05,116.18,113.03,"23,929,700"
"Dec 31, 2018",114.34,115.85,111.10,114.66,111.55,"16,976,600"
"Dec 24, 2018",109.35,115.09,106.43,114.20,111.10,"15,162,000"
"Dec 17, 2018",111.21,111.54,105.67,109.42,106.45,"42,865,700"
"Dec 10, 2018",113.60,115.74,111.02,111.93,108.89,"20,314,200"
"Dec 03, 2018",118.64,119.84,112.77,113.58,110.50,"19,159,200"
"Nov 26, 2018",111.26,118.71,110.97,118.64,115.42,"25,027,800"
"Nov 19, 2018",113.00,116.20,111.40,112.87,109.81,"15,263,800"
"Nov 12, 2018",112.26,114.71,108.54,113.83,110.19,"24,274,600"
"Nov 05, 2018",110.43,112.54,104.95,112.21,108.62,"28,768,400"
"Oct 29, 2018",107.45,110.43,105.93,106.75,103.34,"18,479,500"
"Oct 22, 2018",112.00,112.72,104.17,106.39,102.99,"22,014,000"
"Oct 15, 2018",110.50,114.25,109.93,111.92,108.34,"20,323,200"
"Oct 08, 2018",114.85,116.61,106.58,110.48,106.95,"28,066,600"
"Oct 01, 2018",107.67,115.68,107.03,115.02,111.34,"30,863,600"
"Sep 24, 2018",105.95,107.74,105.54,107.31,103.88,"15,484,500"
"Sep 17, 2018",105.61,107.19,104.22,106.33,102.93,"21,007,100"
"Sep 10, 2018",107.50,107.84,105.40,105.77,102.39,"18,663,700"
"Sep 03, 2018",105.31,107.24,103.66,107.03,103.61,"13,477,200"
"Aug 27, 2018",106.15,106.49,104.28,105.65,102.27,"14,126,300"
"Aug 20, 2018",105.58,106.38,104.15,105.77,102.39,"12,638,700"
"Aug 13, 2018",102.45,105.92,101.27,105.55,101.61,"17,495,000"
"Aug 06, 2018",100.40,103.81,100.22,102.25,98.44,"20,169,500"
"Jul 30, 2018",96.38,100.69,96.25,100.58,96.83,"24,178,700"
"Jul 23, 2018",88.30,96.96,88.17,96.60,93.00,"30,333,700"
"Jul 16, 2018",89.63,90.13,88.26,88.47,85.17,"15,376,800"
"Jul 09, 2018",87.60,89.87,87.20,89.71,86.36,"13,334,500"
