Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",256.21,280.22,250.24,279.02,279.02,"8,489,700"
"Apr 06, 2020",231.62,277.42,229.08,258.28,258.28,"10,417,900"
"Mar 30, 2020",246.46,257.93,213.29,218.15,218.15,"10,760,900"
"Mar 23, 2020",190.68,262.88,185.84,241.22,239.78,"15,155,400"
"Mar 16, 2020",223.82,245.77,181.38,187.89,186.77,"17,621,000"
"Mar 09, 2020",273.00,287.86,237.45,261.78,260.22,"14,542,500"
"Mar 02, 2020",296.64,309.65,284.02,294.41,292.65,"10,860,200"
"Feb 24, 2020",299.20,306.90,273.66,293.43,291.68,"14,103,000"
"Feb 17, 2020",323.24,335.41,315.24,316.80,314.91,"8,337,400"
"Feb 10, 2020",313.98,344.32,313.00,339.30,337.28,"7,516,400"
"Feb 03, 2020",300.00,332.53,300.00,315.40,313.52,"9,501,100"
"Jan 27, 2020",297.03,319.00,292.69,298.21,296.43,"11,913,500"
"Jan 20, 2020",308.19,316.73,303.71,306.54,304.71,"6,192,800"
"Jan 13, 2020",294.38,308.49,292.51,308.00,306.16,"7,750,900"
"Jan 06, 2020",289.79,303.88,287.54,294.34,292.58,"7,233,700"
"Dec 30, 2019",292.51,299.80,287.64,294.69,292.93,"4,234,600"
"Dec 23, 2019",298.38,299.00,292.12,293.70,291.95,"2,777,700"
"Dec 16, 2019",286.15,299.39,284.25,297.41,295.64,"9,723,000"
"Dec 09, 2019",271.31,288.87,267.06,281.95,279.07,"7,874,300"
"Dec 02, 2019",266.48,272.58,255.50,269.86,267.10,"6,581,300"
"Nov 25, 2019",264.07,272.06,263.67,266.83,264.10,"5,411,700"
"Nov 18, 2019",282.76,285.77,260.12,261.98,259.30,"7,678,000"
"Nov 11, 2019",269.66,285.87,267.67,283.68,280.78,"6,475,900"
"Nov 04, 2019",280.00,281.72,269.10,272.68,269.89,"6,944,700"
"Oct 28, 2019",272.54,282.88,267.23,278.26,275.41,"10,024,800"
"Oct 21, 2019",236.98,270.63,231.15,270.05,267.29,"12,374,200"
"Oct 14, 2019",236.42,243.58,230.23,233.70,231.31,"7,309,400"
"Oct 07, 2019",233.17,240.28,225.00,237.09,234.66,"6,693,400"
"Sep 30, 2019",229.73,235.53,225.17,233.27,229.73,"6,935,500"
"Sep 23, 2019",235.00,244.98,227.46,230.08,226.59,"9,336,100"
"Sep 16, 2019",232.79,239.40,230.62,235.31,231.74,"8,653,500"
"Sep 09, 2019",229.72,237.90,226.49,235.56,231.99,"8,580,000"
"Sep 02, 2019",211.00,232.26,209.02,227.92,224.46,"8,774,100"
"Aug 26, 2019",204.32,213.05,197.16,210.51,207.32,"6,748,900"
"Aug 19, 2019",210.00,211.52,199.75,200.39,197.35,"6,199,600"
"Aug 12, 2019",194.39,206.55,193.80,205.11,202.00,"8,469,300"
"Aug 05, 2019",197.76,202.39,190.71,195.32,192.36,"10,043,300"
"Jul 29, 2019",210.31,217.70,200.47,204.09,200.99,"10,100,100"
"Jul 22, 2019",202.88,218.49,202.87,210.75,207.55,"10,657,400"
"Jul 15, 2019",192.36,200.80,188.11,198.47,195.46,"7,338,500"
"Jul 08, 2019",179.20,192.81,178.92,191.24,188.34,"8,606,700"
"Jul 01, 2019",194.57,197.95,181.10,183.64,180.85,"6,893,200"
"Jun 24, 2019",182.09,189.74,175.58,187.84,184.99,"9,980,300"
"Jun 17, 2019",176.79,186.49,172.38,183.03,180.25,"8,694,300"
"Jun 10, 2019",188.09,195.29,173.50,176.80,173.12,"9,687,900"
"Jun 03, 2019",175.48,189.26,171.04,186.68,182.79,"9,966,400"
"May 27, 2019",183.54,184.00,174.53,174.61,170.97,"7,958,400"
"May 20, 2019",188.64,189.65,181.70,181.90,178.11,"10,395,400"
"May 13, 2019",191.30,200.00,186.94,194.16,190.11,"10,326,700"
"May 06, 2019",200.33,205.28,193.03,197.90,193.78,"9,467,400"
"Apr 29, 2019",206.73,209.04,203.40,207.78,203.45,"6,946,800"
"Apr 22, 2019",196.29,209.50,193.09,206.39,202.09,"13,451,000"
"Apr 15, 2019",193.38,197.97,189.95,194.77,190.71,"6,074,100"
"Apr 08, 2019",193.60,195.30,188.60,194.08,190.03,"7,254,500"
"Apr 01, 2019",182.00,195.79,181.45,195.15,191.08,"10,694,900"
"Mar 25, 2019",179.03,182.70,174.11,179.01,175.28,"7,562,400"
