Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",100.23,103.55,95.47,103.33,103.33,"35,600,700"
"Apr 06, 2020",89.35,102.48,88.05,101.03,101.03,"32,376,600"
"Mar 30, 2020",90.75,93.12,81.33,86.27,86.27,"43,224,600"
"Mar 23, 2020",75.68,93.77,72.16,89.89,89.33,"60,927,800"
"Mar 16, 2020",80.53,83.44,72.13,77.46,76.98,"54,730,100"
"Mar 09, 2020",94.02,96.37,81.46,88.82,88.27,"51,547,200"
"Mar 02, 2020",101.63,104.67,96.79,99.06,98.44,"38,389,500"
"Feb 24, 2020",111.90,112.87,96.56,100.67,100.04,"36,787,500"
"Feb 17, 2020",114.23,115.41,111.95,113.28,112.58,"27,657,400"
"Feb 10, 2020",118.32,120.18,114.00,117.33,116.60,"25,100,800"
"Feb 03, 2020",115.95,121.41,115.89,118.95,118.21,"21,140,300"
"Jan 27, 2020",118.50,120.15,115.00,115.44,114.72,"21,758,300"
"Jan 20, 2020",119.00,122.15,118.81,119.26,118.52,"17,274,700"
"Jan 13, 2020",118.31,119.84,116.16,119.03,118.29,"21,670,000"
"Jan 06, 2020",113.27,118.96,113.10,118.64,117.90,"21,560,400"
"Dec 30, 2019",113.77,114.91,112.20,113.88,113.17,"11,600,800"
"Dec 23, 2019",113.78,114.30,112.15,113.35,112.11,"10,409,300"
"Dec 16, 2019",114.07,115.94,112.77,113.74,112.50,"28,503,900"
"Dec 09, 2019",112.83,113.89,110.90,113.52,112.28,"18,073,000"
"Dec 02, 2019",111.20,113.62,109.69,113.09,111.85,"16,835,400"
"Nov 25, 2019",111.23,112.71,110.67,111.39,110.17,"21,191,800"
"Nov 18, 2019",113.28,114.46,109.49,110.82,109.61,"33,712,600"
"Nov 11, 2019",107.72,112.15,107.06,112.06,110.83,"17,358,800"
"Nov 04, 2019",109.00,109.00,104.86,107.03,105.86,"16,257,400"
"Oct 28, 2019",105.45,110.20,105.11,108.57,107.38,"17,146,400"
"Oct 21, 2019",108.45,108.61,104.28,105.44,104.29,"21,006,600"
"Oct 14, 2019",107.94,108.98,107.31,108.12,106.94,"13,101,400"
"Oct 07, 2019",107.92,108.74,105.00,107.58,106.40,"17,976,000"
"Sep 30, 2019",107.61,109.70,105.20,108.56,107.37,"17,957,600"
"Sep 23, 2019",110.79,112.05,106.28,107.32,105.61,"23,161,000"
"Sep 16, 2019",109.50,111.73,108.83,111.18,109.41,"24,168,300"
"Sep 09, 2019",108.80,111.24,106.08,109.67,107.93,"27,957,500"
"Sep 02, 2019",107.24,108.76,106.79,108.69,106.96,"17,314,100"
"Aug 26, 2019",106.61,108.70,106.17,107.89,106.17,"19,215,800"
"Aug 19, 2019",103.50,109.70,103.02,106.05,104.36,"33,670,100"
"Aug 12, 2019",101.67,103.04,100.63,102.76,101.13,"20,013,200"
"Aug 05, 2019",100.31,102.99,98.43,101.67,100.05,"24,892,500"
"Jul 29, 2019",102.57,103.95,101.24,102.33,100.70,"21,880,700"
"Jul 22, 2019",101.12,103.29,100.96,102.55,100.92,"16,318,900"
"Jul 15, 2019",99.29,102.74,98.96,100.80,99.20,"21,502,900"
"Jul 08, 2019",98.16,100.00,97.50,99.25,97.67,"21,059,300"
"Jul 01, 2019",98.29,98.81,97.38,98.11,96.02,"11,353,000"
"Jun 24, 2019",99.29,99.87,96.52,97.39,95.32,"25,736,400"
"Jun 17, 2019",97.51,99.90,97.05,99.38,97.27,"22,625,400"
"Jun 10, 2019",97.03,98.74,96.82,97.50,95.43,"18,044,500"
"Jun 03, 2019",92.78,97.47,92.36,97.11,95.04,"34,571,800"
"May 27, 2019",92.89,93.50,90.25,92.58,90.61,"25,033,100"
"May 20, 2019",87.51,93.92,86.89,93.03,91.05,"38,806,500"
"May 13, 2019",87.26,89.26,86.62,87.73,85.86,"20,463,200"
"May 06, 2019",88.50,90.35,86.09,88.33,86.45,"27,600,800"
"Apr 29, 2019",87.23,89.86,86.92,89.58,87.67,"24,601,900"
"Apr 22, 2019",83.76,87.49,83.65,87.35,85.49,"24,046,800"
"Apr 15, 2019",87.13,87.55,82.77,84.22,82.43,"30,426,800"
"Apr 08, 2019",89.17,89.35,86.62,86.75,84.90,"30,637,700"
"Apr 01, 2019",91.63,91.87,88.08,88.93,87.04,"28,082,200"
"Mar 25, 2019",90.38,92.17,89.47,91.08,89.14,"23,900,200"
"Mar 18, 2019",93.26,93.62,90.37,90.39,87.98,"27,538,400"
"Mar 11, 2019",90.97,94.20,90.88,93.79,91.29,"32,498,800"
"Mar 04, 2019",92.51,93.16,89.50,90.52,88.11,"24,754,700"
"Feb 25, 2019",93.92,94.06,90.39,92.09,89.64,"39,296,800"
"Feb 18, 2019",93.22,94.59,92.12,93.77,91.27,"20,590,100"
"Feb 11, 2019",89.48,92.34,89.14,92.27,89.81,"21,484,000"
"Feb 04, 2019",88.31,89.51,86.84,89.01,86.64,"22,316,200"
"Jan 28, 2019",86.52,89.45,85.66,88.31,85.96,"29,463,300"
"Jan 21, 2019",86.82,87.91,85.91,87.02,84.70,"21,008,800"
"Jan 14, 2019",84.35,88.62,84.11,87.30,84.98,"32,755,900"
"Jan 07, 2019",88.37,89.08,81.66,84.84,82.58,"50,162,700"
"Dec 31, 2018",89.92,91.21,85.18,88.13,85.78,"24,910,700"
"Dec 24, 2018",88.23,90.64,85.30,89.26,86.39,"20,088,200"
"Dec 17, 2018",93.47,93.94,88.31,88.60,85.76,"39,131,300"
"Dec 10, 2018",94.00,97.41,92.91,93.72,90.71,"27,195,200"
"Dec 03, 2018",98.00,99.41,93.50,94.24,91.21,"27,505,900"
"Nov 26, 2018",90.62,97.59,90.51,97.53,94.40,"30,237,100"
"Nov 19, 2018",94.01,94.89,90.04,92.01,89.06,"24,441,400"
"Nov 12, 2018",94.48,94.63,89.86,93.70,90.69,"28,019,800"
"Nov 05, 2018",91.95,94.86,91.19,94.36,91.33,"23,003,400"
"Oct 29, 2018",91.09,92.85,88.44,91.42,88.49,"30,613,200"
"Oct 22, 2018",93.94,94.35,89.08,89.75,86.87,"25,788,100"
"Oct 15, 2018",93.85,97.43,93.23,93.94,90.92,"25,244,000"
"Oct 08, 2018",96.75,97.17,92.65,94.69,91.65,"25,662,500"
"Oct 01, 2018",98.72,99.77,96.23,97.17,94.05,"20,804,900"
"Sep 24, 2018",97.99,100.15,97.20,98.37,94.73,"26,169,800"
"Sep 17, 2018",97.01,98.00,95.79,97.85,94.23,"23,962,200"
"Sep 10, 2018",96.64,97.28,95.51,97.01,93.42,"17,704,700"
"Sep 03, 2018",96.57,96.91,95.11,96.32,92.76,"19,508,500"
"Aug 27, 2018",95.61,97.38,95.05,96.41,92.84,"23,317,400"
"Aug 20, 2018",90.65,96.50,89.87,95.55,92.02,"41,823,300"
"Aug 13, 2018",90.50,91.50,90.23,90.60,87.25,"26,151,700"
"Aug 06, 2018",90.35,91.47,90.07,90.60,87.25,"18,456,400"
"Jul 30, 2018",88.71,90.74,88.51,90.48,87.13,"21,238,500"
"Jul 23, 2018",87.59,90.04,87.45,88.66,85.38,"17,966,400"
"Jul 16, 2018",88.20,88.93,87.53,88.02,84.76,"21,163,800"
"Jul 09, 2018",86.53,88.60,86.38,88.36,85.09,"18,773,700"
