Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",7.95,7.99,6.04,6.95,6.95,"49,941,400"
"Apr 06, 2020",6.30,8.56,6.06,7.51,7.51,"43,648,000"
"Mar 30, 2020",5.13,6.76,4.84,6.18,6.18,"63,532,700"
"Mar 23, 2020",4.10,6.74,3.86,5.36,5.36,"79,655,000"
"Mar 16, 2020",5.99,6.60,2.73,4.03,4.03,"140,047,900"
"Mar 09, 2020",8.18,10.26,5.87,7.19,7.19,"93,472,900"
"Mar 02, 2020",16.10,16.10,12.93,13.32,13.32,"37,884,000"
"Feb 24, 2020",17.21,17.30,14.29,15.83,15.83,"58,249,300"
"Feb 17, 2020",18.95,19.17,17.86,17.95,17.95,"24,235,500"
"Feb 10, 2020",19.80,20.37,18.90,19.16,19.16,"42,053,200"
"Feb 03, 2020",19.82,21.40,19.51,20.05,19.93,"26,406,700"
"Jan 27, 2020",21.14,21.32,19.66,19.77,19.66,"27,789,000"
"Jan 20, 2020",23.35,23.46,21.32,21.67,21.54,"17,629,500"
"Jan 13, 2020",22.25,23.78,22.03,23.43,23.29,"21,255,800"
"Jan 06, 2020",23.91,24.14,21.77,22.26,22.13,"33,100,700"
"Dec 30, 2019",24.69,24.99,23.62,23.71,23.57,"20,306,800"
"Dec 23, 2019",23.48,25.08,23.48,24.62,24.48,"11,395,600"
"Dec 16, 2019",22.56,23.66,22.07,23.65,23.51,"28,585,200"
"Dec 09, 2019",21.66,23.08,21.51,22.38,22.25,"16,648,400"
"Dec 02, 2019",21.04,21.93,19.90,21.86,21.73,"25,631,700"
"Nov 25, 2019",21.06,21.43,20.62,20.76,20.64,"14,955,100"
"Nov 18, 2019",20.60,21.28,19.16,21.14,21.02,"26,328,500"
"Nov 11, 2019",21.07,21.89,20.75,20.88,20.76,"31,680,100"
"Nov 04, 2019",20.38,21.89,20.10,21.43,21.31,"40,211,800"
"Oct 28, 2019",20.69,20.96,19.01,20.02,19.78,"23,929,500"
"Oct 21, 2019",19.06,20.77,19.03,20.62,20.37,"17,988,300"
"Oct 14, 2019",20.19,21.22,19.06,19.06,18.83,"30,225,200"
"Oct 07, 2019",20.60,20.83,19.12,20.58,20.33,"38,784,000"
"Sep 30, 2019",22.31,22.81,20.14,20.59,20.34,"28,985,900"
"Sep 23, 2019",22.95,23.57,22.17,22.46,22.19,"23,221,400"
"Sep 16, 2019",27.01,27.31,23.04,23.15,22.87,"49,589,200"
"Sep 09, 2019",23.00,25.29,23.00,25.04,24.74,"26,730,900"
"Sep 02, 2019",22.11,22.87,21.55,22.71,22.44,"19,800,500"
"Aug 26, 2019",21.83,22.97,21.33,22.58,22.31,"21,254,600"
"Aug 19, 2019",21.76,22.96,21.50,21.60,21.34,"22,149,900"
"Aug 12, 2019",22.00,23.13,20.80,21.51,21.25,"23,213,400"
"Aug 05, 2019",21.28,22.58,20.63,22.16,21.89,"33,578,700"
"Jul 29, 2019",20.71,23.32,20.33,21.88,21.49,"37,682,400"
"Jul 22, 2019",21.26,22.03,20.55,20.75,20.38,"20,220,100"
"Jul 15, 2019",22.72,22.88,20.37,21.19,20.81,"23,390,000"
"Jul 08, 2019",21.71,22.95,21.07,22.74,22.34,"22,532,700"
"Jul 01, 2019",23.00,23.13,21.59,21.92,21.53,"14,352,100"
"Jun 24, 2019",21.51,22.41,20.93,22.40,22.00,"25,897,300"
"Jun 17, 2019",19.53,22.03,19.48,21.56,21.18,"34,269,500"
"Jun 10, 2019",20.74,21.52,19.68,19.73,19.38,"28,013,600"
"Jun 03, 2019",21.56,21.91,20.29,20.69,20.32,"31,542,100"
"May 27, 2019",21.83,22.06,21.09,21.40,21.02,"20,941,500"
"May 20, 2019",23.82,24.65,21.58,21.70,21.31,"23,443,900"
"May 13, 2019",23.80,24.55,23.24,23.85,23.43,"18,660,200"
"May 06, 2019",24.54,24.86,23.57,24.11,23.68,"29,976,900"
"Apr 29, 2019",27.08,27.86,24.76,24.93,24.37,"34,127,500"
"Apr 22, 2019",27.55,28.40,26.68,27.08,26.47,"30,897,900"
"Apr 15, 2019",26.54,27.84,26.35,27.11,26.50,"24,961,700"
"Apr 08, 2019",25.76,27.65,24.43,26.87,26.27,"33,369,000"
"Apr 01, 2019",25.01,25.95,24.64,25.73,25.15,"25,258,400"
"Mar 25, 2019",23.92,25.55,23.63,24.73,24.18,"20,231,200"
"Mar 18, 2019",23.24,25.17,23.24,23.97,23.43,"28,627,100"
"Mar 11, 2019",21.53,23.23,21.41,23.10,22.58,"27,212,300"
"Mar 04, 2019",23.00,23.85,21.32,21.42,20.94,"34,017,500"
"Feb 25, 2019",22.94,23.39,21.76,22.83,22.32,"36,660,700"
"Feb 18, 2019",22.25,24.23,21.75,23.16,22.64,"40,551,300"
"Feb 11, 2019",20.38,22.87,20.13,22.64,22.13,"31,962,500"
"Feb 04, 2019",22.17,23.23,19.91,20.64,20.07,"24,167,900"
"Jan 28, 2019",21.44,23.20,21.38,22.39,21.77,"24,889,000"
"Jan 21, 2019",23.08,23.11,20.93,21.93,21.33,"22,555,000"
"Jan 14, 2019",21.90,23.67,21.78,23.39,22.75,"33,656,500"
"Jan 07, 2019",20.77,22.52,20.51,22.19,21.58,"28,394,600"
"Dec 31, 2018",18.56,20.73,17.98,20.68,20.11,"26,198,100"
"Dec 24, 2018",17.98,19.12,17.11,18.43,17.92,"22,503,500"
"Dec 17, 2018",21.61,21.94,18.05,18.17,17.67,"38,961,900"
"Dec 10, 2018",23.39,23.64,21.70,21.79,21.19,"30,342,600"
"Dec 03, 2018",24.61,25.22,23.22,23.78,23.13,"35,780,600"
"Nov 26, 2018",24.08,24.87,23.56,23.74,23.09,"22,469,900"
"Nov 19, 2018",24.66,25.36,23.49,23.74,23.09,"22,510,700"
"Nov 12, 2018",26.71,26.71,24.43,25.17,24.48,"33,332,600"
"Nov 05, 2018",26.87,28.96,26.07,26.52,25.79,"41,459,600"
"Oct 29, 2018",25.80,27.47,23.83,26.34,25.51,"44,573,100"
"Oct 22, 2018",29.12,29.37,25.32,25.66,24.85,"36,237,300"
