Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",242.56,247.13,234.38,246.26,246.26,"13,426,300"
"Apr 06, 2020",230.79,250.87,224.04,245.28,245.28,"15,413,300"
"Mar 30, 2020",237.31,248.23,213.04,221.64,221.64,"16,738,500"
"Mar 23, 2020",186.67,240.32,174.80,231.95,231.95,"22,549,100"
"Mar 16, 2020",198.00,227.99,186.86,191.75,191.75,"25,975,000"
"Mar 09, 2020",254.46,267.32,196.36,221.56,221.56,"30,548,500"
"Mar 02, 2020",253.65,282.57,252.33,271.82,271.82,"19,155,800"
"Feb 24, 2020",274.80,278.61,243.08,252.76,251.45,"17,751,900"
"Feb 17, 2020",280.00,283.35,273.31,277.59,276.15,"13,171,700"
"Feb 10, 2020",270.31,279.08,269.33,278.52,277.07,"9,052,300"
"Feb 03, 2020",268.69,271.65,262.21,269.54,268.14,"11,118,800"
"Jan 27, 2020",262.62,270.66,262.29,268.20,266.81,"9,203,900"
"Jan 20, 2020",254.03,264.08,252.81,263.72,262.35,"9,768,700"
"Jan 13, 2020",243.05,253.75,243.05,253.40,252.08,"9,449,500"
"Jan 06, 2020",240.70,244.70,240.17,243.55,242.28,"7,547,900"
"Dec 30, 2019",241.69,243.68,237.95,240.32,239.07,"6,585,500"
"Dec 23, 2019",242.78,242.96,237.84,242.51,241.25,"5,586,700"
"Dec 16, 2019",237.24,245.01,236.40,242.71,241.45,"14,081,300"
"Dec 09, 2019",234.94,237.38,232.77,236.95,235.72,"7,608,500"
"Dec 02, 2019",233.71,235.43,231.07,234.39,233.17,"8,918,900"
"Nov 25, 2019",233.87,235.73,231.76,233.82,231.37,"8,808,000"
"Nov 18, 2019",231.98,236.76,231.13,233.38,230.93,"8,009,200"
"Nov 11, 2019",222.36,231.54,221.71,231.42,228.99,"8,210,600"
"Nov 04, 2019",235.23,235.23,220.66,222.08,219.75,"12,210,800"
"Oct 28, 2019",236.50,238.89,231.20,235.71,233.24,"8,807,800"
"Oct 21, 2019",232.41,239.89,230.65,236.88,234.40,"10,130,300"
"Oct 14, 2019",230.01,232.78,226.58,232.48,230.04,"8,049,200"
"Oct 07, 2019",233.45,234.27,228.55,229.54,227.13,"8,723,300"
"Sep 30, 2019",232.02,233.86,228.53,233.59,231.14,"9,593,500"
"Sep 23, 2019",225.44,232.79,224.84,231.26,228.83,"9,984,200"
"Sep 16, 2019",218.57,226.00,217.26,225.72,223.35,"11,306,500"
"Sep 09, 2019",219.20,222.25,216.37,218.49,216.20,"11,273,700"
