Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",52.70,54.72,52.40,54.62,54.62,"62,474,600"
"Apr 06, 2020",50.40,53.62,50.35,53.18,52.93,"59,140,700"
"Mar 30, 2020",50.40,51.59,46.04,49.40,49.17,"84,129,000"
"Mar 23, 2020",45.00,51.60,43.89,49.83,49.59,"110,456,400"
"Mar 16, 2020",42.51,47.97,41.26,45.65,45.43,"129,139,500"
"Mar 09, 2020",44.95,48.91,39.71,47.93,47.70,"129,619,400"
"Mar 02, 2020",49.73,51.84,46.46,47.37,47.15,"94,397,100"
"Feb 24, 2020",53.10,53.53,47.90,49.46,49.23,"80,196,400"
"Feb 17, 2020",55.42,55.87,54.44,54.68,54.42,"29,198,100"
"Feb 10, 2020",54.72,55.89,54.45,55.47,55.21,"39,182,800"
"Feb 03, 2020",52.73,55.35,52.69,54.72,54.46,"44,972,000"
"Jan 27, 2020",53.18,53.94,52.28,52.45,52.20,"39,272,800"
"Jan 20, 2020",54.98,55.65,53.88,54.07,53.81,"28,162,700"
"Jan 13, 2020",54.46,55.69,54.36,55.13,54.87,"53,609,500"
"Jan 06, 2020",53.36,54.80,53.35,54.45,53.95,"55,260,300"
"Dec 30, 2019",53.40,54.05,52.55,53.76,53.27,"37,956,900"
"Dec 23, 2019",53.65,54.07,53.28,53.46,52.97,"27,887,200"
"Dec 16, 2019",54.60,54.98,52.83,53.60,53.11,"93,186,300"
"Dec 09, 2019",54.84,56.66,54.42,54.51,54.01,"71,716,900"
"Dec 02, 2019",56.23,56.46,54.18,54.83,54.33,"57,360,500"
"Nov 25, 2019",56.46,56.91,56.09,56.14,55.63,"32,324,000"
"Nov 18, 2019",56.56,57.06,55.81,56.39,55.87,"37,653,800"
"Nov 11, 2019",56.20,56.85,55.64,56.42,55.90,"34,278,200"
"Nov 04, 2019",55.26,56.63,55.26,56.49,55.97,"45,635,700"
"Oct 28, 2019",54.35,55.31,54.24,55.00,54.50,"37,473,200"
"Oct 21, 2019",55.06,55.43,53.87,54.17,53.67,"39,280,900"
"Oct 14, 2019",56.83,57.21,54.18,54.55,54.05,"51,622,600"
"Oct 07, 2019",55.07,57.33,53.77,56.89,56.12,"72,390,900"
"Sep 30, 2019",54.25,55.64,52.68,55.14,54.39,"74,740,000"
"Sep 23, 2019",53.17,54.60,52.89,54.09,53.36,"66,540,500"
"Sep 16, 2019",53.40,54.25,51.86,53.47,52.75,"109,599,400"
"Sep 09, 2019",53.62,56.29,52.90,53.75,53.02,"97,450,700"
"Sep 02, 2019",51.94,54.33,51.55,53.16,52.44,"42,736,900"
"Aug 26, 2019",52.14,52.81,51.62,52.06,51.36,"44,712,400"
"Aug 19, 2019",54.22,54.37,51.25,51.58,50.88,"40,083,400"
"Aug 12, 2019",53.68,54.24,51.96,53.59,52.86,"50,845,100"
"Aug 05, 2019",55.10,55.10,52.97,53.90,53.17,"66,630,200"
"Jul 29, 2019",58.79,58.79,55.00,55.84,55.08,"48,632,800"
"Jul 22, 2019",57.88,58.65,57.38,58.50,57.71,"41,914,600"
"Jul 15, 2019",59.85,59.85,57.52,57.54,56.53,"53,058,300"
"Jul 08, 2019",59.19,60.50,59.01,59.81,58.76,"68,897,800"
"Jul 01, 2019",57.15,59.52,57.03,59.28,58.24,"61,835,900"
"Jun 24, 2019",56.25,57.39,55.90,56.97,55.97,"115,227,800"
"Jun 17, 2019",53.34,57.47,52.25,56.12,55.14,"171,000,000"
"Jun 10, 2019",53.68,54.61,53.28,53.28,52.35,"58,770,500"
"Jun 03, 2019",50.56,53.42,49.89,53.26,52.33,"72,221,600"
"May 27, 2019",53.08,53.28,50.51,50.60,49.71,"61,095,700"
"May 20, 2019",53.95,54.55,52.51,52.77,51.85,"46,996,500"
"May 13, 2019",53.72,55.15,53.36,54.50,53.55,"49,829,400"
"May 06, 2019",53.90,55.00,53.08,54.65,53.69,"53,659,700"
"Apr 29, 2019",55.29,55.49,54.46,54.79,53.83,"45,516,700"
"Apr 22, 2019",54.40,55.53,54.20,55.41,54.44,"41,109,000"
"Apr 15, 2019",54.50,54.91,54.23,54.52,53.57,"30,985,300"
"Apr 08, 2019",53.73,54.50,53.33,54.50,53.31,"45,554,600"
"Apr 01, 2019",53.88,54.65,53.41,53.93,52.75,"58,852,300"
"Mar 25, 2019",52.56,53.74,52.23,53.71,52.53,"56,638,300"
"Mar 18, 2019",52.87,54.38,52.35,52.77,51.61,"98,167,000"
"Mar 11, 2019",51.94,53.47,51.00,52.94,51.78,"124,907,500"
"Mar 04, 2019",52.67,53.13,51.57,52.77,51.61,"75,226,500"
"Feb 25, 2019",52.75,53.03,52.05,52.51,51.36,"85,052,300"
"Feb 18, 2019",51.48,52.60,51.24,52.48,51.33,"52,247,600"
"Feb 11, 2019",50.96,51.75,50.95,51.72,50.59,"60,223,100"
"Feb 04, 2019",50.38,51.49,49.82,51.03,49.91,"61,228,200"
"Jan 28, 2019",49.45,51.10,49.19,50.81,49.70,"71,374,700"
"Jan 21, 2019",48.84,49.90,48.66,49.80,48.71,"56,968,700"
"Jan 14, 2019",47.85,49.57,47.41,49.27,48.00,"69,767,300"
"Jan 07, 2019",46.93,48.62,46.47,48.29,47.05,"86,373,900"
"Dec 31, 2018",45.19,46.95,44.41,46.71,45.51,"70,105,700"
"Dec 24, 2018",43.77,45.77,42.40,44.82,43.67,"96,849,200"
"Dec 17, 2018",46.42,48.34,43.86,44.00,42.87,"201,627,600"
"Dec 10, 2018",46.01,48.11,45.34,46.60,45.40,"115,189,400"
"Dec 03, 2018",49.44,50.22,45.65,46.00,44.82,"110,465,100"
"Nov 26, 2018",49.16,49.16,46.79,48.76,47.50,"118,947,900"
"Nov 19, 2018",51.05,51.10,47.96,48.70,47.45,"60,576,900"
"Nov 12, 2018",50.17,51.45,48.74,51.17,49.85,"89,871,400"
"Nov 05, 2018",49.00,50.82,48.50,50.61,49.31,"67,101,000"
"Oct 29, 2018",47.81,49.45,46.34,48.83,47.57,"99,824,000"
"Oct 22, 2018",47.85,48.49,46.70,47.32,46.10,"97,867,900"
"Oct 15, 2018",46.96,48.42,46.87,47.59,46.18,"77,217,900"
"Oct 08, 2018",49.27,49.64,46.49,47.38,45.97,"105,731,400"
"Oct 01, 2018",51.22,51.99,49.12,49.35,47.89,"98,766,400"
"Sep 24, 2018",50.81,52.11,50.71,51.56,50.03,"94,930,600"
"Sep 17, 2018",49.31,51.12,47.36,51.10,49.58,"161,306,300"
"Sep 10, 2018",48.00,49.75,48.00,49.25,47.79,"94,517,000"
"Sep 03, 2018",48.36,48.83,47.33,47.81,46.39,"72,696,700"
"Aug 27, 2018",49.41,49.70,48.31,48.58,47.14,"78,035,700"
"Aug 20, 2018",48.40,49.39,48.24,49.26,47.80,"58,802,100"
"Aug 13, 2018",48.34,48.59,47.53,48.36,46.93,"61,043,100"
"Aug 06, 2018",48.29,48.95,48.22,48.32,46.89,"61,196,900"
"Jul 30, 2018",48.58,48.58,46.63,48.47,47.03,"90,432,200"
"Jul 23, 2018",48.62,49.17,48.05,48.63,47.19,"84,316,600"
"Jul 16, 2018",48.62,49.00,47.95,48.52,46.90,"94,896,800"
