Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",15.96,16.02,12.16,13.63,13.63,"223,968,600"
"Apr 06, 2020",12.60,18.27,12.43,15.36,15.36,"266,636,400"
"Mar 30, 2020",11.32,14.20,10.12,13.00,13.00,"291,327,100"
"Mar 23, 2020",10.25,15.29,9.47,11.61,11.61,"239,143,500"
"Mar 16, 2020",11.40,13.68,9.00,10.23,10.23,"202,224,200"
"Mar 09, 2020",15.58,19.19,9.44,14.26,13.84,"423,943,800"
"Mar 02, 2020",33.58,34.63,26.27,26.86,26.07,"109,409,000"
"Feb 24, 2020",40.50,40.55,29.64,32.74,31.78,"104,951,700"
"Feb 17, 2020",41.60,43.60,40.98,42.12,40.88,"33,705,500"
"Feb 10, 2020",41.49,42.61,40.18,41.60,40.38,"43,065,800"
"Feb 03, 2020",39.70,42.45,39.44,41.89,40.66,"36,436,200"
"Jan 27, 2020",41.02,41.66,39.42,39.72,38.55,"48,709,000"
"Jan 20, 2020",45.37,45.45,41.84,42.22,40.98,"43,354,800"
"Jan 13, 2020",46.26,47.58,45.52,45.83,44.48,"51,862,600"
"Jan 06, 2020",43.98,46.21,43.69,45.90,44.55,"66,170,400"
"Dec 30, 2019",40.25,44.25,40.16,43.61,42.33,"49,023,300"
"Dec 23, 2019",39.01,40.58,38.99,40.16,38.98,"27,816,100"
"Dec 16, 2019",37.99,39.23,37.98,39.01,37.86,"57,307,300"
"Dec 09, 2019",38.03,38.81,37.25,37.71,35.86,"57,035,700"
"Dec 02, 2019",38.84,39.16,37.54,39.01,37.10,"52,529,100"
"Nov 25, 2019",39.77,40.57,38.31,38.57,36.68,"35,348,900"
"Nov 18, 2019",39.15,39.94,37.70,39.58,37.64,"54,741,700"
"Nov 11, 2019",39.13,39.34,37.60,38.95,37.04,"59,452,200"
"Nov 04, 2019",42.99,44.62,38.30,40.10,38.13,"78,728,400"
"Oct 28, 2019",42.67,42.99,40.11,42.29,40.21,"38,116,500"
"Oct 21, 2019",40.57,43.10,40.28,42.53,40.44,"37,118,100"
"Oct 14, 2019",41.03,41.31,39.97,40.45,38.47,"38,263,600"
"Oct 07, 2019",42.90,43.04,40.45,41.12,39.10,"38,310,500"
"Sep 30, 2019",45.00,45.42,42.26,43.07,40.96,"28,579,300"
"Sep 23, 2019",45.36,45.94,44.41,45.14,42.93,"27,601,300"
"Sep 16, 2019",47.61,48.85,44.40,45.70,43.46,"68,366,400"
"Sep 09, 2019",45.00,46.90,44.53,45.09,42.13,"47,056,700"
"Sep 02, 2019",42.86,45.81,42.37,45.46,42.48,"32,393,700"
"Aug 26, 2019",42.94,44.11,41.83,43.48,40.63,"36,244,300"
"Aug 19, 2019",44.79,45.96,42.17,42.37,39.59,"44,139,400"
"Aug 12, 2019",46.95,46.98,43.08,44.57,41.65,"65,011,800"
"Aug 05, 2019",50.25,50.46,44.88,47.13,44.04,"73,489,500"
"Jul 29, 2019",51.57,54.05,50.30,51.18,47.82,"52,451,300"
"Jul 22, 2019",52.35,52.70,51.03,51.59,48.21,"29,994,100"
"Jul 15, 2019",51.82,52.42,50.62,52.33,48.90,"43,421,200"
"Jul 08, 2019",49.25,52.11,48.70,51.72,48.33,"35,298,300"
"Jul 01, 2019",51.00,51.36,47.95,49.28,46.05,"27,460,300"
"Jun 24, 2019",50.33,51.25,49.34,50.28,46.98,"33,387,400"
"Jun 17, 2019",49.29,51.63,48.96,50.61,47.29,"43,494,100"
"Jun 10, 2019",48.08,49.83,47.70,49.31,46.08,"46,166,700"
"Jun 03, 2019",50.30,50.60,47.00,47.84,43.99,"61,923,000"
"May 27, 2019",53.68,53.78,49.69,49.77,45.77,"45,817,100"
"May 20, 2019",52.87,53.98,51.29,53.47,49.17,"71,362,000"
"May 13, 2019",54.57,55.01,52.62,52.76,48.52,"58,416,100"
"May 06, 2019",57.33,60.73,54.50,54.97,50.55,"118,910,500"
"Apr 29, 2019",60.06,60.60,56.95,57.95,53.29,"73,886,000"
"Apr 22, 2019",62.35,63.42,59.76,61.31,56.38,"71,089,800"
"Apr 15, 2019",65.16,65.25,61.79,61.82,56.85,"37,922,200"
