Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",221.05,233.32,206.01,224.99,224.99,"5,601,800"
"Apr 06, 2020",175.05,230.77,171.01,221.99,221.99,"6,204,400"
"Mar 30, 2020",209.74,219.00,163.42,165.01,165.01,"6,081,000"
"Mar 23, 2020",191.10,230.38,173.65,208.94,208.94,"6,335,200"
"Mar 16, 2020",196.35,218.44,182.08,192.81,192.81,"6,262,800"
"Mar 09, 2020",240.03,255.85,185.37,226.62,226.62,"7,502,700"
"Mar 02, 2020",285.98,297.64,257.33,267.71,267.71,"3,790,200"
"Feb 24, 2020",285.40,301.63,264.51,282.65,282.65,"4,950,600"
"Feb 17, 2020",314.27,325.99,299.22,300.39,300.39,"3,254,500"
"Feb 10, 2020",293.53,315.74,288.28,314.43,314.43,"3,830,900"
"Feb 03, 2020",321.12,342.00,288.10,293.53,293.53,"7,325,000"
"Jan 27, 2020",307.46,325.76,307.46,318.16,318.16,"13,162,200"
"Jan 20, 2020",296.20,324.00,295.54,314.81,314.81,"6,340,300"
"Jan 13, 2020",289.00,297.53,285.55,296.24,296.24,"2,372,500"
"Jan 06, 2020",267.90,288.26,267.00,285.58,285.58,"2,350,400"
"Dec 30, 2019",267.98,273.68,256.05,272.71,272.71,"1,878,600"
"Dec 23, 2019",263.94,270.81,263.81,268.89,268.89,"1,235,300"
"Dec 16, 2019",258.65,264.61,255.02,263.54,263.54,"1,761,100"
"Dec 09, 2019",268.40,271.50,253.10,256.99,256.99,"2,040,700"
"Dec 02, 2019",276.82,277.85,255.02,268.79,268.79,"3,132,200"
"Nov 25, 2019",264.00,279.95,263.99,276.81,276.81,"2,190,200"
"Nov 18, 2019",232.70,263.67,232.36,263.31,263.31,"4,416,200"
"Nov 11, 2019",216.71,232.79,215.82,232.75,232.75,"2,372,700"
"Nov 04, 2019",215.25,220.22,208.93,218.42,218.42,"2,873,100"
"Oct 28, 2019",210.11,214.55,195.28,214.31,214.31,"3,731,500"
"Oct 21, 2019",204.94,210.44,189.21,209.67,209.67,"2,907,300"
"Oct 14, 2019",220.09,223.00,199.10,202.98,202.98,"2,086,500"
"Oct 07, 2019",213.49,221.79,206.85,220.03,220.03,"1,748,400"
"Sep 30, 2019",206.00,214.44,199.41,214.29,214.29,"2,807,900"
"Sep 23, 2019",215.94,219.93,201.29,206.40,206.40,"2,733,000"
"Sep 16, 2019",207.09,222.88,206.98,215.96,215.96,"4,011,400"
"Sep 09, 2019",250.14,250.14,203.17,209.66,209.66,"5,402,600"
"Sep 02, 2019",248.20,254.53,243.63,249.62,249.62,"2,001,400"
"Aug 26, 2019",252.06,259.71,246.01,250.12,250.12,"2,389,700"
"Aug 19, 2019",245.00,256.84,240.13,248.91,248.91,"3,151,200"
"Aug 12, 2019",238.66,244.88,229.50,241.42,241.42,"2,051,000"
"Aug 05, 2019",228.03,242.31,216.55,240.62,240.62,"3,413,000"
"Jul 29, 2019",235.56,246.04,223.74,236.52,236.52,"4,907,300"
"Jul 22, 2019",233.41,238.98,228.68,235.20,235.20,"2,309,200"
"Jul 15, 2019",243.96,245.66,232.40,232.81,232.81,"2,589,900"
"Jul 08, 2019",237.68,246.85,236.40,243.64,243.64,"2,816,600"
"Jul 01, 2019",230.62,239.33,225.74,239.30,239.30,"2,037,500"
"Jun 24, 2019",228.34,229.97,216.66,226.72,226.72,"3,225,200"
"Jun 17, 2019",215.27,233.43,215.03,228.25,228.25,"3,942,500"
"Jun 10, 2019",227.41,230.90,210.01,214.34,214.34,"3,619,800"
"Jun 03, 2019",211.30,223.89,194.84,222.45,222.45,"4,324,900"
"May 27, 2019",208.10,212.70,203.18,212.10,212.10,"5,203,100"
"May 20, 2019",208.50,215.65,203.28,208.23,208.23,"3,010,000"
"May 13, 2019",203.26,215.38,196.98,210.75,210.75,"3,873,200"
"May 06, 2019",204.03,210.55,200.70,208.39,208.39,"3,708,100"
"Apr 29, 2019",201.08,207.15,194.00,206.89,206.89,"4,841,500"
"Apr 22, 2019",188.13,200.78,188.09,200.07,200.07,"3,321,600"
"Apr 15, 2019",188.53,192.76,182.62,188.95,188.95,"2,029,600"
"Apr 08, 2019",183.49,190.35,179.57,188.76,188.76,"2,006,200"
"Apr 01, 2019",191.08,193.75,180.32,183.48,183.48,"3,056,000"
"Mar 25, 2019",179.49,190.00,174.02,189.13,189.13,"2,933,800"
"Mar 18, 2019",182.09,190.63,179.58,181.16,181.16,"3,024,200"
"Mar 11, 2019",178.15,184.26,178.00,181.94,181.94,"3,045,600"
"Mar 04, 2019",182.80,183.38,169.06,178.08,178.08,"2,926,300"
"Feb 25, 2019",186.00,186.00,178.36,181.80,181.80,"1,852,600"
"Feb 18, 2019",181.20,184.28,175.85,184.28,184.28,"2,617,900"
"Feb 11, 2019",176.52,182.52,170.07,182.47,182.47,"4,370,500"
"Feb 04, 2019",155.21,179.22,153.45,175.96,175.96,"6,859,100"
"Jan 28, 2019",141.00,150.88,139.43,150.85,150.85,"2,879,700"
"Jan 21, 2019",135.10,143.12,134.50,143.05,143.05,"2,480,400"
"Jan 14, 2019",125.68,137.39,123.73,136.24,136.24,"2,261,700"
"Jan 07, 2019",122.09,129.75,121.96,127.30,127.30,"2,112,100"
"Dec 31, 2018",122.57,124.13,115.03,121.02,121.02,"2,509,700"
"Dec 24, 2018",113.61,123.83,111.48,121.24,121.24,"1,760,400"
"Dec 17, 2018",129.00,129.28,114.65,115.01,115.01,"3,078,300"
"Dec 10, 2018",128.61,137.21,128.00,130.62,130.62,"2,816,300"
"Dec 03, 2018",136.02,136.43,124.77,129.64,129.64,"2,362,600"
"Nov 26, 2018",121.90,133.29,120.09,132.77,132.77,"2,792,100"
"Nov 19, 2018",122.49,122.90,107.46,119.15,119.15,"3,248,600"
"Nov 12, 2018",125.92,126.34,120.50,123.62,123.62,"3,533,200"
"Nov 05, 2018",125.09,130.03,122.00,126.97,126.97,"3,186,000"
"Oct 29, 2018",127.92,131.23,120.10,125.12,125.12,"7,088,800"
"Oct 22, 2018",131.24,135.13,120.00,124.06,124.06,"3,698,900"
"Oct 15, 2018",130.80,137.99,128.00,130.92,130.92,"3,279,200"
"Oct 08, 2018",138.15,138.50,125.33,130.88,130.88,"5,261,400"
"Oct 01, 2018",154.26,157.45,135.20,139.05,139.05,"4,619,600"
"Sep 24, 2018",152.72,159.74,150.71,155.41,155.41,"2,393,000"
"Sep 17, 2018",163.01,163.32,151.30,153.65,153.65,"4,136,400"
