Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",81.10,82.02,78.01,79.91,79.91,"5,397,200"
"Apr 06, 2020",71.72,84.69,70.67,82.23,82.23,"5,005,100"
"Mar 30, 2020",78.44,80.21,67.29,68.19,68.19,"4,974,800"
"Mar 23, 2020",64.01,80.31,61.22,77.63,77.63,"5,943,500"
"Mar 16, 2020",75.50,78.26,60.05,65.55,65.55,"9,963,000"
"Mar 09, 2020",95.79,98.29,76.88,81.57,81.57,"7,107,700"
"Mar 02, 2020",90.00,100.73,89.59,99.31,99.31,"7,263,800"
"Feb 24, 2020",103.31,103.31,88.60,89.49,89.49,"6,565,800"
"Feb 17, 2020",100.72,105.51,100.38,103.60,103.60,"5,604,700"
"Feb 10, 2020",98.24,100.74,97.87,100.43,100.43,"3,388,000"
"Feb 03, 2020",97.93,98.59,97.00,98.06,98.06,"4,604,300"
"Jan 27, 2020",97.28,98.81,96.90,97.69,96.92,"5,801,400"
"Jan 20, 2020",93.67,97.20,93.23,97.12,96.35,"2,926,300"
"Jan 13, 2020",90.53,93.75,90.44,93.34,92.60,"5,006,600"
"Jan 06, 2020",89.09,90.60,88.10,90.56,89.84,"4,225,100"
"Dec 30, 2019",88.63,90.25,88.40,88.99,88.29,"3,238,300"
"Dec 23, 2019",90.34,90.34,88.56,88.85,88.15,"2,069,800"
"Dec 16, 2019",86.20,90.68,85.96,90.19,89.48,"7,287,900"
"Dec 09, 2019",86.37,86.38,84.88,86.14,85.46,"4,137,300"
"Dec 02, 2019",87.07,87.22,85.34,86.20,85.52,"4,796,000"
"Nov 25, 2019",87.26,88.14,86.41,87.39,86.70,"3,952,300"
"Nov 18, 2019",87.68,88.59,86.25,87.20,86.51,"4,172,900"
"Nov 11, 2019",86.36,87.63,84.26,87.61,86.92,"5,841,800"
"Nov 04, 2019",93.39,93.39,85.51,86.39,85.71,"7,660,500"
"Oct 28, 2019",93.75,94.42,92.06,93.49,91.98,"3,929,800"
"Oct 21, 2019",93.50,95.68,93.39,94.20,92.68,"3,330,000"
"Oct 14, 2019",95.59,95.81,93.10,93.91,92.39,"3,106,800"
"Oct 07, 2019",97.25,97.52,94.40,95.46,93.92,"4,042,600"
"Sep 30, 2019",97.44,98.00,95.24,97.23,95.66,"3,525,600"
