Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",50.56,52.61,49.13,51.87,51.87,"5,076,100"
"Apr 06, 2020",46.39,52.01,46.32,50.45,50.45,"4,846,800"
"Mar 30, 2020",46.25,49.61,40.01,44.36,44.36,"10,133,000"
"Mar 23, 2020",43.53,47.60,41.27,46.10,46.10,"9,126,200"
"Mar 16, 2020",43.66,50.97,40.80,42.13,42.13,"9,874,100"
"Mar 09, 2020",50.61,51.82,40.17,46.29,46.29,"8,232,400"
"Mar 02, 2020",50.98,56.27,50.47,53.17,53.17,"9,522,500"
"Feb 24, 2020",59.27,63.86,48.47,50.69,50.50,"11,461,000"
"Feb 17, 2020",57.57,60.02,57.44,59.86,59.64,"2,761,200"
"Feb 10, 2020",59.84,60.98,57.06,57.71,57.50,"3,405,400"
"Feb 03, 2020",57.45,60.12,57.34,59.91,59.69,"3,756,900"
"Jan 27, 2020",58.03,59.84,56.68,57.04,56.83,"3,229,100"
"Jan 20, 2020",58.77,60.48,58.46,58.76,58.54,"3,701,700"
"Jan 13, 2020",49.76,60.24,49.17,59.02,58.80,"9,176,800"
"Jan 06, 2020",49.59,50.16,48.83,49.71,49.53,"5,090,100"
"Dec 30, 2019",51.79,52.04,49.76,49.96,49.77,"3,907,000"
"Dec 23, 2019",53.75,54.69,51.70,51.92,51.73,"2,368,900"
"Dec 16, 2019",54.23,55.50,53.08,54.72,54.52,"5,050,900"
"Dec 09, 2019",52.01,54.73,52.01,53.93,53.73,"5,052,000"
"Dec 02, 2019",51.70,52.67,49.43,52.29,52.10,"6,894,100"
"Nov 25, 2019",49.38,51.64,49.06,51.23,50.83,"4,205,600"
"Nov 18, 2019",49.29,49.43,48.11,49.01,48.62,"6,454,700"
"Nov 11, 2019",49.48,49.88,47.43,49.38,48.99,"5,403,700"
"Nov 04, 2019",54.98,55.20,48.80,50.05,49.66,"8,801,000"
"Oct 28, 2019",54.23,54.85,52.21,54.60,54.17,"3,884,900"
"Oct 21, 2019",54.30,54.65,53.33,54.05,53.63,"3,033,300"
"Oct 14, 2019",53.52,54.76,52.63,53.90,53.48,"2,943,600"
"Oct 07, 2019",53.15,54.15,50.88,53.44,53.02,"4,699,200"
"Sep 30, 2019",55.19,56.93,50.76,53.59,53.17,"5,274,100"
"Sep 23, 2019",54.89,55.45,53.59,54.98,54.55,"3,587,900"
"Sep 16, 2019",55.65,56.90,54.12,55.24,54.81,"6,669,400"
"Sep 09, 2019",50.09,57.50,49.25,55.96,55.52,"7,341,600"
"Sep 02, 2019",46.81,50.13,45.83,49.92,49.53,"7,278,400"
"Aug 26, 2019",46.30,47.35,45.22,46.78,46.20,"3,914,000"
"Aug 19, 2019",45.34,48.42,45.29,46.34,45.77,"4,467,300"
"Aug 12, 2019",47.01,48.40,45.52,46.18,45.61,"9,254,000"
"Aug 05, 2019",51.92,52.47,45.64,46.90,46.32,"10,048,100"
"Jul 29, 2019",53.75,55.15,51.31,52.41,51.76,"5,928,200"
"Jul 22, 2019",51.71,55.63,51.52,53.54,52.88,"6,559,800"
"Jul 15, 2019",51.68,51.91,49.56,51.56,50.93,"4,941,700"
"Jul 08, 2019",50.13,51.79,49.84,51.76,51.12,"4,578,300"
"Jul 01, 2019",48.49,51.02,48.34,50.17,49.55,"3,920,400"
"Jun 24, 2019",44.29,47.67,43.63,47.62,47.03,"6,332,200"
"Jun 17, 2019",43.21,45.84,42.90,44.50,43.95,"7,145,000"
"Jun 10, 2019",44.22,44.82,42.96,43.18,42.65,"3,493,000"
"Jun 03, 2019",42.19,44.80,41.95,44.02,43.48,"5,212,400"
"May 27, 2019",47.39,47.52,40.68,42.02,41.31,"6,869,300"
"May 20, 2019",49.14,49.92,47.28,47.35,46.55,"5,222,400"
"May 13, 2019",50.42,50.90,47.69,49.67,48.83,"6,524,600"
