Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",79.56,80.02,67.67,72.68,72.68,"5,368,600"
"Apr 06, 2020",64.60,82.67,64.10,80.41,80.41,"6,765,200"
"Mar 30, 2020",67.75,73.04,59.82,61.00,61.00,"8,499,600"
"Mar 23, 2020",65.91,77.20,62.01,67.99,67.33,"7,506,300"
"Mar 16, 2020",70.28,78.97,64.28,66.61,65.96,"9,056,900"
"Mar 09, 2020",99.00,101.13,76.65,83.67,82.85,"7,477,900"
"Mar 02, 2020",105.71,111.64,103.96,105.77,104.74,"10,556,300"
"Feb 24, 2020",110.00,111.13,97.22,105.51,104.48,"8,266,500"
"Feb 17, 2020",121.08,122.58,116.80,117.46,116.32,"3,552,300"
"Feb 10, 2020",120.07,124.18,119.45,121.84,120.65,"3,921,200"
"Feb 03, 2020",114.16,128.29,113.11,120.56,119.39,"7,334,900"
"Jan 27, 2020",113.32,116.45,111.27,113.50,112.39,"4,860,700"
"Jan 20, 2020",122.11,122.13,114.10,116.23,115.10,"2,879,200"
"Jan 13, 2020",118.00,122.14,117.75,122.10,120.91,"2,911,200"
"Jan 06, 2020",116.66,121.56,116.66,117.96,116.81,"3,774,100"
"Dec 30, 2019",117.56,118.94,116.40,118.16,117.01,"2,234,100"
"Dec 23, 2019",118.49,120.46,116.86,117.41,115.59,"1,817,000"
"Dec 16, 2019",117.55,119.61,116.54,118.43,116.59,"5,018,100"
"Dec 09, 2019",111.67,117.25,111.45,116.92,115.11,"5,834,700"
"Dec 02, 2019",107.92,114.20,103.90,111.67,109.94,"4,792,700"
"Nov 25, 2019",108.54,109.92,106.88,107.34,105.68,"2,876,900"
"Nov 18, 2019",112.21,113.72,103.43,107.61,105.94,"6,777,500"
"Nov 11, 2019",112.70,114.69,109.77,112.61,110.86,"6,013,200"
"Nov 04, 2019",98.64,116.12,98.52,113.77,112.01,"11,371,500"
"Oct 28, 2019",98.51,100.41,94.05,97.99,96.47,"3,991,300"
"Oct 21, 2019",96.17,99.75,94.14,98.79,97.26,"4,237,500"
"Oct 14, 2019",92.88,96.12,91.38,94.97,93.50,"4,358,800"
"Oct 07, 2019",91.34,94.87,88.67,93.72,92.27,"4,594,600"
"Sep 30, 2019",94.66,96.30,88.02,91.45,90.03,"4,565,900"
"Sep 23, 2019",92.59,95.09,91.66,94.24,92.10,"5,237,400"
"Sep 16, 2019",101.39,103.88,92.95,92.97,90.86,"6,190,500"
"Sep 09, 2019",95.15,103.58,94.73,102.26,99.94,"7,638,100"
"Sep 02, 2019",87.22,95.61,86.16,94.58,92.43,"5,318,700"
"Aug 26, 2019",84.73,91.24,82.69,88.34,86.33,"7,208,100"
"Aug 19, 2019",88.53,88.58,83.53,83.91,82.01,"5,617,500"
"Aug 12, 2019",92.98,96.77,83.50,86.94,84.97,"8,043,500"
"Aug 05, 2019",97.05,97.97,93.21,93.72,91.59,"6,859,700"
"Jul 29, 2019",109.71,115.00,97.39,98.88,96.64,"10,360,500"
"Jul 22, 2019",109.96,111.34,107.15,110.08,107.58,"4,375,900"
