Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",133.85,156.09,133.27,154.98,154.98,"5,641,300"
"Apr 06, 2020",130.36,141.03,129.11,136.58,136.58,"4,279,800"
"Mar 30, 2020",125.70,131.00,122.51,124.55,124.55,"8,053,600"
"Mar 23, 2020",110.35,128.35,104.90,124.38,124.38,"7,420,900"
"Mar 16, 2020",112.59,125.38,108.52,110.00,110.00,"8,891,800"
"Mar 09, 2020",128.11,135.33,116.47,129.88,129.88,"10,009,600"
"Mar 02, 2020",137.96,146.96,133.71,137.72,137.72,"8,274,800"
"Feb 24, 2020",144.97,148.03,131.51,137.93,137.93,"11,679,600"
"Feb 17, 2020",164.01,166.87,148.16,149.33,149.33,"10,115,300"
"Feb 10, 2020",153.64,164.10,153.56,163.35,163.35,"3,770,100"
"Feb 03, 2020",148.77,158.00,148.50,154.28,154.28,"4,209,500"
"Jan 27, 2020",150.74,153.37,147.14,147.51,147.51,"4,803,600"
"Jan 20, 2020",151.10,156.97,151.00,154.05,154.05,"3,347,700"
"Jan 13, 2020",148.96,151.99,147.26,151.86,151.86,"4,612,900"
"Jan 06, 2020",140.52,150.53,139.70,148.46,148.46,"4,819,000"
"Dec 30, 2019",140.12,142.93,137.82,141.76,141.76,"3,276,000"
"Dec 23, 2019",140.00,141.28,137.50,140.62,140.62,"2,563,800"
"Dec 16, 2019",137.63,141.01,134.64,139.88,139.88,"6,727,500"
"Dec 09, 2019",134.24,137.55,130.72,136.70,136.70,"6,618,100"
"Dec 02, 2019",141.79,144.24,131.51,134.21,134.21,"6,934,800"
"Nov 25, 2019",135.95,143.00,135.81,141.04,141.04,"4,849,400"
"Nov 18, 2019",139.25,142.10,134.79,135.38,135.38,"4,282,200"
"Nov 11, 2019",135.70,140.29,135.31,139.71,139.71,"3,362,800"
"Nov 04, 2019",137.33,138.08,133.84,136.21,136.21,"4,028,900"
"Oct 28, 2019",138.48,138.69,135.13,136.10,136.10,"4,235,300"
"Oct 21, 2019",135.46,138.47,131.60,137.14,137.14,"4,146,400"
"Oct 14, 2019",138.41,141.90,133.49,134.95,134.95,"3,795,900"
"Oct 07, 2019",139.96,141.06,133.79,138.61,138.61,"4,118,400"
"Sep 30, 2019",136.54,139.20,131.58,138.78,138.78,"4,330,900"
"Sep 23, 2019",134.92,141.45,133.12,136.21,136.21,"4,807,500"
"Sep 16, 2019",133.62,138.73,132.51,135.72,135.72,"5,131,600"
"Sep 09, 2019",146.20,146.50,133.75,134.64,134.64,"7,284,200"
"Sep 02, 2019",140.08,146.66,138.47,145.51,145.51,"3,888,100"
"Aug 26, 2019",136.63,142.94,134.79,141.81,141.81,"5,553,200"
"Aug 19, 2019",130.58,142.00,128.62,135.05,135.05,"7,225,500"
"Aug 12, 2019",129.88,132.86,125.99,128.98,128.98,"4,823,700"
"Aug 05, 2019",126.25,132.36,123.85,131.00,131.00,"4,700,800"
"Jul 29, 2019",137.39,137.39,128.06,129.35,129.35,"3,968,900"
"Jul 22, 2019",135.58,138.72,134.19,137.09,137.09,"3,518,600"
"Jul 15, 2019",137.64,137.69,134.66,134.99,134.99,"3,669,500"
"Jul 08, 2019",134.66,137.88,134.45,137.41,137.41,"5,590,700"
"Jul 01, 2019",131.40,135.54,130.14,135.40,135.40,"4,595,700"
"Jun 24, 2019",129.21,129.56,123.58,128.69,128.69,"9,649,800"
"Jun 17, 2019",124.82,130.64,124.18,128.84,128.84,"6,498,800"
"Jun 10, 2019",124.86,127.91,123.40,124.80,124.80,"4,534,500"
"Jun 03, 2019",116.55,124.13,112.75,123.90,123.90,"6,710,600"
"May 27, 2019",117.10,119.38,115.55,116.44,116.44,"4,922,100"
"May 20, 2019",121.51,121.51,113.94,116.71,116.71,"10,679,900"
"May 13, 2019",117.06,124.12,115.66,121.39,121.39,"5,725,100"
"May 06, 2019",119.18,121.83,116.61,119.82,119.82,"3,710,600"
"Apr 29, 2019",120.18,122.36,119.19,121.65,121.65,"3,580,900"
"Apr 22, 2019",115.70,121.37,115.01,120.12,120.12,"4,366,400"
"Apr 15, 2019",118.31,118.94,113.81,115.98,115.98,"3,646,600"
"Apr 08, 2019",116.22,119.21,114.83,118.19,118.19,"4,213,000"
"Apr 01, 2019",116.49,119.23,114.48,116.59,116.59,"8,112,500"
"Mar 25, 2019",109.94,115.21,109.11,115.15,115.15,"5,762,500"
"Mar 18, 2019",109.03,112.93,108.34,110.31,110.31,"6,130,600"
"Mar 11, 2019",103.52,110.15,103.52,109.17,109.17,"7,980,800"
"Mar 04, 2019",103.32,104.18,100.65,103.20,103.20,"5,081,200"
"Feb 25, 2019",103.00,103.68,101.47,103.19,103.19,"4,156,000"
"Feb 18, 2019",101.24,104.20,98.64,102.30,102.30,"7,220,300"
"Feb 11, 2019",99.68,102.28,98.72,101.65,101.65,"4,175,200"
"Feb 04, 2019",95.00,99.82,94.87,99.42,99.42,"6,024,600"
"Jan 28, 2019",92.39,94.88,89.77,94.79,94.79,"3,883,900"
"Jan 21, 2019",90.76,93.84,89.38,93.55,93.55,"5,827,100"
"Jan 14, 2019",87.15,91.84,86.53,91.49,91.49,"5,216,800"
"Jan 07, 2019",83.88,88.08,83.59,87.71,87.71,"5,270,700"
"Dec 31, 2018",84.01,84.73,81.03,83.90,83.90,"4,091,000"
"Dec 24, 2018",80.47,84.65,79.14,83.64,83.64,"5,447,900"
"Dec 17, 2018",87.66,87.85,80.79,80.80,80.80,"8,738,700"
"Dec 10, 2018",87.66,91.26,87.10,87.65,87.65,"6,286,400"
"Dec 03, 2018",92.96,93.85,86.99,87.82,87.82,"7,108,200"
"Nov 26, 2018",86.67,91.96,85.84,91.94,91.94,"8,471,300"
"Nov 19, 2018",90.22,90.22,82.76,85.59,85.59,"4,954,600"
"Nov 12, 2018",93.09,93.09,88.54,90.14,90.14,"6,124,200"
"Nov 05, 2018",89.79,94.44,88.52,93.35,93.35,"4,285,500"
"Oct 29, 2018",88.90,90.83,85.00,89.56,89.56,"4,673,700"
"Oct 22, 2018",88.46,92.72,86.42,87.51,87.51,"7,917,200"
"Oct 15, 2018",87.67,89.88,86.41,88.10,88.10,"7,120,600"
"Oct 08, 2018",92.97,93.47,85.57,88.12,88.12,"8,016,700"
"Oct 01, 2018",99.16,99.31,92.65,93.20,93.20,"6,106,500"
"Sep 24, 2018",98.60,99.95,97.90,98.61,98.61,"6,362,600"
"Sep 17, 2018",102.50,102.50,98.16,99.22,99.22,"6,900,700"
"Sep 10, 2018",102.50,103.40,101.33,102.72,102.72,"5,387,900"
"Sep 03, 2018",101.54,102.23,99.87,102.05,102.05,"4,264,000"
"Aug 27, 2018",102.50,102.91,101.36,102.14,102.14,"4,351,400"
"Aug 20, 2018",93.70,102.41,92.97,102.13,102.13,"8,884,200"
"Aug 13, 2018",93.65,94.11,91.63,93.34,93.34,"3,862,000"
"Aug 06, 2018",91.04,93.87,90.70,93.53,93.53,"5,275,600"
"Jul 30, 2018",92.39,92.75,88.48,91.14,91.14,"5,776,700"
"Jul 23, 2018",91.69,93.66,91.22,92.58,92.58,"5,271,600"
"Jul 16, 2018",91.58,92.62,90.79,91.69,91.69,"5,028,700"
"Jul 09, 2018",88.52,91.67,87.75,91.41,91.41,"4,562,500"
"Jul 02, 2018",85.13,88.27,84.75,88.18,88.18,"2,878,400"
"Jun 25, 2018",87.69,88.09,84.01,85.57,85.57,"5,135,200"
"Jun 18, 2018",89.56,90.99,88.05,88.12,88.12,"4,667,000"
"Jun 11, 2018",90.50,91.39,89.83,90.57,90.57,"3,572,700"
"Jun 04, 2018",89.38,91.67,88.77,90.51,90.51,"4,021,600"
"May 28, 2018",87.98,89.54,87.26,89.46,89.46,"3,682,200"
"May 21, 2018",89.58,90.34,86.51,88.32,88.32,"5,748,700"
