Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",29.42,29.60,24.38,27.75,27.75,"7,824,800"
"Apr 06, 2020",26.56,30.13,26.18,29.44,29.44,"8,364,700"
"Mar 30, 2020",26.20,28.46,23.85,24.85,24.85,"9,445,000"
"Mar 23, 2020",22.01,29.38,20.26,26.69,26.69,"20,023,900"
"Mar 16, 2020",26.50,28.13,22.05,22.29,22.29,"15,576,200"
"Mar 09, 2020",32.84,34.09,24.34,29.12,29.10,"16,215,900"
"Mar 02, 2020",40.84,42.82,35.13,35.97,35.95,"9,219,300"
"Feb 24, 2020",45.85,46.25,38.41,40.60,40.57,"11,653,900"
"Feb 17, 2020",47.66,48.02,46.75,47.36,47.33,"5,142,100"
"Feb 10, 2020",50.51,51.00,47.68,48.08,48.05,"7,668,700"
"Feb 03, 2020",46.21,51.53,46.06,50.75,50.72,"14,222,400"
"Jan 27, 2020",43.73,47.67,43.62,45.93,45.90,"12,810,500"
"Jan 20, 2020",45.89,46.13,43.72,44.70,44.67,"5,826,600"
"Jan 13, 2020",44.58,46.66,44.11,46.12,46.09,"7,257,400"
"Jan 06, 2020",44.61,45.36,43.98,44.29,44.26,"7,010,900"
"Dec 30, 2019",44.37,45.50,44.16,44.74,44.71,"5,763,200"
"Dec 23, 2019",45.50,45.74,44.19,44.36,44.33,"3,788,800"
"Dec 16, 2019",43.75,45.41,42.93,45.20,45.17,"12,458,400"
"Dec 09, 2019",45.11,45.33,43.26,43.45,43.40,"9,178,900"
"Dec 02, 2019",46.62,46.79,44.69,45.17,45.12,"9,402,600"
"Nov 25, 2019",46.55,47.25,46.18,46.24,46.19,"5,925,300"
"Nov 18, 2019",46.74,47.06,45.77,46.28,46.23,"7,072,000"
"Nov 11, 2019",46.14,47.23,45.72,47.06,47.01,"6,986,800"
"Nov 04, 2019",47.76,48.42,46.31,46.61,46.56,"7,333,200"
"Oct 28, 2019",47.69,48.03,45.37,47.20,47.15,"7,452,100"
"Oct 21, 2019",46.35,47.47,45.94,47.26,47.21,"8,166,100"
"Oct 14, 2019",48.67,51.19,46.00,46.01,45.96,"10,035,200"
"Oct 07, 2019",47.55,49.79,46.31,48.86,48.81,"5,638,500"
"Sep 30, 2019",49.35,49.80,45.66,47.55,47.50,"5,164,400"
"Sep 23, 2019",50.57,51.23,49.04,49.20,49.15,"6,210,800"
"Sep 16, 2019",51.42,52.87,50.72,50.93,50.87,"8,002,100"
"Sep 09, 2019",46.66,52.12,46.53,51.40,51.32,"8,904,900"
"Sep 02, 2019",44.55,46.78,43.26,46.48,46.41,"5,591,300"
"Aug 26, 2019",43.68,45.48,42.30,45.00,44.93,"5,137,900"
"Aug 19, 2019",45.15,45.61,42.87,43.07,43.01,"5,745,600"
"Aug 12, 2019",46.32,46.56,42.53,44.36,44.29,"9,920,700"
"Aug 05, 2019",46.00,48.32,45.67,46.77,46.70,"8,026,900"
"Jul 29, 2019",49.87,50.38,46.84,47.03,46.96,"7,785,700"
