Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",10.31,10.36,9.20,9.85,9.85,"21,932,000"
"Apr 06, 2020",8.72,10.75,8.55,10.43,10.43,"26,111,600"
"Mar 30, 2020",9.37,9.83,7.39,8.22,8.22,"29,503,200"
"Mar 23, 2020",8.18,10.15,7.70,9.44,9.44,"29,558,200"
"Mar 16, 2020",9.17,10.44,7.61,8.17,8.17,"34,228,100"
"Mar 09, 2020",11.76,11.96,9.59,10.81,10.81,"34,664,600"
"Mar 02, 2020",14.36,14.37,12.49,12.63,12.63,"47,374,400"
"Feb 24, 2020",15.37,15.74,13.51,14.19,14.19,"49,116,700"
"Feb 17, 2020",17.02,17.18,16.00,16.04,16.04,"33,489,900"
"Feb 10, 2020",20.44,20.80,16.50,17.19,17.19,"87,811,300"
"Feb 03, 2020",20.33,21.16,20.09,20.25,20.25,"24,375,300"
"Jan 27, 2020",20.33,21.52,20.15,20.18,20.18,"18,851,000"
"Jan 20, 2020",20.40,21.39,20.09,20.99,20.99,"22,614,200"
"Jan 13, 2020",19.80,21.65,19.69,20.39,20.39,"22,252,900"
"Jan 06, 2020",21.51,21.53,19.55,19.77,19.77,"31,497,600"
"Dec 30, 2019",21.42,21.96,21.12,21.85,21.85,"15,259,100"
"Dec 23, 2019",21.55,21.89,21.38,21.45,21.45,"9,117,400"
"Dec 16, 2019",19.62,21.55,19.53,21.50,21.50,"30,809,300"
"Dec 09, 2019",18.90,19.90,18.82,19.53,19.53,"16,762,800"
"Dec 02, 2019",18.95,19.13,17.91,18.96,18.96,"17,200,500"
"Nov 25, 2019",17.62,19.39,17.23,18.89,18.89,"22,170,700"
"Nov 18, 2019",17.80,17.86,16.74,17.43,17.43,"18,769,300"
"Nov 11, 2019",17.45,17.89,17.08,17.79,17.79,"20,336,900"
"Nov 04, 2019",17.83,18.57,16.83,17.56,17.56,"78,237,700"
"Oct 28, 2019",21.12,21.47,20.40,21.14,21.14,"16,539,600"
"Oct 21, 2019",19.82,21.45,19.77,21.06,21.06,"18,287,100"
"Oct 14, 2019",19.94,20.63,19.51,19.69,19.69,"13,120,700"
"Oct 07, 2019",19.17,20.39,18.70,19.99,19.99,"17,895,500"
"Sep 30, 2019",19.64,20.20,18.68,19.31,19.31,"15,032,600"
"Sep 23, 2019",19.64,20.14,19.21,19.57,19.57,"14,396,900"
"Sep 16, 2019",20.91,21.42,19.66,19.66,19.66,"18,284,100"
"Sep 09, 2019",19.55,21.88,19.51,21.18,21.18,"27,595,000"
"Sep 02, 2019",18.61,20.08,18.24,19.56,19.56,"15,335,900"
"Aug 26, 2019",18.22,18.96,17.64,18.61,18.61,"19,886,600"
"Aug 19, 2019",19.00,19.12,17.85,17.92,17.92,"19,698,900"
"Aug 12, 2019",20.00,20.40,18.29,18.65,18.65,"22,777,400"
"Aug 05, 2019",20.96,21.42,20.01,20.19,20.19,"28,827,600"
