Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",40.62,40.89,36.01,38.94,38.94,"11,991,000"
"Apr 06, 2020",33.27,41.88,33.26,41.12,40.71,"11,826,100"
"Mar 30, 2020",38.33,38.60,31.09,31.62,31.30,"14,006,400"
"Mar 23, 2020",31.96,38.96,29.20,37.94,37.56,"13,214,200"
"Mar 16, 2020",41.48,41.48,31.46,32.03,31.71,"16,077,100"
"Mar 09, 2020",46.50,47.05,40.35,44.66,44.21,"18,757,100"
"Mar 02, 2020",45.33,49.46,45.16,48.31,47.82,"10,492,800"
"Feb 24, 2020",50.54,51.25,44.02,44.98,44.53,"13,907,300"
"Feb 17, 2020",50.43,51.02,49.92,50.93,50.42,"7,051,700"
"Feb 10, 2020",49.07,50.33,48.78,50.32,49.81,"9,570,600"
"Feb 03, 2020",48.13,48.94,47.97,48.83,48.34,"5,296,800"
"Jan 27, 2020",48.00,48.43,47.56,47.91,47.43,"6,232,500"
"Jan 20, 2020",47.58,48.35,47.53,48.18,47.69,"4,980,100"
"Jan 13, 2020",45.98,47.64,45.96,47.45,46.97,"8,250,300"
"Jan 06, 2020",46.45,46.59,45.42,46.05,45.25,"7,391,600"
"Dec 30, 2019",46.19,46.86,45.76,46.49,45.68,"5,895,400"
"Dec 23, 2019",46.57,46.57,45.79,46.34,45.53,"2,956,200"
"Dec 16, 2019",46.32,46.96,45.40,46.32,45.51,"10,717,200"
"Dec 09, 2019",47.92,48.04,45.88,46.26,45.45,"7,951,200"
"Dec 02, 2019",47.96,48.14,46.75,47.89,47.05,"7,802,000"
"Nov 25, 2019",47.74,48.41,47.36,48.05,47.21,"6,465,300"
"Nov 18, 2019",48.55,49.15,47.34,47.57,46.74,"5,950,700"
"Nov 11, 2019",47.44,48.46,46.95,48.44,47.59,"7,038,300"
"Nov 04, 2019",49.62,49.68,47.21,47.37,46.54,"6,727,800"
"Oct 28, 2019",49.23,50.61,48.80,49.73,48.86,"9,945,400"
"Oct 21, 2019",49.74,50.21,48.95,49.42,48.56,"8,954,800"
"Oct 14, 2019",48.19,49.92,47.99,49.80,48.93,"9,876,600"
"Oct 07, 2019",48.83,49.30,47.90,48.01,46.84,"7,501,400"
"Sep 30, 2019",48.23,49.03,47.80,49.03,47.84,"6,990,100"
"Sep 23, 2019",47.73,48.56,47.73,48.33,47.15,"9,029,900"
"Sep 16, 2019",47.75,48.78,47.52,47.91,46.74,"12,046,200"
"Sep 09, 2019",48.81,48.89,47.13,47.60,46.44,"7,179,500"
"Sep 02, 2019",48.06,49.07,47.99,48.93,47.74,"5,670,400"
"Aug 26, 2019",47.78,48.33,47.30,48.18,47.01,"7,540,300"
"Aug 19, 2019",47.20,48.43,46.90,47.50,46.34,"8,682,200"
"Aug 12, 2019",47.11,47.73,45.80,46.98,45.84,"10,349,900"
"Aug 05, 2019",46.22,47.13,44.45,47.11,45.96,"9,715,700"
"Jul 29, 2019",46.23,47.39,45.44,46.26,45.13,"7,500,400"
"Jul 22, 2019",45.47,46.30,45.07,46.09,44.97,"5,530,700"
"Jul 15, 2019",46.34,46.67,45.41,45.43,44.32,"6,465,500"
"Jul 08, 2019",46.04,47.00,46.04,46.26,44.80,"6,957,800"
"Jul 01, 2019",45.21,46.33,44.22,46.00,44.55,"4,799,500"
"Jun 24, 2019",45.77,46.03,43.94,44.89,43.47,"9,026,500"
"Jun 17, 2019",46.63,47.11,45.29,45.68,44.24,"9,244,800"
"Jun 10, 2019",46.33,46.63,45.52,46.44,44.98,"4,507,200"
"Jun 03, 2019",44.96,46.57,44.07,46.14,44.68,"5,347,300"
"May 27, 2019",45.54,45.63,43.98,44.78,43.37,"5,832,400"
"May 20, 2019",44.92,45.46,44.06,45.31,43.88,"5,591,200"
"May 13, 2019",44.12,44.94,44.02,44.87,43.45,"4,698,500"
"May 06, 2019",44.27,44.50,43.21,44.40,43.00,"4,607,500"
"Apr 29, 2019",44.93,45.51,44.08,44.47,43.07,"6,224,500"
"Apr 22, 2019",44.10,45.15,43.04,45.03,43.61,"4,372,200"
"Apr 15, 2019",45.84,45.92,43.55,44.23,42.83,"4,606,600"
"Apr 08, 2019",45.30,45.81,44.86,45.80,44.02,"6,110,500"
"Apr 01, 2019",45.39,45.84,44.62,45.62,43.85,"6,634,800"
"Mar 25, 2019",45.06,45.70,44.73,45.46,43.70,"6,209,800"
"Mar 18, 2019",45.00,45.78,44.20,44.98,43.23,"7,226,200"
"Mar 11, 2019",44.76,45.38,44.50,45.13,43.38,"9,080,400"
"Mar 04, 2019",44.49,45.21,44.24,44.89,43.15,"7,401,900"
"Feb 25, 2019",44.99,45.01,43.79,44.31,42.59,"8,907,700"
"Feb 18, 2019",44.54,45.06,43.85,44.88,43.14,"5,793,500"
"Feb 11, 2019",44.57,44.98,43.78,44.59,42.86,"7,917,000"
"Feb 04, 2019",43.35,44.63,43.04,44.59,42.86,"6,394,600"
"Jan 28, 2019",42.38,44.07,42.27,43.39,41.71,"10,423,300"
"Jan 21, 2019",41.68,42.44,41.39,42.42,40.77,"4,443,600"
"Jan 14, 2019",40.05,41.72,39.86,41.68,40.06,"6,114,000"
"Jan 07, 2019",38.57,40.20,38.36,40.15,38.28,"8,315,000"
"Dec 31, 2018",39.47,39.63,38.18,38.52,36.72,"7,276,600"
"Dec 24, 2018",40.61,40.80,38.14,39.37,37.53,"7,714,300"
"Dec 17, 2018",42.05,42.36,40.59,40.62,38.72,"16,501,700"
"Dec 10, 2018",42.52,42.89,41.18,42.01,40.05,"9,961,000"
"Dec 03, 2018",42.73,42.98,41.25,42.43,40.45,"15,320,200"
"Nov 26, 2018",41.39,42.64,40.98,42.62,40.63,"10,275,000"
"Nov 19, 2018",41.15,41.64,40.90,41.19,39.27,"5,747,300"
