Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",98.58,103.75,97.94,102.75,102.75,"21,322,900"
"Apr 06, 2020",93.21,100.03,92.42,98.69,98.69,"22,973,500"
"Mar 30, 2020",98.13,98.81,88.35,90.00,90.00,"23,660,100"
"Mar 23, 2020",94.18,100.03,90.25,97.52,97.52,"29,911,900"
"Mar 16, 2020",85.86,103.80,85.50,93.46,93.46,"45,680,100"
"Mar 09, 2020",88.44,94.60,82.00,94.23,94.23,"43,451,400"
"Mar 02, 2020",92.05,96.00,89.41,94.00,94.00,"35,522,600"
"Feb 24, 2020",99.76,100.14,87.67,90.49,89.60,"42,982,400"
"Feb 17, 2020",105.95,107.61,102.75,102.94,101.93,"15,240,600"
"Feb 10, 2020",103.40,106.77,101.63,105.95,104.91,"15,431,900"
"Feb 03, 2020",104.16,107.79,101.66,103.12,102.11,"24,541,900"
"Jan 27, 2020",114.95,116.99,103.09,103.52,102.50,"24,496,100"
"Jan 20, 2020",118.21,119.24,115.55,116.66,115.52,"9,895,100"
"Jan 13, 2020",116.12,119.24,115.90,118.60,117.44,"13,423,400"
"Jan 06, 2020",115.45,117.83,114.37,115.87,114.73,"12,046,400"
"Dec 30, 2019",119.22,119.22,114.84,116.72,115.57,"11,941,700"
"Dec 23, 2019",118.23,119.49,117.34,118.94,117.77,"5,613,600"
"Dec 16, 2019",119.12,121.32,117.05,117.40,116.25,"20,886,500"
"Dec 09, 2019",117.00,119.63,114.78,118.62,117.46,"15,055,800"
"Dec 02, 2019",120.09,120.66,114.25,117.53,116.38,"14,329,600"
"Nov 25, 2019",119.84,121.70,119.25,119.73,118.56,"8,567,900"
"Nov 18, 2019",123.53,123.75,118.70,119.32,118.15,"12,912,400"
"Nov 11, 2019",123.41,124.23,122.03,123.73,121.57,"7,959,500"
"Nov 04, 2019",120.00,125.31,120.00,124.30,122.13,"15,635,400"
"Oct 28, 2019",116.08,119.58,114.51,119.51,117.42,"14,141,100"
"Oct 21, 2019",117.70,119.25,111.78,115.72,113.70,"20,844,800"
"Oct 14, 2019",115.94,118.92,115.51,117.35,115.30,"11,755,300"
"Oct 07, 2019",116.70,117.98,112.44,116.02,113.99,"13,995,700"
"Sep 30, 2019",119.31,120.70,114.01,117.49,115.44,"16,096,300"
"Sep 23, 2019",119.80,120.89,117.43,118.95,116.87,"13,818,800"
"Sep 16, 2019",122.06,122.96,118.72,120.70,118.59,"17,460,500"
"Sep 09, 2019",121.00,123.63,120.28,122.67,120.53,"13,721,200"
"Sep 02, 2019",117.66,122.54,116.19,120.08,117.98,"9,686,100"
"Aug 26, 2019",113.04,119.85,112.54,118.66,116.59,"13,627,400"
"Aug 19, 2019",116.68,117.50,110.51,111.28,109.34,"14,269,400"
"Aug 12, 2019",115.13,117.93,112.71,115.30,112.33,"14,725,800"
"Aug 05, 2019",115.48,117.80,112.22,115.75,112.77,"17,200,400"
"Jul 29, 2019",119.38,121.20,116.30,117.20,114.18,"21,072,500"
"Jul 22, 2019",103.91,121.30,103.64,120.58,117.47,"35,411,500"
"Jul 15, 2019",105.72,107.53,101.82,103.31,100.65,"14,289,700"
"Jul 08, 2019",101.71,106.21,101.16,105.91,103.18,"10,981,300"
"Jul 01, 2019",104.58,105.12,101.25,102.42,99.78,"7,413,100"
"Jun 24, 2019",101.65,103.47,96.99,103.27,100.61,"19,412,000"
"Jun 17, 2019",101.65,103.69,100.97,102.17,99.54,"14,804,500"
"Jun 10, 2019",99.15,102.29,98.92,101.62,99.00,"13,590,700"
"Jun 03, 2019",92.84,98.94,92.83,98.23,95.70,"18,280,700"
"May 27, 2019",95.88,96.13,92.65,92.92,90.53,"13,456,700"
"May 20, 2019",98.60,99.75,95.15,95.85,93.38,"11,944,900"
"May 13, 2019",98.62,102.90,97.87,99.40,95.92,"16,398,600"
"May 06, 2019",104.55,105.89,98.43,100.63,97.11,"16,494,200"
"Apr 29, 2019",104.01,106.95,103.02,106.65,102.92,"17,964,800"
"Apr 22, 2019",113.58,114.98,103.20,103.95,100.31,"24,545,700"
"Apr 15, 2019",114.72,114.91,113.22,114.15,110.16,"7,808,900"
"Apr 08, 2019",113.73,114.88,112.31,114.46,110.46,"11,090,700"
"Apr 01, 2019",113.19,115.03,112.90,114.33,110.33,"14,111,300"
"Mar 25, 2019",107.07,112.03,106.34,111.74,107.83,"11,253,500"
"Mar 18, 2019",109.55,111.02,106.50,107.35,103.59,"14,082,300"
"Mar 11, 2019",106.87,111.73,106.79,109.52,105.69,"16,250,800"
"Mar 04, 2019",112.72,112.90,104.94,106.68,102.95,"15,189,400"
"Feb 25, 2019",109.90,112.37,109.65,112.13,107.27,"15,408,800"
"Feb 18, 2019",110.90,112.28,107.85,110.36,105.57,"12,350,500"
"Feb 11, 2019",108.21,112.17,107.89,110.87,106.06,"15,011,200"
"Feb 04, 2019",106.00,108.95,105.42,108.10,103.41,"17,712,400"
"Jan 28, 2019",99.87,108.00,98.91,106.09,101.49,"20,201,700"
"Jan 21, 2019",101.50,103.13,98.83,100.83,96.46,"16,419,500"
"Jan 14, 2019",97.33,101.87,96.63,101.60,97.19,"22,224,900"
"Jan 07, 2019",97.48,99.14,96.18,97.91,93.66,"18,223,200"
"Dec 31, 2018",96.86,97.93,94.19,97.74,93.50,"12,006,300"
"Dec 24, 2018",93.03,98.82,89.89,96.53,92.34,"16,295,400"
"Dec 17, 2018",98.40,99.07,92.69,93.50,89.44,"27,469,100"
"Dec 10, 2018",104.66,106.40,97.54,98.66,94.38,"18,852,400"
"Dec 03, 2018",116.62,117.29,104.47,105.32,100.75,"17,837,400"
"Nov 26, 2018",109.91,115.44,109.04,115.29,110.29,"13,218,400"
"Nov 19, 2018",110.11,111.91,108.03,108.69,103.98,"8,914,400"
"Nov 12, 2018",109.75,112.07,107.40,110.09,104.45,"14,240,600"
"Nov 05, 2018",106.42,112.13,106.03,109.51,103.90,"14,692,800"
