Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",146.15,154.03,142.46,153.79,153.79,"4,367,300"
"Apr 06, 2020",146.20,152.89,144.88,148.26,148.26,"4,171,800"
"Mar 30, 2020",138.81,147.93,133.50,141.65,141.65,"5,419,700"
"Mar 23, 2020",125.73,143.48,116.61,137.77,137.77,"6,844,500"
"Mar 16, 2020",132.54,148.61,123.54,124.25,124.25,"7,378,100"
"Mar 09, 2020",150.63,156.76,132.00,145.61,145.35,"8,480,100"
"Mar 02, 2020",154.92,169.86,154.35,163.37,163.08,"6,013,300"
"Feb 24, 2020",166.26,169.15,148.71,155.11,154.83,"6,207,000"
"Feb 17, 2020",170.80,171.73,163.00,168.69,168.39,"3,990,100"
"Feb 10, 2020",168.79,171.68,167.45,171.38,171.07,"2,581,700"
"Feb 03, 2020",163.03,169.90,163.03,169.12,168.82,"3,636,700"
"Jan 27, 2020",163.31,165.50,161.82,162.47,162.18,"3,025,400"
"Jan 20, 2020",159.66,165.95,159.26,165.30,165.01,"2,633,200"
"Jan 13, 2020",157.34,161.59,156.54,160.55,160.26,"3,168,500"
"Jan 06, 2020",151.84,157.96,150.69,157.32,157.04,"4,547,500"
"Dec 30, 2019",148.48,152.73,146.44,152.59,152.32,"2,861,400"
"Dec 23, 2019",149.71,150.48,148.04,148.58,148.32,"1,705,200"
"Dec 16, 2019",149.78,151.49,148.05,149.68,149.41,"5,981,100"
"Dec 09, 2019",147.08,149.56,146.31,149.19,148.67,"3,239,000"
"Dec 02, 2019",147.56,148.22,144.19,146.82,146.31,"3,351,400"
"Nov 25, 2019",146.08,148.97,145.00,147.48,146.97,"3,147,400"
"Nov 18, 2019",141.54,146.25,141.00,145.98,145.47,"6,183,500"
"Nov 11, 2019",135.71,141.82,135.40,141.18,140.69,"4,688,200"
"Nov 04, 2019",145.50,145.50,136.39,136.75,136.27,"5,419,300"
"Oct 28, 2019",148.94,151.32,144.32,145.36,144.85,"6,026,300"
"Oct 21, 2019",154.89,157.80,147.71,148.92,148.40,"4,246,800"
"Oct 14, 2019",157.44,158.40,152.95,154.42,153.88,"4,024,600"
"Oct 07, 2019",157.55,159.57,154.79,157.11,156.56,"2,442,100"
"Sep 30, 2019",155.59,158.74,151.88,157.54,156.99,"3,807,000"
"Sep 23, 2019",158.78,160.56,154.40,155.59,155.05,"3,312,400"
"Sep 16, 2019",154.88,159.94,153.52,158.42,157.87,"3,418,500"
"Sep 09, 2019",164.33,164.54,153.03,155.76,154.97,"4,844,800"
"Sep 02, 2019",161.86,164.97,160.42,164.58,163.74,"2,552,500"
"Aug 26, 2019",155.75,162.13,155.70,161.54,160.72,"2,764,600"
"Aug 19, 2019",158.00,159.72,153.91,154.61,153.82,"2,930,500"
"Aug 12, 2019",156.28,157.60,152.70,156.88,156.08,"3,298,600"
"Aug 05, 2019",151.93,157.24,148.43,156.46,155.66,"4,050,200"
"Jul 29, 2019",152.69,155.50,150.02,153.23,152.45,"4,148,700"
"Jul 22, 2019",151.75,152.72,149.66,152.51,151.73,"3,336,900"
"Jul 15, 2019",152.30,153.82,151.00,151.43,150.66,"2,980,200"
"Jul 08, 2019",148.82,152.10,148.10,151.83,151.06,"2,806,700"
"Jul 01, 2019",147.52,151.09,146.54,148.87,148.11,"3,345,500"
"Jun 24, 2019",145.17,146.92,142.61,146.46,145.72,"4,183,000"
"Jun 17, 2019",146.09,147.44,141.72,145.07,144.33,"4,633,100"
"Jun 10, 2019",147.19,147.94,144.88,145.83,144.84,"3,170,500"
"Jun 03, 2019",140.45,147.03,139.41,146.47,145.48,"6,711,400"
"May 27, 2019",142.69,144.38,139.19,140.00,139.05,"5,169,600"
"May 20, 2019",140.63,144.48,140.63,142.21,141.24,"2,451,600"
"May 13, 2019",138.67,142.93,137.74,141.97,141.01,"4,477,400"
"May 06, 2019",141.21,143.67,137.84,140.68,139.72,"3,958,400"
"Apr 29, 2019",140.14,143.27,137.91,143.21,142.24,"3,396,900"
"Apr 22, 2019",137.60,140.41,136.69,139.87,138.92,"2,638,600"
"Apr 15, 2019",136.90,138.93,136.17,137.99,137.05,"2,188,300"
"Apr 08, 2019",134.88,137.00,134.25,136.98,136.05,"2,935,500"
"Apr 01, 2019",133.67,136.99,132.72,135.52,134.60,"4,006,600"
"Mar 25, 2019",129.17,133.39,128.36,133.00,132.10,"4,922,800"
"Mar 18, 2019",128.15,129.92,128.10,128.89,128.01,"3,272,900"
"Mar 11, 2019",125.90,129.30,125.52,128.43,127.31,"4,122,600"
"Mar 04, 2019",127.30,127.55,125.10,126.01,124.91,"3,148,800"
"Feb 25, 2019",125.68,127.22,122.44,126.71,125.61,"3,075,300"
"Feb 18, 2019",124.92,125.67,121.06,125.03,123.94,"4,172,000"
"Feb 11, 2019",122.44,125.40,121.78,125.38,124.29,"3,334,000"
"Feb 04, 2019",118.61,121.98,117.63,121.98,120.92,"2,970,900"
"Jan 28, 2019",116.66,119.61,115.24,118.77,117.73,"3,534,900"
"Jan 21, 2019",114.85,117.78,114.85,117.24,116.22,"2,933,700"
"Jan 14, 2019",111.38,115.76,111.05,115.70,114.69,"2,893,300"
"Jan 07, 2019",109.97,112.86,109.12,112.01,111.03,"3,362,000"
"Dec 31, 2018",108.56,110.35,104.92,109.98,109.02,"3,338,600"
"Dec 24, 2018",105.70,109.93,102.74,108.06,107.12,"2,832,200"
"Dec 17, 2018",113.84,113.84,105.94,106.01,105.09,"5,694,700"
"Dec 10, 2018",114.72,117.77,112.80,113.83,112.84,"5,292,600"
"Dec 03, 2018",123.49,125.99,113.98,114.45,113.45,"5,054,900"
"Nov 26, 2018",121.18,124.83,120.19,123.32,122.24,"4,289,500"
"Nov 19, 2018",123.48,124.50,119.06,120.06,119.01,"3,600,100"
"Nov 12, 2018",123.41,124.32,120.01,123.83,122.75,"5,402,700"
"Nov 05, 2018",116.05,123.81,114.19,123.38,122.30,"4,115,600"
"Oct 29, 2018",115.26,121.96,112.73,115.55,114.54,"7,208,600"
"Oct 22, 2018",116.53,117.22,111.52,113.84,112.85,"3,955,700"
"Oct 15, 2018",114.58,117.59,113.23,116.14,115.13,"3,249,400"
"Oct 08, 2018",119.42,121.18,112.65,114.78,113.78,"5,002,700"
"Oct 01, 2018",121.52,121.65,117.62,119.46,118.42,"3,851,100"
"Sep 24, 2018",119.66,121.65,118.81,120.55,119.50,"3,063,400"
"Sep 17, 2018",121.57,122.57,119.58,120.03,118.98,"5,105,700"
"Sep 10, 2018",121.00,122.80,120.19,121.63,120.57,"3,654,400"
"Sep 03, 2018",118.94,121.82,118.51,120.43,119.38,"3,117,400"
"Aug 27, 2018",118.23,119.56,117.47,119.09,118.05,"2,862,000"
"Aug 20, 2018",117.43,118.29,117.06,117.94,116.91,"2,223,700"
"Aug 13, 2018",116.91,118.11,116.16,117.42,116.40,"2,881,800"
"Aug 06, 2018",114.29,118.13,113.48,116.95,115.93,"2,885,800"
"Jul 30, 2018",111.21,115.05,109.25,114.39,113.39,"5,545,900"
"Jul 23, 2018",112.51,115.10,111.13,111.46,110.49,"3,784,200"
"Jul 16, 2018",112.97,113.06,110.48,112.59,111.61,"2,684,800"
"Jul 09, 2018",110.89,113.29,110.55,113.04,112.05,"3,205,300"
