Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",244.66,272.67,243.81,270.46,270.46,"11,037,800"
"Apr 06, 2020",248.61,267.45,240.50,246.61,246.61,"11,826,300"
"Mar 30, 2020",221.34,247.45,220.00,238.31,238.31,"11,415,600"
"Mar 23, 2020",210.50,225.62,199.52,217.24,217.24,"11,164,200"
"Mar 16, 2020",201.60,230.06,197.47,206.00,206.00,"16,258,500"
"Mar 09, 2020",218.07,231.41,200.76,220.86,220.86,"13,363,800"
"Mar 02, 2020",224.43,246.06,223.14,233.50,233.50,"9,862,000"
"Feb 24, 2020",241.44,242.76,215.50,224.03,224.03,"9,283,400"
"Feb 17, 2020",244.92,249.85,241.09,246.29,246.29,"5,143,000"
"Feb 10, 2020",239.22,249.00,237.00,243.82,243.82,"8,041,900"
"Feb 03, 2020",230.76,244.65,225.01,240.06,240.06,"8,188,900"
"Jan 27, 2020",226.51,239.40,223.01,227.05,227.05,"7,100,300"
"Jan 20, 2020",235.84,237.47,228.42,229.06,229.06,"4,416,100"
"Jan 13, 2020",229.38,236.51,224.56,235.83,235.83,"7,538,300"
"Jan 06, 2020",217.73,233.26,216.91,228.95,228.95,"6,719,600"
"Dec 30, 2019",220.38,221.95,214.55,217.98,217.98,"4,088,400"
"Dec 23, 2019",220.95,222.87,218.12,220.97,220.97,"3,034,900"
"Dec 16, 2019",220.50,221.86,216.01,220.69,220.69,"9,819,500"
"Dec 09, 2019",222.99,225.66,217.83,218.98,218.98,"6,578,500"
"Dec 02, 2019",222.96,224.66,218.39,223.25,223.25,"4,767,900"
"Nov 25, 2019",219.37,223.73,218.07,221.75,221.75,"4,736,000"
"Nov 18, 2019",209.87,218.60,207.68,218.00,218.00,"8,287,000"
"Nov 11, 2019",200.98,210.05,199.29,209.80,209.80,"5,422,500"
"Nov 04, 2019",202.13,202.25,195.11,201.31,201.31,"5,979,900"
"Oct 28, 2019",194.56,202.94,192.32,200.94,200.94,"9,511,900"
"Oct 21, 2019",177.23,195.94,174.82,194.49,194.49,"10,150,100"
"Oct 14, 2019",172.32,180.25,172.32,176.23,176.23,"4,285,000"
"Oct 07, 2019",171.55,174.72,167.60,172.41,172.41,"4,258,400"
"Sep 30, 2019",169.55,172.92,165.23,172.42,172.42,"5,836,600"
"Sep 23, 2019",178.23,179.01,165.53,166.74,166.74,"5,241,100"
"Sep 16, 2019",173.89,179.55,171.96,178.12,178.12,"5,781,800"
"Sep 09, 2019",181.09,181.28,166.65,174.94,174.94,"6,308,000"
"Sep 02, 2019",180.55,182.15,173.56,181.33,181.33,"3,881,500"
"Aug 26, 2019",180.82,182.92,170.54,180.02,180.02,"5,023,000"
"Aug 19, 2019",186.24,188.44,179.24,180.18,180.18,"4,765,500"
"Aug 12, 2019",182.06,185.75,178.04,184.94,184.94,"5,940,100"
"Aug 05, 2019",176.44,184.07,172.48,182.98,182.98,"6,855,500"
"Jul 29, 2019",167.21,181.30,165.27,178.39,178.39,"10,111,200"
"Jul 22, 2019",173.34,176.36,165.85,166.83,166.83,"6,510,000"
"Jul 15, 2019",176.16,179.24,174.05,174.13,174.13,"4,423,500"
"Jul 08, 2019",177.76,179.75,172.74,175.79,175.79,"4,562,300"
"Jul 01, 2019",185.07,185.14,177.41,178.34,178.34,"3,381,600"
"Jun 24, 2019",184.56,184.99,176.68,183.38,183.38,"4,829,200"
"Jun 17, 2019",171.17,186.33,171.17,183.97,183.97,"7,074,700"
"Jun 10, 2019",173.29,174.88,167.84,170.22,170.22,"5,669,700"
"Jun 03, 2019",166.87,174.00,165.80,173.51,173.51,"6,162,600"
"May 27, 2019",172.24,173.79,166.10,166.18,166.18,"5,215,900"
"May 20, 2019",167.77,175.94,165.68,171.77,171.77,"4,966,500"
"May 13, 2019",165.70,173.41,164.07,168.73,168.73,"5,307,500"
"May 06, 2019",170.30,175.15,164.31,168.85,168.85,"4,981,700"
"Apr 29, 2019",172.58,175.60,167.80,173.87,173.87,"6,376,500"
"Apr 22, 2019",167.79,175.86,166.20,172.85,172.85,"5,816,800"
"Apr 15, 2019",182.27,184.80,163.68,168.16,168.16,"7,773,800"
"Apr 08, 2019",189.27,191.71,182.31,182.78,182.78,"6,091,300"
"Apr 01, 2019",185.20,189.43,182.49,188.89,188.89,"6,156,200"
"Mar 25, 2019",181.67,190.07,181.44,183.95,183.95,"7,199,300"
"Mar 18, 2019",188.00,189.21,178.22,181.53,181.53,"7,092,700"
"Mar 11, 2019",177.94,189.35,177.78,188.09,188.09,"7,652,600"
"Mar 04, 2019",193.03,193.89,173.59,177.26,177.26,"6,883,100"
"Feb 25, 2019",186.74,192.69,184.89,192.16,192.16,"5,462,300"
"Feb 18, 2019",187.90,189.09,182.16,185.76,185.76,"5,004,400"
"Feb 11, 2019",182.05,188.56,178.40,188.07,188.07,"6,924,100"
"Feb 04, 2019",189.19,193.00,178.76,181.34,181.34,"7,484,600"
"Jan 28, 2019",188.94,193.03,184.50,191.52,191.52,"5,717,500"
"Jan 21, 2019",193.48,195.81,186.27,189.50,189.50,"7,277,000"
"Jan 14, 2019",186.71,194.78,183.06,194.70,194.70,"9,299,700"
