Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",193.83,199.68,185.99,197.51,197.51,"2,405,400"
"Apr 06, 2020",186.82,199.21,183.07,195.93,195.93,"2,294,600"
"Mar 30, 2020",186.93,190.64,173.00,179.94,179.94,"2,658,000"
"Mar 23, 2020",173.57,192.72,154.39,185.36,185.36,"3,022,400"
"Mar 16, 2020",164.20,190.45,161.01,173.46,173.46,"3,952,300"
"Mar 09, 2020",189.76,196.77,166.14,184.48,184.48,"4,018,400"
"Mar 02, 2020",195.28,208.69,191.51,200.00,200.00,"3,476,100"
"Feb 24, 2020",212.09,212.15,189.12,194.89,194.89,"3,409,400"
"Feb 17, 2020",215.51,218.70,214.40,216.38,216.38,"2,025,600"
"Feb 10, 2020",216.96,224.70,215.17,216.06,216.06,"1,868,300"
"Feb 03, 2020",227.15,229.09,214.49,217.36,217.36,"3,745,800"
"Jan 27, 2020",233.81,237.38,222.55,223.79,223.79,"2,584,600"
"Jan 20, 2020",239.39,245.68,236.21,237.53,237.53,"2,176,300"
"Jan 13, 2020",231.15,239.99,227.46,239.60,239.60,"2,147,100"
"Jan 06, 2020",229.67,232.06,217.57,230.88,230.88,"2,427,000"
"Dec 30, 2019",233.73,236.29,229.93,231.01,231.01,"1,396,700"
"Dec 23, 2019",234.01,234.56,232.00,233.76,233.76,"1,201,300"
"Dec 16, 2019",236.33,236.37,228.15,233.28,233.28,"3,380,700"
"Dec 09, 2019",227.20,234.67,225.43,234.11,234.11,"1,922,900"
"Dec 02, 2019",222.45,228.27,219.74,226.30,226.30,"2,088,800"
"Nov 25, 2019",220.52,224.78,219.42,222.07,222.07,"1,323,700"
"Nov 18, 2019",216.07,220.53,215.95,218.72,218.72,"1,848,100"
"Nov 11, 2019",209.16,218.18,207.68,217.32,217.32,"1,720,700"
"Nov 04, 2019",217.38,217.89,208.88,210.08,210.08,"2,347,800"
"Oct 28, 2019",218.25,222.50,204.58,215.09,215.09,"3,368,900"
"Oct 21, 2019",217.13,221.43,212.81,218.11,218.11,"2,928,600"
"Oct 14, 2019",213.27,216.89,212.68,215.75,215.75,"1,949,900"
"Oct 07, 2019",225.29,226.95,205.57,213.62,213.62,"3,152,600"
"Sep 30, 2019",222.69,227.99,218.70,227.00,227.00,"2,601,700"
"Sep 23, 2019",227.86,229.23,216.29,222.53,222.53,"2,634,200"
"Sep 16, 2019",230.14,232.25,225.78,228.70,228.70,"3,283,600"
"Sep 09, 2019",217.80,237.51,213.34,232.13,232.13,"2,998,900"
"Sep 02, 2019",210.42,219.11,209.32,217.24,217.24,"2,196,900"
"Aug 26, 2019",206.12,213.87,202.02,211.89,211.89,"2,035,000"
"Aug 19, 2019",207.60,211.98,204.10,204.96,204.96,"2,226,400"
"Aug 12, 2019",211.02,211.25,199.87,205.54,205.54,"2,815,300"
"Aug 05, 2019",205.43,213.37,202.55,212.01,212.01,"2,596,900"
"Jul 29, 2019",218.08,220.41,207.68,209.52,209.52,"3,674,100"
"Jul 22, 2019",214.16,219.91,213.45,217.63,217.63,"2,413,100"
"Jul 15, 2019",217.25,217.46,210.98,213.72,213.72,"2,938,900"
"Jul 08, 2019",219.54,220.41,212.58,217.13,217.13,"3,038,600"
"Jul 01, 2019",218.61,222.68,216.34,220.23,220.23,"2,239,000"
"Jun 24, 2019",212.56,215.34,208.23,215.24,215.24,"3,143,800"
"Jun 17, 2019",204.40,214.54,203.86,212.81,212.81,"3,459,800"
"Jun 10, 2019",208.98,212.57,201.85,203.20,203.20,"3,016,600"
"Jun 03, 2019",201.02,210.14,199.11,208.77,208.77,"2,760,400"
"May 27, 2019",205.56,208.96,200.23,200.71,200.71,"2,347,400"
"May 20, 2019",207.56,210.86,203.37,206.25,206.25,"2,521,000"
"May 13, 2019",212.97,214.19,203.76,208.20,208.20,"3,115,300"
"May 06, 2019",214.25,218.38,209.92,216.96,216.96,"3,049,700"
"Apr 29, 2019",214.47,220.68,210.93,218.08,218.08,"2,289,100"
"Apr 22, 2019",241.05,243.20,199.31,214.23,214.23,"7,353,100"
"Apr 15, 2019",250.92,251.68,235.80,239.58,239.58,"2,447,100"
"Apr 08, 2019",251.99,254.96,248.54,250.88,250.88,"2,056,100"
"Apr 01, 2019",253.31,255.21,248.34,252.33,252.33,"2,261,700"
