Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",193.88,197.10,183.67,195.39,195.39,"4,844,200"
"Apr 06, 2020",164.14,196.85,162.58,196.02,196.02,"4,623,300"
"Mar 30, 2020",168.83,174.56,153.13,157.09,156.45,"6,249,900"
"Mar 23, 2020",152.18,172.87,143.34,167.21,166.53,"9,524,000"
"Mar 16, 2020",167.23,181.05,145.93,152.63,152.01,"8,783,600"
"Mar 09, 2020",200.91,208.64,165.42,180.04,179.31,"13,802,600"
"Mar 02, 2020",189.71,207.14,189.04,199.71,198.90,"5,155,400"
"Feb 24, 2020",206.36,207.88,184.35,189.25,188.48,"5,082,700"
"Feb 17, 2020",214.02,214.21,206.30,208.44,207.59,"2,094,100"
"Feb 10, 2020",208.58,216.12,208.23,213.67,212.80,"2,848,700"
"Feb 03, 2020",212.83,220.97,206.00,210.25,209.39,"4,407,900"
"Jan 27, 2020",207.02,215.49,207.02,211.29,210.43,"3,288,300"
"Jan 20, 2020",204.86,209.29,202.59,209.01,208.16,"2,599,200"
"Jan 13, 2020",205.25,206.04,203.17,204.99,204.16,"2,962,800"
"Jan 06, 2020",204.03,206.56,201.88,205.00,204.17,"3,137,700"
"Dec 30, 2019",201.49,204.97,200.06,204.33,202.84,"1,427,700"
"Dec 23, 2019",205.64,206.23,200.57,201.76,200.29,"1,209,400"
"Dec 16, 2019",200.89,206.29,199.70,205.64,204.14,"3,430,800"
"Dec 09, 2019",195.30,200.29,193.77,200.04,198.58,"2,596,400"
"Dec 02, 2019",196.80,196.80,190.42,195.39,193.97,"2,906,900"
"Nov 25, 2019",190.35,197.38,188.61,196.44,195.01,"2,829,700"
"Nov 18, 2019",188.98,191.14,187.36,189.76,188.38,"2,395,400"
"Nov 11, 2019",183.99,190.70,183.21,188.95,187.58,"2,490,700"
"Nov 04, 2019",189.88,190.00,183.66,185.10,183.75,"2,700,100"
"Oct 28, 2019",185.88,190.81,182.65,188.99,187.62,"3,911,500"
"Oct 21, 2019",189.21,191.29,183.27,184.98,183.63,"2,552,300"
"Oct 14, 2019",188.08,192.02,186.48,187.77,186.40,"2,575,800"
"Oct 07, 2019",187.82,191.69,177.60,188.10,186.73,"2,608,800"
"Sep 30, 2019",193.99,197.71,182.22,188.65,187.28,"2,857,300"
"Sep 23, 2019",195.42,199.59,192.66,192.70,190.67,"2,464,600"
"Sep 16, 2019",192.98,199.87,192.76,196.37,194.30,"2,559,900"
"Sep 09, 2019",198.35,198.99,186.89,194.70,192.65,"2,495,800"
"Sep 02, 2019",197.30,199.64,194.28,197.75,195.67,"1,669,900"
"Aug 26, 2019",190.74,198.48,184.71,197.97,195.88,"2,171,500"
"Aug 19, 2019",197.14,198.48,188.05,189.21,187.22,"2,265,200"
"Aug 12, 2019",196.73,197.06,188.60,194.55,192.50,"5,493,200"
"Aug 05, 2019",194.08,199.74,186.69,197.22,195.14,"3,845,800"
"Jul 29, 2019",198.63,200.93,192.06,195.38,193.32,"3,827,200"
"Jul 22, 2019",196.07,199.49,194.80,199.18,197.08,"1,877,600"
"Jul 15, 2019",197.01,198.36,195.03,195.88,193.82,"1,960,400"
"Jul 08, 2019",194.50,197.45,192.96,196.42,194.35,"2,220,100"
"Jul 01, 2019",193.81,196.29,191.81,195.84,193.78,"1,507,900"
"Jun 24, 2019",191.38,192.96,185.55,191.54,188.86,"2,669,000"
"Jun 17, 2019",190.05,192.90,187.33,191.83,189.15,"3,023,500"
"Jun 10, 2019",187.39,190.56,185.77,190.33,187.67,"2,295,700"
"Jun 03, 2019",175.79,188.17,175.20,186.88,184.27,"2,320,300"
"May 27, 2019",177.66,178.15,174.31,175.50,173.05,"1,793,700"
"May 20, 2019",175.65,180.05,174.99,177.73,175.25,"2,106,300"
"May 13, 2019",174.33,178.26,173.37,176.00,173.54,"2,634,100"
"May 06, 2019",177.49,179.51,172.29,176.65,174.18,"2,501,300"
"Apr 29, 2019",181.60,184.43,174.49,179.77,177.26,"3,673,100"
"Apr 22, 2019",177.31,182.31,176.25,181.55,179.01,"2,289,600"
"Apr 15, 2019",180.47,182.00,175.03,177.37,174.89,"2,094,200"
"Apr 08, 2019",178.24,181.89,176.67,180.72,178.19,"1,950,900"
"Apr 01, 2019",176.11,179.39,174.51,178.08,175.59,"3,055,400"
"Mar 25, 2019",174.95,178.61,174.09,175.65,172.56,"3,064,500"
"Mar 18, 2019",173.71,175.04,170.56,174.61,171.54,"2,545,100"
"Mar 11, 2019",169.58,174.03,169.41,173.65,170.59,"2,801,900"
"Mar 04, 2019",172.47,187.91,166.13,169.22,166.24,"9,126,900"
"Feb 25, 2019",171.47,173.46,168.88,172.56,169.52,"3,804,000"
"Feb 18, 2019",169.27,172.33,167.70,171.09,168.08,"2,787,200"
"Feb 11, 2019",166.73,172.21,166.31,169.56,166.58,"3,898,700"
"Feb 04, 2019",166.44,167.99,160.00,167.82,164.87,"4,181,900"
"Jan 28, 2019",157.92,166.26,156.90,166.11,163.19,"2,947,400"
"Jan 21, 2019",158.26,160.30,156.74,158.69,155.90,"2,779,500"
"Jan 14, 2019",153.42,159.21,152.74,158.66,155.87,"3,030,600"
"Jan 07, 2019",150.15,154.20,146.45,153.99,151.28,"3,589,100"
"Dec 31, 2018",151.40,152.15,146.35,150.50,147.85,"2,839,800"
"Dec 24, 2018",147.19,152.62,144.13,150.93,147.68,"3,874,800"
"Dec 17, 2018",153.89,156.21,146.67,147.07,143.91,"9,175,800"
"Dec 10, 2018",155.85,157.32,153.46,153.76,150.45,"2,830,900"
"Dec 03, 2018",160.44,161.97,153.45,156.50,153.13,"3,436,100"
"Nov 26, 2018",157.53,160.34,156.15,159.45,156.02,"4,803,800"
"Nov 19, 2018",158.50,161.09,155.52,155.98,152.63,"2,427,900"
"Nov 12, 2018",159.46,161.17,155.43,158.86,155.44,"5,082,200"
"Nov 05, 2018",153.03,160.84,151.83,159.93,156.49,"3,905,800"
"Oct 29, 2018",140.40,152.42,138.44,152.39,149.11,"4,742,100"
"Oct 22, 2018",140.45,141.60,134.63,139.01,136.02,"4,280,500"
"Oct 15, 2018",136.84,140.93,134.50,139.98,136.97,"2,955,400"
"Oct 08, 2018",142.08,144.03,135.35,137.30,134.35,"3,932,400"
"Oct 01, 2018",141.73,144.06,140.72,141.75,138.70,"2,599,900"
"Sep 24, 2018",147.89,148.28,139.73,140.94,137.32,"3,998,600"
"Sep 17, 2018",147.27,149.46,145.19,148.48,144.67,"2,956,600"
"Sep 10, 2018",149.38,149.38,144.15,146.95,143.18,"2,037,400"
"Sep 03, 2018",147.13,150.34,145.91,148.41,144.60,"2,202,500"
"Aug 27, 2018",147.77,148.96,146.07,147.27,143.49,"1,889,600"
"Aug 20, 2018",149.41,149.41,145.84,146.98,143.21,"2,002,200"
"Aug 13, 2018",150.12,151.23,145.50,148.89,145.07,"2,912,600"
"Aug 06, 2018",148.64,152.40,147.53,149.73,145.89,"2,684,000"
"Jul 30, 2018",160.12,162.24,144.09,148.82,145.00,"4,430,500"
"Jul 23, 2018",159.42,163.28,159.20,160.62,156.50,"1,924,000"
"Jul 16, 2018",157.86,160.00,156.91,159.62,155.52,"2,823,200"
"Jul 09, 2018",156.68,159.09,152.92,158.04,153.98,"1,965,100"
