Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",99.64,100.68,95.44,100.27,100.27,"12,243,500"
"Apr 06, 2020",92.01,101.96,90.54,99.85,99.85,"18,161,600"
"Mar 30, 2020",96.14,97.67,86.90,89.02,89.02,"18,610,700"
"Mar 23, 2020",98.69,99.50,85.34,95.30,95.30,"27,177,400"
"Mar 16, 2020",90.00,110.85,85.50,98.31,98.31,"25,762,400"
"Mar 09, 2020",110.16,115.29,97.36,105.32,105.32,"22,140,000"
"Mar 02, 2020",111.84,120.55,111.82,117.13,116.60,"17,730,800"
"Feb 24, 2020",121.92,125.76,106.61,110.81,110.31,"18,825,400"
"Feb 17, 2020",125.74,126.79,123.19,124.56,124.00,"7,936,600"
"Feb 10, 2020",124.24,125.75,122.91,125.75,125.18,"8,174,000"
"Feb 03, 2020",122.16,124.37,122.09,123.91,123.35,"6,457,000"
"Jan 27, 2020",120.27,123.20,119.83,121.70,121.15,"7,041,600"
"Jan 20, 2020",119.36,121.93,119.27,121.00,120.45,"5,813,900"
"Jan 13, 2020",116.46,120.21,116.35,119.65,119.11,"7,950,100"
"Jan 06, 2020",114.60,117.12,114.51,116.20,115.67,"8,914,600"
"Dec 30, 2019",113.50,115.47,112.50,115.33,114.81,"5,803,700"
"Dec 23, 2019",113.17,113.93,112.06,113.89,113.37,"3,022,800"
"Dec 16, 2019",112.58,113.69,111.50,113.16,112.65,"9,655,400"
"Dec 09, 2019",111.59,112.23,110.11,112.02,111.51,"8,673,600"
"Dec 02, 2019",112.72,113.58,111.13,111.62,110.61,"8,890,500"
"Nov 25, 2019",110.86,113.46,110.27,112.91,111.89,"7,724,700"
"Nov 18, 2019",112.15,113.71,109.67,110.77,109.77,"9,644,900"
"Nov 11, 2019",110.94,112.50,109.68,112.16,111.14,"7,569,500"
"Nov 04, 2019",111.21,111.47,107.77,111.03,110.03,"11,191,800"
"Oct 28, 2019",111.24,113.39,110.82,111.23,110.22,"7,915,000"
"Oct 21, 2019",117.54,118.28,110.84,111.35,110.34,"11,721,800"
"Oct 14, 2019",116.61,117.66,113.40,117.05,115.99,"9,239,500"
"Oct 07, 2019",116.37,118.30,114.30,116.34,115.29,"7,505,200"
"Sep 30, 2019",113.59,117.04,113.51,116.61,115.55,"12,676,500"
"Sep 23, 2019",115.35,116.16,112.68,113.59,112.56,"8,301,000"
"Sep 16, 2019",111.56,115.80,111.10,115.28,114.24,"8,951,800"
"Sep 09, 2019",119.34,119.50,111.13,111.95,110.94,"11,300,700"
"Sep 02, 2019",119.61,121.77,118.84,119.33,117.75,"5,030,700"
"Aug 26, 2019",116.40,120.49,115.81,119.35,117.77,"6,126,600"
"Aug 19, 2019",119.54,120.58,115.36,115.93,114.39,"9,163,000"
