Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",41.25,41.89,38.93,40.86,40.86,"10,855,300"
"Apr 06, 2020",36.88,42.15,36.21,41.87,41.87,"13,045,300"
"Mar 30, 2020",37.99,39.98,35.01,35.45,35.45,"15,223,300"
"Mar 23, 2020",32.78,40.12,31.58,37.93,37.82,"28,323,800"
"Mar 16, 2020",36.28,37.41,31.70,32.82,32.73,"22,843,900"
"Mar 09, 2020",42.00,44.37,38.02,40.46,40.34,"14,980,600"
"Mar 02, 2020",49.57,50.60,43.45,44.73,44.60,"15,469,200"
"Feb 24, 2020",55.78,55.98,47.33,49.24,49.10,"13,517,500"
"Feb 17, 2020",57.91,58.90,56.26,56.85,56.69,"4,486,000"
"Feb 10, 2020",56.86,58.26,56.38,57.85,57.68,"4,545,700"
"Feb 03, 2020",56.24,59.17,55.50,57.10,56.94,"5,683,000"
"Jan 27, 2020",59.15,60.45,55.64,56.00,55.84,"6,216,000"
"Jan 20, 2020",59.93,60.87,58.47,59.66,59.49,"5,690,900"
"Jan 13, 2020",57.66,60.37,57.63,59.96,59.79,"6,052,900"
"Jan 06, 2020",56.04,58.11,56.01,57.79,57.62,"4,594,800"
"Dec 30, 2019",56.69,57.51,55.85,56.30,56.14,"4,960,600"
"Dec 23, 2019",56.86,57.38,56.19,56.84,56.58,"3,115,800"
"Dec 16, 2019",57.43,58.01,56.70,56.85,56.59,"7,495,200"
"Dec 09, 2019",57.93,57.99,56.11,56.38,56.12,"5,598,700"
"Dec 02, 2019",56.62,58.65,56.14,58.05,57.78,"7,487,200"
"Nov 25, 2019",57.36,57.88,56.40,56.54,56.28,"4,856,100"
"Nov 18, 2019",56.57,57.48,55.73,57.27,57.01,"5,552,000"
"Nov 11, 2019",57.11,57.57,55.29,56.63,56.37,"9,101,800"
"Nov 04, 2019",55.75,60.15,54.79,57.42,57.16,"12,471,200"
"Oct 28, 2019",53.25,55.84,53.14,55.45,55.19,"4,981,200"
"Oct 21, 2019",55.44,55.50,52.75,53.08,52.84,"6,387,000"
"Oct 14, 2019",54.16,55.45,53.32,54.90,54.65,"5,959,100"
"Oct 07, 2019",53.44,54.65,53.01,54.11,53.86,"6,627,500"
"Sep 30, 2019",53.02,53.77,51.35,53.63,53.38,"7,847,100"
"Sep 23, 2019",50.69,53.73,50.53,52.88,52.54,"9,219,400"
"Sep 16, 2019",51.72,51.72,49.37,51.13,50.80,"11,820,900"
"Sep 09, 2019",50.86,52.41,50.39,51.89,51.55,"7,498,300"
"Sep 02, 2019",51.81,52.47,50.64,50.69,50.36,"6,671,800"
"Aug 26, 2019",52.01,52.32,50.91,52.15,51.81,"5,953,100"
"Aug 19, 2019",52.82,53.73,51.50,51.67,51.34,"8,072,400"
"Aug 12, 2019",52.10,53.54,50.76,52.33,51.99,"7,136,800"
"Aug 05, 2019",52.51,53.09,50.02,52.37,52.03,"13,419,600"
"Jul 29, 2019",56.00,56.89,49.12,52.79,52.45,"12,644,000"
"Jul 22, 2019",56.72,56.86,55.01,56.02,55.66,"4,921,400"
"Jul 15, 2019",56.77,57.33,56.01,56.67,56.30,"6,155,700"
"Jul 08, 2019",57.76,57.94,56.62,56.93,56.56,"7,889,900"
"Jul 01, 2019",58.56,59.23,57.42,57.80,57.43,"4,244,900"
"Jun 24, 2019",58.63,59.40,57.15,58.36,57.89,"7,345,500"
"Jun 17, 2019",56.76,59.40,56.32,58.88,58.41,"9,652,400"
"Jun 10, 2019",56.15,57.71,55.85,56.77,56.32,"4,925,600"
"Jun 03, 2019",54.03,56.12,53.67,55.94,55.49,"9,032,600"
"May 27, 2019",53.50,54.44,53.01,53.87,53.44,"8,365,300"
"May 20, 2019",54.27,55.36,52.46,53.75,53.32,"8,339,100"
"May 13, 2019",54.23,55.71,53.85,54.43,54.00,"9,705,300"
