,Date_Time,Score
0,2018-09-10,0.4417
1,2018-07-19,-0.9617
2,2017-12-19,-0.5643
3,2017-10-02,0.99
4,2016-10-06,-0.9689
5,2014-04-28,-0.72
6,2013-07-18,0.998
7,2020-04-25,0.9522
8,2013-05-14,0.9274
9,2020-04-03,0.7783
10,2013-01-09,0.962
11,2020-04-25,-0.5499
12,2012-11-08,-0.993
13,2012-11-04,-0.9784
14,2012-10-30,-0.8945
15,2012-02-02,0.9818
16,2011-10-11,-0.9676
17,2020-04-25,-0.9972
18,2011-08-29,0.9765
19,2011-08-01,-0.8764
20,2011-08-01,-0.8922
21,2011-07-21,-0.9913
22,2010-12-01,0.9908
23,2010-10-20,0.9941
24,2010-08-05,-0.9796
25,2010-05-27,0.4565
26,2010-02-10,-0.6369
27,2009-08-12,0.9925
28,2009-08-06,-0.8687
29,2009-08-03,0.9643
30,2009-06-15,0.9926
31,2009-05-16,0.9956
32,2020-04-17,-0.9874
33,2009-05-08,0.6767
34,2009-04-02,0.9879
35,2009-03-24,0.9468
36,2020-04-25,-0.9118
37,2009-02-05,0.0936
38,2009-01-29,-0.9793
39,2008-12-21,0.8572
40,2008-11-26,0.9958
41,2008-11-21,0.9767
42,2008-11-14,0.7184
43,2008-10-20,0.9314
44,2008-10-09,-0.9781
45,2008-10-08,-0.8854
46,2008-09-17,0.9794
47,2020-04-25,0.9039
48,2008-08-13,-0.4385
49,2008-08-01,0.9584
50,2020-04-25,0.7351
51,2008-07-25,-0.9671
52,2008-07-11,0.9442
53,2008-07-11,0.9467
54,2008-06-11,0.8753
55,2020-04-16,0.9909
56,2020-04-25,0.9129
57,2008-05-30,0.9243
58,2008-05-28,0.6486
59,2008-05-23,0.6486
60,2008-05-15,0.7672
61,2008-05-13,0.9136
62,2008-03-25,0.9871
63,2007-10-25,0.9153
64,2007-10-23,-0.9191
65,2007-07-27,0.979
66,2006-11-19,-0.5656
67,2006-04-19,0.9889
68,2020-04-25,-0.9081
69,2005-11-02,-0.9325
70,2020-04-25,-0.9754
71,2005-09-03,0.9902
72,2020-04-25,-0.9705
73,2005-08-29,-0.659
74,2005-03-23,0.9956
75,2004-09-07,0.9956
76,2004-08-12,0.2263
77,2020-04-09,-0.9264
