,Date_Time,Score
0,2019-05-30,0.986
1,2019-01-04,-0.7852
2,2018-03-01,0.875
3,2018-02-28,-0.6124
4,2017-05-24,0.9043
5,2020-04-23,0.9748
6,2014-07-29,0.9859
7,2014-05-08,0.9607
8,2020-04-09,-0.9264
9,2020-04-23,0.9859
10,2013-09-06,0.994
11,2020-04-23,0.9063
12,2013-07-21,-0.9091
13,2013-02-28,0.9817
14,2020-04-23,0.9661
15,2011-12-20,0.9325
16,2011-08-02,-0.7269
17,2020-04-24,0.8385
18,2011-05-03,0.8176
19,2011-04-20,0.9862
20,2011-03-21,-0.9954
21,2020-04-23,0.9582
22,2009-05-14,-0.7779
23,2006-05-21,0.9527
24,2006-04-26,0.991
25,2005-05-04,0.9764
26,2020-04-09,-0.9264
