,Date_Time,Score
0,2019-10-10,-0.9712
1,2019-05-26,0.994
2,2019-02-12,0.9072
3,2019-02-04,0.9865
4,2019-01-03,0.9578
5,2019-01-02,0.9803
6,2020-04-24,0.985
7,2018-08-15,0.4472
8,2018-07-11,0.9884
9,2020-04-24,0.926
10,2018-05-04,0.7458
11,2018-05-04,0.99
12,2020-04-24,0.9915
13,2017-11-05,0.9952
14,2017-10-15,0.9723
15,2017-09-04,0.9803
16,2017-08-03,0.974
17,2017-07-16,0.9962
18,2017-05-14,0.9161
19,2017-05-08,0.9975
20,2020-04-24,0.9617
21,2017-04-05,0.9907
22,2017-03-29,0.9928
23,2017-02-10,0.9866
24,2017-02-09,0.9726
25,2016-12-11,0.9906
26,2016-11-26,0.9875
27,2016-11-04,0.997
28,2020-04-24,0.25
29,2016-08-02,0.9993
30,2016-05-24,0.983
31,2016-05-23,0.9913
32,2016-05-06,0.9951
33,2016-04-29,0.9993
34,2016-02-11,0.7615
35,2016-01-15,0.9442
36,2016-01-13,0.9979
37,2015-12-06,0.993
38,2015-11-06,0.9978
39,2015-11-03,0.9825
40,2015-11-03,0.9883
41,2015-11-03,0.949
42,2020-04-24,0.9974
43,2015-11-03,0.9928
44,2020-04-24,0.9985
45,2015-07-15,0.9916
46,2015-03-02,0.997
47,2014-09-23,0.9643
48,2014-09-10,0.9934
49,2014-06-20,0.9983
50,2020-04-24,0.993
51,2014-04-20,0.9691
52,2013-10-13,0.9912
53,2013-09-19,0.8044
54,2013-08-29,0.9819
55,2013-07-26,0.9972
56,2013-07-26,0.9795
57,2020-04-03,0.7783
58,2020-04-24,0.9881
59,2013-07-23,0.9805
60,2020-04-24,0.9799
61,2013-07-10,0.9903
62,2020-04-24,-0.8816
63,2013-03-22,0.7935
64,2020-04-24,0.9752
65,2013-02-26,0.9926
66,2013-02-26,-0.8907
67,2020-04-24,0.7959
68,2020-04-25,-0.9984
69,2012-11-16,0.7291
70,2012-11-13,0.9678
71,2020-04-24,0.9965
72,2012-10-16,0.9891
73,2012-10-14,0.9042
74,2012-08-26,-0.8335
75,2012-08-20,-0.5267
76,2020-04-24,0.9867
77,2012-08-02,0.974
78,2020-04-24,0.9862
79,2012-07-13,0.9804
80,2020-04-16,-0.9641
81,2012-07-10,0.8381
82,2012-07-03,0.9751
83,2012-06-28,-0.886
84,2012-06-27,0.9795
85,2020-04-24,0.9243
86,2012-06-21,0.9913
87,2020-04-24,0.998
88,2012-05-21,0.9828
89,2020-04-24,0.9178
90,2012-05-09,0.6187
91,2012-04-27,0.7219
92,2012-04-12,0.8137
93,2012-03-26,0.9611
94,2012-03-23,0.993
95,2020-04-24,0.5023
96,2020-04-24,0.9912
97,2020-04-24,0.9707
98,2012-02-09,0.9603
99,2011-12-18,0.8831
100,2020-04-24,0.9989
101,2011-12-12,0.9562
102,2011-12-06,0.9802
103,2011-11-16,-0.8384
104,2011-11-16,0.9451
105,2011-11-16,0.9194
106,2020-04-17,-0.9874
107,2020-04-24,0.96
108,2011-11-08,0.9485
109,2011-10-28,0.9898
110,2011-08-31,0.9127
111,2020-04-24,0.9867
112,2011-07-13,0.9921
113,2011-07-01,0.9928
114,2020-04-24,0.9874
115,2011-06-10,0.128
116,2011-05-12,0.9842
117,2011-05-11,0.9106
118,2011-05-11,0.977
119,2011-05-10,0.9492
120,2011-04-05,0.972
121,2011-03-01,0.9559
122,2011-02-10,0.9062
123,2011-02-10,0.9041
124,2011-02-02,0.9633
125,2010-12-13,0.4927
126,2010-12-06,0.9927
127,2010-11-19,0.9942
128,2020-04-24,0.9844
129,2010-11-11,0.9587
130,2020-04-03,0.7783
131,2010-11-11,0.9989
132,2010-11-08,0.9932
